c5_sources,entity1,entity2,weight,relations,rows
19760606015529A,GLIDER,NOSE HIGH ATTITUDE,1,HAS EFFECT,8
19780111000459A,ACFT DISPATCHER,PILOT,1,HASSLE,50
19780111000459A,PILOT,TO REMOVE TIEDROPE,1,FORGOT,50
19781113027039I,PILOT,UNMARKED DITCH AT END OF TAXIWAY,1,EVENT DISTANCE,178
19791128035159A,PILOT,RAIN SHOWER,1,EVENT DISTANCE,334
19791128035159A,PILOT,FIELD,1,LOCATION,334
19800624056339I;19801005072789I,PILOT,END OF RUNWAY,2,EVENT DISTANCE,"406,466"
19821117066379I,PILOT,UNABLE TO PRESSURIZE,1,CAUSE,656
19821117066379I,PILOT,DOOR SLIGHTLY OPEN,1,CAUSE,656
19821117066379I,PILOT,DEPRESSURIZED,1,CAUSE,656
19821117066379I,PILOT,DOOR OPENED FULLY,1,CAUSE,656
19821117066379I,PILOT,STOPPED BY FUSELAGE,1,CAUSE,656
19850418016709I,PILOT,DID NOT VISUALLY INSPECT FUEL TANKS,1,HAS EFFECT,891
19860706034879A,PILOT,FILLED TANKS,1,USED BY,1037
19870309039779I,PILOT,UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT,1,HAS CAUSE,1151
19930530020029I,PILOT,LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL,1,HAS CAUSE,1693
19960504009509A,PILOT,(-23),1,FAILED TO FULLY DETAC,1967
19970908038069A,PILOT,RAMP PERSON TIED SKIDS DUE HIGH WIND,2,FAILED NOTE;HAS EFFECT,2051
20010421009329I,PILOT,RPM LOSS,1,HAS EFFECT,2406
20010421009329I,PILOT,COULD NOT MAINTAIN ALTITUDE,1,HAS EFFECT,2406
20010421009329I,PILOT,MADE AN EMERG,1,ACTION,2406
20030620012809I,PILOT,OIL FILLER CAP NOT SECURE,1,HAS CAUSE,2488
20030620012809I,PILOT,OIL COMING OUT OF ENGINE,1,HAS CAUSE,2488
20050429009279I,PILOT,TAXIING THE AIRCRAFT TO PARKING,1,EVENT DISTANCE,2598
20050429009279I,PILOT,A CARGO TRIP,1,FOLLOWED BY,2598
19800113015049I;20050429009279I,PILOT,AIRCRAFT,2,USED BY,"341,2598"
20050429009279I,PILOT,TAXIWAY,1,LOCATION,2598
19780130004789I,PILOT,POSITION OF GEAR HANDLE,1,FAILED TO CHECK,41
19780206006149I,PILOT,FAILED TO REMOVE TOW BAR BEFORE TAKEOFF,1,HAS CAUSE,47
19780206006149I,PILOT,STRANGE NOISE DURING RETRACTION,1,HAS CAUSE,47
19780212006439I,PILOT,FROST ON THE WINGS,1,EVENT DISTANCE,55
19780212006439I,PILOT,FAILURE TO USE FULL POWER,1,EVENT DISTANCE,55
19780225001819I,PILOT,FUEL GAUGE FAULTY,1,CLAIMS,59
19780307014069I,PILOT,UNLIGHTED BARRICADE,1,HAS CAUSE,60
19780307014069I,PILOT,TAXI FROM LANDING,1,EVENT DISTANCE,60
19780311016379I,PILOT,LOST DIRECTIONAL CONTROL,1,HAS CAUSE,64
19780311016379I,PILOT,WORN OUT BRAKES,1,HAS CAUSE,64
19780311016379I,PILOT,EMPTY BRAKE RESERVOIR,1,HAS CAUSE,64
19780327010619I,PILOT,FUEL CAPS ON BACKWARD,1,HAS CAUSE,65
19780327010619I,PILOT,NON AVAILABLE FUEL,1,HAS CAUSE,65
19780327010619I,PILOT,RAN OUT,1,HAS CAUSE,65
19780316008589I,PILOT,RUNWAY,1,EVENT DISTANCE,67
19780330011569I,PILOT,EXTENDED GEAR MANUALLY,1,HAS CAUSE,71
19780330011569I,PILOT,GEAR COLLAPSED,1,HAS CAUSE,71
19780330011569I,PILOT,BOTH GENERATOR ARMATURES EXTREMELY GALLED,1,HAS CAUSE,71
