c5,c119,gemma3_4b_it_triplets,gemma3_4b_it_triplets_clean
19990213001379A,"ACFT WAS TAXIING FOR TAKE OFF WHEN IT LOST CONTROL, RAN INTO A DITCH, AND STRUCK A TREE. OTHER CIRCUMSTANCES AE UNK","<ACFT, EVENT DISTANCE, TAKE OFF>
<ACFT, HAS EFFECT, RAN INTO A DITCH>
<ACFT, HAS EFFECT, STRUCK A TREE>","<ACFT, EVENT DISTANCE, TAKE OFF>
<ACFT, HAS EFFECT, RAN INTO A DITCH>
<ACFT, HAS EFFECT, STRUCK A TREE>"
19800217031649I,"AFTER TAKEOFF, ENGINE QUIT. WING FUEL TANK SUMPS WERE NOT DRAINED DURING PREFLIGHT BECAUSE THEY WERE FROZEN.       ","<TAKEOFF, FOLLOWED BY, ENGINE QUIT>
<WING FUEL TANK SUMPS, HAS EFFECT, FROZEN>","<TAKEOFF, FOLLOWED BY, ENGINE QUIT>
<WING FUEL TANK SUMPS, HAS EFFECT, FROZEN>"
19790720021329A,HELICOPTER TOOK OFF WITH SLING LOAD ATTACHED. CRASHED WHEN LOAD WEDGED IN TREES. IMPROPER PREFLIGHT.               ,"<HELICOPTER, TAKE OFF, >
<CRASHED, HAS CAUSE, IMPROPER PREFLIGHT>
<CRASHED, INSTANCE OF, FROZEN>
<CRASHED, HAS EFFECT, WEDGED IN TREES>","<HELICOPTER, TAKE OFF, >
<CRASHED, HAS CAUSE, IMPROPER PREFLIGHT>
<CRASHED, INSTANCE OF, FROZEN>
<CRASHED, HAS EFFECT, WEDGED IN TREES>"
19841214074599I,WHILE TAXIING LOST NOSEWHEEL STEERING AND BRAKES. STRUCK 2 AIRCRAFT AND FENCE. CIRCUIT BREAKER HYDRAULIC PUMP OPEN.,"<TAXIING, HAS EFFECT, LOST NOSEWHEEL STEERING>
<TAXIING, HAS EFFECT, BRAKES>
<STRUCK 2 AIRCRAFT, HAS CAUSE, TAXIING>
<STRUCK 2 AIRCRAFT, HAS EFFECT, FENCE>
<CIRCUIT BREAKER HYDRAULIC PUMP, INSTANCE OF, OPEN>","<TAXIING, HAS EFFECT, LOST NOSEWHEEL STEERING>
<TAXIING, HAS EFFECT, BRAKES>
<STRUCK 2 AIRCRAFT, HAS CAUSE, TAXIING>
<STRUCK 2 AIRCRAFT, HAS EFFECT, FENCE>
<CIRCUIT BREAKER HYDRAULIC PUMP, INSTANCE OF, OPEN>"
19860128014289I,FORWARD CARGO DOOR OPENED AS AIRCRAFT TOOK OFF. OBJECTS DROPPED OUT. RETURNED. FAILED TO SEE WARNING LIGHT.        ,"<FORWARD CARGO DOOR, OPENED BY, AIRCRAFT>
<AIRCRAFT, TAKE OFF, FOLLOWED BY>
<OBJECTS, HAS EFFECT, FAILED TO SEE WARNING LIGHT>
<AIRCRAFT, FOLLOWED BY, RETURNED>","<FORWARD CARGO DOOR, OPENED BY, AIRCRAFT>
<AIRCRAFT, TAKE OFF, FOLLOWED BY>
<OBJECTS, HAS EFFECT, FAILED TO SEE WARNING LIGHT>
<AIRCRAFT, FOLLOWED BY, RETURNED>"
20000215010329A,"(-23) MR. TIMOTHY ALLEN WELLS WAS ACTING AS PILOT IN COMMAND OF A BELL HELICOPTER MODEL BHT-47-G5, N4754R, ENGAGED ","<MR. TIMOTHY ALLEN WELLS, USED BY, BELL HELICOPTER>
<BELL HELICOPTER MODEL BHT-47-G5, INSTANCE OF, HELICOPTER>
<N4754R, INSTANCE OF, BELL HELICOPTER>
<MR. TIMOTHY ALLEN WELLS, INSTANCE OF, PILOT IN COMMAND>","<MR. TIMOTHY ALLEN WELLS, USED BY, BELL HELICOPTER>
<BELL HELICOPTER MODEL BHT-47-G5, INSTANCE OF, HELICOPTER>
<N4754R, INSTANCE OF, BELL HELICOPTER>
<MR. TIMOTHY ALLEN WELLS, INSTANCE OF, PILOT IN COMMAND>"
19801116083749I,FORCED LANDING AFTER ONE ENGINE QUIT;FOUND ICE IN AUXILIARY FUEL SYSTEM.                                           ,"<N4754R, EVENT DISTANCE, FROZEN>
<N4754R, HAS CAUSE, ENGINE QUIT>
<N4754R, HAS EFFECT, ICE IN AUXILIARY FUEL SYSTEM>","<N4754R, EVENT DISTANCE, FROZEN>
<N4754R, HAS CAUSE, ENGINE QUIT>
<N4754R, HAS EFFECT, ICE IN AUXILIARY FUEL SYSTEM>"
19850315007389A,PILOT WAS DESCENDING TO LOWER ALTITUDE DUE TO ICING. LOST CONTROL. ALTIMETER NOT IFR CERTIFIED. ICING FORECAST.    ,"<PILOT, USED BY, ALTIMETER>
<ICING, HAS EFFECT, LOST CONTROL>
<ICING, FOLLOWED BY, ICING FORECAST>
<ALTITUDE, EVENT DISTANCE, LOWER ALTITUDE>","<PILOT, USED BY, ALTIMETER>
<ICING, HAS EFFECT, LOST CONTROL>
<ICING, FOLLOWED BY, ICING FORECAST>
<ALTITUDE, EVENT DISTANCE, LOWER ALTITUDE>"
20070630826079I,(-23) AIRCRAFT DEPARTED RAY AIRPORT AND AFTER TAKEOFF INTO THE CLIMB AIRCRAFT ENGINE STARTED TO HAVE PROBLEMS. PILO,"<N4754R, TAKE OFF, RAY AIRPORT>
<N4754R, HAS CAUSE, ENGINE QUIT>
<N4754R, EVENT DISTANCE, CLIMB>","<N4754R, TAKE OFF, RAY AIRPORT>
<N4754R, HAS CAUSE, ENGINE QUIT>
<N4754R, EVENT DISTANCE, CLIMB>"
19900425011659A,RAN OUT OF FUEL ON FERRY FLIGHT. LEFT PONTOON SEPARATED LANDING IN A POND. FUEL CAP NOT SECURED. FUEL SIPHONED.    ,"<FERRY FLIGHT, HAS CAUSE, RAN OUT OF FUEL>
<FERRY FLIGHT, HAS EFFECT, LEFT PONTOON SEPARATED>
<FERRY FLIGHT, HAS EFFECT, LANDING IN A POND>
<FUEL CAP, HAS EFFECT, FUEL SIPHONED>","<FERRY FLIGHT, HAS CAUSE, RAN OUT OF FUEL>
<FERRY FLIGHT, HAS EFFECT, LEFT PONTOON SEPARATED>
<FERRY FLIGHT, HAS EFFECT, LANDING IN A POND>
<FUEL CAP, HAS EFFECT, FUEL SIPHONED>"
