c5_sources,node,count
19990213001379A,ACFT,3
19960322013629I;19990213001379A,,3
19990213001379A,RAN INTO A DITCH,1
19850525020799A;19990213001379A,STRUCK A TREE,3
19800217031649I;19820725041999I;19840121015319I;19840821046409A;19860706034879A;19870606018859A;19950216008379I;19970523014439I;19991230042089A;20010411006739I;20060621012279A,AFTER TAKEOFF,12
19800217031649I;19801116083749I;19880527016939A;19991230042089A;20070630826079I,ENGINE QUIT,6
19800217031649I,WING FUEL TANK SUMPS,1
19790720021329A;19800217031649I;19801116083749I,FROZEN,3
19790720021329A;19910710026989A;19920405008919A;19940818022409A;19960418007829A,CRASHED,10
19790720021329A,IMPROPER PREFLIGHT,1
19790720021329A,WEDGED IN TREES,1
19780402008409I;19841214074599I;20050429009279I,TAXIING,5
19841214074599I,LOST NOSEWHEEL STEERING,1
19790718019229I;19841214074599I,BRAKES,2
19841214074599I,STRUCK 2 AIRCRAFT,2
19841214074599I,FENCE,1
19841214074599I,CIRCUIT BREAKER HYDRAULIC PUMP,1
19841214074599I,OPEN,1
19820725041999I;19860128014289I,OBJECTS,3
19860128014289I,FAILED TO SEE WARNING LIGHT,1
19780402008409I;19781108022239I;19790211002709A;19790718019229I;19840821046409A;19860128014289I;19860706034879A;19870309039779I;19890725041869I;19930530020029I;19940412011509I;19950314029269I;19960322013629I;20010421009329I;20020619014309A;20050429009279I;20050713014239I;20070202001609A,AIRCRAFT,30
19860128014289I,RETURNED,1
20000215010329A,MR. TIMOTHY ALLEN WELLS,2
20000215010329A;20010411006739I,BELL HELICOPTER,3
20000215010329A,BELL HELICOPTER MODEL BHT-47-G5,1
20000215010329A;20010411006739I,HELICOPTER,3
19801116083749I;20000215010329A;20070630826079I,N4754R,6
19971226042729I;20000215010329A,PILOT IN COMMAND,2
19801116083749I,ICE IN AUXILIARY FUEL SYSTEM,1
19780111000459A;19781113027039I;19791128035159A;19821117066379I;19850315007389A;19850418016709I;19860706034879A;19871027060859A;19930530020029I;19950216008379I;19960504009509A;19970908038069A;20010411006739I;20010421009329I;20030620012809I;20050429009279I;20060621012279A,PILOT,21
19850315007389A,ALTIMETER,1
19850315007389A,ICING,2
19850315007389A;19950527014439A,LOST CONTROL,3
19850315007389A,ICING FORECAST,1
19850315007389A,ALTITUDE,1
19850315007389A,LOWER ALTITUDE,1
20070630826079I,CLIMB,1
19900425011659A,FERRY FLIGHT,3
19900425011659A,RAN OUT OF FUEL,1
19900425011659A,LEFT PONTOON SEPARATED,1
19900425011659A,LANDING IN A POND,1
19900425011659A,FUEL CAP,1
19900425011659A,FUEL SIPHONED,1
19991230042089A,CUTTING OUT,1
19820725041999I,LOOSE COWLING,1
19820725041999I,RETURNING TO LAND,1
19820725041999I,COWLING CAME OFF,1
19820725041999I;19940815046149I,CRACKED WINDSHIELD,2
19820725041999I,DENTED STABILIZER,1
19940412011509I,GROUND,1
19940412011509I,LANDED SAFELY,1
19971226042729I,NR2 ENGINE FIRE,5
19971226042729I,LOADING PASSENGERS,1
19971226042729I,GATE,1
19971226042729I,EVACUATED,1
19971226042729I,FUEL LEVER,2
19971226042729I,FLIGHT IDLE,1
19971226042729I,CUT OFF,1
19971226042729I,SMOKE,1
19950619021589I,HIGH OIL TEMP.,1
19950619021589I,LANDED OFF AIRPOR,2
19950619021589I,FOUND LOW ON OIL,1
19940815046149I,ANTENNA,1
19781108022239I;19790718019229I,BAGGAGE CART,4
19790718019229I,GROUND STAND,1
19790718019229I;19821117066379I,FUSELAGE,2
19790718019229I,9 INCH TEAR,1
19840821046409A;20000625032189I,DC-10,4
20000625032189I,BOEING,1
20000625032189I,PUSHED BACK,1
20000625032189I,GATE B-52,1
19780427013859I;19840121015319I;19850418016709I;19860530030499A;19860706034879A;19871211075169A;20030620012809I,ENGINE,11
19860530030499A,ENGINE OVERHEAT,1
19860530030499A,HOT OIL SMELL,1
19860530030499A,FAILED TO REMOVE AIR INTAKE PLUGS,1
19860530030499A;19940226003029A;19980508008619A,NOSED OVER,6
19860530030499A,PLOWED FAILED,1
19821117066379I,UNABLE TO PRESSURIZE,1
19821117066379I,ACCESS DOOR,2
19821117066379I;19960524045629A,DOOR,2
19821117066379I,DEPRESSURIZED,1
19821117066379I,STOPPED,1
19810303007119A,VEERED OFF RUNWAY ON LANDING,2
19810303007119A,PARKED AIRPLANE,1
19810303007119A,NEWLY INSTALLED CARPETING,1
19950602032329I,VEERED OFF TAXIWAY,3
19950602032329I,TAXIWAY,1
19950602032329I,STRUCK TAXIWAY LIGHT,3
19950602032329I,WAS ADVISED DAMAGED PROP,2
19950602032329I,CONTINUED TO LIT,1
20050713014239I,RAYTHEON AIRCRAFT CO. B36TC,3
20050713014239I,JULY 13, 2005,1
20050713014239I,1535 MST,1
19860706034879A,FLIPPED,1
19860706034879A,TANKS,1
19780509032859I;19860706034879A;19880527016939A;19950804028629A,FUEL,6
19860706034879A;19950804028629A,WATER,4
19840121015319I,FAILED,1
