c5_sources,entity1,entity2,weight,relations,rows
19990213001379A,ACFT,COULD NOT SEE OUT,1,EVENT DISTANCE,0
19990213001379A,ACFT,LOST CONTROL,1,HAS CAUSE,0
19990213001379A,ACFT,RAN INTO A DITCH,1,HAS CAUSE,0
19990213001379A,ACFT,STRUCK A TREE,1,HAS CAUSE,0
19990213001379A,ACFT,UNK,1,LOCATION,0
19750905025029A,ACFT,6 IN RUT,1,EVENT DISTANCE,105
19750905025029A,ACFT,GRASS TAXIWAY NOSE WHEEL,1,LOCATION,105
19770530012939A,ACFT,WRONG PROP INSTALLED,1,USED BY,120
19780112002729I,ACFT,FORCED LANDING AFTER POWER LOSS,1,EVENT DISTANCE,133
19780112002729I,ACFT,WATER FOUND IN FUEL,1,HAS CAUSE,133
19781020041019A,ACFT,STRUCK COM POLES & CONCRETE WALL & BURNED,1,HAS EFFECT,248
19781020041019A,ACFT,NO 4 ROD ASY (PN 41A2) FAILED,1,HAS EFFECT,248
19790222003429A,ACFT,6700 FT ALTITUDE,1,EVENT DISTANCE,303
19790222003429A,ACFT,SETTLED ONTO ICE,1,HAS EFFECT,303
19790222003429A,ACFT,SNOW COVERED LAKE,1,HAS EFFECT,303
19790222003439A,ACFT,65 DAYS PRIOR TO ACCIDENT,1,MAINTAINED BY,305
19790603012119A,ACFT,25-FT AGL LIFTOFF,1,EVENT DISTANCE,331
19790603012119A,ACFT,ENGINE STOPPED,1,HAS EFFECT,331
19790603012119A,ACFT,HIT GROUND,1,HAS EFFECT,331
19790603012119A,ACFT,FAILED TO ASSURE FUEL VALVE ON,1,HAS EFFECT,331
19790623022919A,ACFT,CRASHED & BURNED,1,HAS EFFECT,334
19790610014749I,ACFT,ENGINE QUIT AFTER LIFT OFF,1,HAS EFFECT,343
19790610014749I,ACFT,TANKS NEARLY EMPTY,1,HAS EFFECT,343
19790609024769A,ACFT,PARTIALLY EMPTY FUEL TANKS,1,MAINTAINED BY,358
19790609024769A,ACFT,PARKED OUTSIDE FOR 11 MONTHS,1,LOCATION,358
19790807024709A,ACFT,CRASHED,1,HAS EFFECT,366
19791228036809A,ACFT,RAN OFF END RWY INTO A BARN,1,EVENT DISTANCE,416
19800623021719A,ACFT,ABORTED TAKEOFF,1,HAS EFFECT,496
19800623021719A,ACFT,CRASHED IN DITCH,1,HAS EFFECT,496
19800623021719A,ACFT,END OF RUNWAY,1,LOCATION,496
19850315007389A,LOST CONTROL,ICING FORECAST,1,HAS EFFECT,7
19800217031649I,AFTER TAKEOFF,ENGINE QUIT,1,FOLLOWED BY,1
19991230042089A,AFTER TAKEOFF,ENGINE CUTTING OUT AND NOT DEVELOPING ENOUGH POWER,1,FOLLOWED BY,10
19780225001789I,AFTER TAKEOFF,REFUELING,1,LOCATION,156
19780811037539I,ENGINE QUIT,DRAINED WATER FROM FUEL TANK,1,HAS EFFECT,232
19780829037939I,ENGINE QUIT,LANDED ON REMAINING RUNWAY GEAR UP,1,HAS EFFECT,251
19780829037939I;19790127003859I,ENGINE QUIT,WATER IN FUEL,2,HAS CAUSE,251
19790210006409I;19790528028209I,ENGINE QUIT,FOUND WATER IN FUEL,2,HAS EFFECT,283
19790427100559I,ENGINE QUIT,AIRCRAFT DAMAGED IN AUTOROTATION,1,HAS EFFECT,337
19790427100559I,ENGINE QUIT,FUEL CONTAMINATION,1,HAS CAUSE,337
19791103056779I,ENGINE QUIT,OVER RICH MIXTURE,1,HAS CAUSE,399
19791015052549I,ENGINE QUIT,SHUTDOWN,1,HAS EFFECT,408
19791015052549I,ENGINE QUIT,MISSING FUEL CAP,1,HAS CAUSE,408
19800129002139A,ENGINE QUIT,PLANE CRASHED ON FIELD AIRSTRIP,1,HAS EFFECT,441
19800607046889I,ENGINE QUIT,NO DAMAGE IN EMERGENCY LANDING,1,HAS EFFECT,467
19790720021329A,HELICOPTER,SLING LOAD,1,USED BY,2
19790720021329A,HELICOPTER,INTO TREES,1,EVENT DISTANCE,2
19780904017739I,HELICOPTER,FORCED LANDING AFTER POWER LOSS,1,HAS EFFECT,237
19780904017739I,HELICOPTER,JET FUEL,1,USED BY,237
19790525014229A,HELICOPTER,IMPROPERLY SERVICED STRUTS,1,HAS CAUSE,351
19790525014229A,HELICOPTER,GR RESONANCE,1,HAS CAUSE,351
19800208002479A,HELICOPTER,SURFACE AT DEPARTURE,1,LOCATION,442
19800819040989A,HELICOPTER,FLAT BED,1,EVENT DISTANCE,498
19800819040989A,HELICOPTER,VERTICAL TAKEOFF,1,EVENT DISTANCE,498
19800819040989A,HELICOPTER,REAR SKID NOT INTIED,1,EVENT DISTANCE,498
19791023031609A,INTO TREES,HIT BY STUDENT PILOT,1,EVENT DISTANCE,406
