existing_node,match,new_row,final_node,similarity
TAKEOFF,AFTER TAKEOFF,11,AFTER TAKEOFF,1.0
SIDE OF PARKED AIRCRAFT,PARKED AIRCRAFT,17,PARKED AIRCRAFT,1.0
TAKEOFF,AFTER TAKEOFF,25,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,25,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,34,AFTER TAKEOFF,1.0
SIDE OF PARKED AIRCRAFT,PARKED AIRCRAFT,42,PARKED AIRCRAFT,1.0
TAKEOFF,AFTER TAKEOFF,50,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,55,AFTER TAKEOFF,1.0
TAKEOFF ROLL,DURING TAKEOFF ROLL,62,DURING TAKEOFF ROLL,1.0
TAKEOFF,AFTER TAKEOFF,64,AFTER TAKEOFF,1.0
LIFTOFF,AFTER LIFTOFF,69,AFTER LIFTOFF,1.0
SAME RUNWAY,RUNWAY,69,RUNWAY,1.0
SIDE OF RUNWAY,RUNWAY,69,RUNWAY,1.0
EMPTY,DOWN,95,DOWN,1.0000001
TAKEOFF ROLL,DURING TAKEOFF ROLL,97,DURING TAKEOFF ROLL,1.0
FLT,FIRST FLT,103,FIRST FLT,1.0
FLT,FIRST FLT,107,FIRST FLT,1.0
UNDER,DOWN,121,DOWN,1.0000001
FLT,FIRST FLT,127,FIRST FLT,1.0
LANDING,AFTER LANDING,136,AFTER LANDING,1.0
TAKEOFF ROLL,DURING TAKEOFF ROLL,140,DURING TAKEOFF ROLL,1.0
WATER IN THE FUEL,WATER IN FUEL,150,WATER IN FUEL,1.0
LIFTOFF,AFTER LIFTOFF,157,AFTER LIFTOFF,1.0
TAKEOFF,AFTER TAKEOFF,161,AFTER TAKEOFF,1.0
TOUCHDOWN,AFTER TOUCHDOWN,161,AFTER TOUCHDOWN,1.0
RAN OUT,RAN OFF,163,RAN OFF,1.0
TOUCHDOWN,AFTER TOUCHDOWN,164,AFTER TOUCHDOWN,1.0
DURING TAKEOFF,AFTER TAKEOFF,166,AFTER TAKEOFF,1.0
ENGINE TO QUIT,ENGINE QUIT,176,ENGINE QUIT,1.0
LANDING,AFTER LANDING,180,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,183,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,187,AFTER TAKEOFF,1.0
SIDE OF RUNWAY,RUNWAY,187,RUNWAY,1.0
SIDE OF AIRCRAFT,AIRCRAFT,190,AIRCRAFT,1.0
TAKEOFF,AFTER TAKEOFF,191,AFTER TAKEOFF,1.0
RUNUP,DURING RUNUP,192,DURING RUNUP,1.0
