c5_sources,node,count
19790720021329A;19990213001379A,ACFT,2
19850315007389A;19950527014439A;19990213001379A,LOST CONTROL,6
19800217031649I;19840121015319I;19840821046409A;19850418016709I;19860530030499A;19940818022409A;19950216008379I;19971226042729I;19991230042089A;20030620012809I,ENGINE,14
19800217031649I,QUIT,1
19790720021329A;20000215010329A;20010411006739I;20050504010229A;20051009024969I,HELICOPTER,6
19790720021329A,IMPROPER PREFLIGHT,1
19790720021329A;19840821046409A;19880527016939A;19910710026989A;19920405008919A,CRASHED,5
19790720021329A,LOAD WEDGED IN TREES,1
19860128014289I,FORWARD CARGO DOOR,1
19860128014289I;19991230042089A,AIRCRAFT TOOK OFF,2
20000215010329A,BELL HELICOPTER MODEL BHT-47-G5,1
19850315007389A;19860530030499A;19860706034879A;19950216008379I;20051009024969I,PILOT,5
19850315007389A,ICING,2
19850315007389A,ALTIMETER,1
19850315007389A,NOT IFR CERTIFIED,1
19900425011659A;19960322013629I,FERRY FLIGHT,2
19900425011659A,RAN OUT OF FUEL,1
19900425011659A,LEFT PONTOON,1
19900425011659A,SEPARATED LANDING IN A POND,1
19991230042089A,STARTED CUTTING OUT,1
19991230042089A,NOT DEVELOPING ENOUGH POWER,1
19991230042089A,SHORTLY AFTER,1
19820725041999I,LOOSE COWLING,1
19820725041999I;19840821046409A;19870606018859A,AFTER TAKEOFF,3
19780913017419I;19840821046409A;19860530030499A;19860706034879A;19870309039779I;19940412011509I;19950216008379I;19960322013629I;19970523014439I;20000215041409A;20000625032189I;20010421009329I;20010910029739I;20050429009279I,AIRCRAFT,14
19940412011509I,DESCENT,1
19971226042729I,NR2 ENGINE,1
19950619021589I,LANDED OFF AIRPORT,3
19950619021589I,HIGH OIL TEMP,1
19950619021589I,SHEARED MAIN GEAR,1
19950619021589I,LOW ON OIL,1
19940815046149I,ANTENNA,1
19940815046149I,CRACKED WINDSHIELD,1
19781108022239I;19790718019229I,BAGGAGE CART,6
19790718019229I,GROUND STAND,1
19790718019229I,9 INCH TEAR IN FUSELAGE,1
19790718019229I,INOPERATIVE BRAKES,1
19781108022239I;19790718019229I;19870309039779I,PARKED AIRCRAFT,3
20000625032189I,NORTHWEST AIRLINES DC-10 BOEING,1
19860530030499A,OVERHEAT,1
19860530030499A,HOT OIL SMELL,1
19860530030499A,FAILED TO REMOVE AIR INTAKE PLUGS,1
19860530030499A,NOSED OVER IN FURROWS,1
19821117066379I,ACCESS DOOR,1
19821117066379I,FUSELAGE,1
19950602032329I,VEERED OFF TAXIWAY,1
19950602032329I,STRUCK TAXIWAY LIGHT,1
19901101064289I,FUEL CAP,1
19901101064289I,RIGHT TANK,1
19780509032859I;19791128035159A;19860706034879A;19950804028629A,WATER,4
19780509032859I;19791128035159A;19860706034879A;19950804028629A,FUEL,5
19840121015319I,SOLID ICE IN CARBURETOR BOWL,1
19870523018729A;19871211075169A;19910710026989A;19950527014439A,CLIMBOUT,5
19950527014439A,TOW RELEASE,1
19950527014439A,ROLLED BOTH WAYS,1
19950527014439A,SPIRAL TO IMPACT,1
