c5_sources,node,count
19780527014729A,CARB AIR BOX ASSEMBLY,1
19780527014729A,ACORNS,1
19780616046119I;19790318009019I,PRECAUTIONARY LANDING,3
19780616046119I,LOW POWER,1
19780616046119I,CARBURETOR HEAT,2
19780616046119I,OVER RICH MIXTURE,1
19780616046119I,CARBURETOR,1
19780616046129I;19780726036499I;19780901016759I,NOSE GEAR,7
19780616046129I,COULD NOT BE FULLY EXTENDED,1
19780616046129I;19780923027059I,COLLAPSED,2
19780616046129I;19780923027059I,TOUCHDOWN,2
19780616046129I,NOSE GEAR DOORS,2
19780616046129I,HAD BEEN LEFT UNHOOKED,1
19780616046129I;19780901016759I,JAMMED,2
19780619046649I;19780623036259I;19780624034629I;19780704042039I;19780708043109I;19780723038809I;19780725039589I;19780805024609A;19780808049579I;19780921019829I;19781018032569I;19781119026389I;19781207022839I;19781223039539A;19781230019999I;19790106001239I;19790123003659I;19790203005099I;19790214002969A;19790313008789I;19790316004819A;19790410008789A,PILOT,33
19780607010749A;19780619046649I;19780726036499I;19780825038179I;19780923027059I;19781009029939I;19781102023729I;19781110039789A;19781117041969A;19790119001139A;19790306009619I;19790316004819A;19790404013469I,AIRCRAFT,29
19780619046649I,CONTROL PROBLEMS,1
19780619046649I,AILERON PUSH ROD,2
19780619046649I,NOT CONNECTED,1
19780622016229A,ROPE,1
19780622016229A,GLIDER WHEEL BRACKET,1
19780429007189A,TREE,1
19780429007189A,IL CAP,1
19780623018469A,LOOSE BATTERY POST,1
19780623018469A,LOSS OF ALTERNATOR,2
19780623018469A,EXCITING CURRENT,1
19780607020299A,ABORTED,1
19780607020299A,BECAME AIRBORNE,1
19780603041639I;19780629034269I;19780808049579I;19780831038519I,FLIGHT,9
19780603041639I,DOOR WAS CLOSED IN FLIGHT,1
19780603041639I,DOOR OPEN,1
19780607010749A,FULL NOSE DOWN TRIM,1
19780607016509A;19781117041969A,TKOF,5
19780607016509A;19781104034149A,TRAILER,2
19780607016509A;19781104034149A,R SKID,4
19780607016509A,TIEDOWN,2
19780623036259I,SMOKE AND FUMES IN COCKPIT,1
19780623036419I,OIL CAP,1
19780623036419I,LOOSE,1
19780624034629I;19780625035779I;19780625035919I;19780626034739I;19780725039589I;19780820049069I;19780829037939I;19780925018069I;19781009029939I;19781120025989I;19781230019999I;19790107000829I;19790111000619I;19790113001939I;19790127003859I;19790127003899I;19790211007509A;19790414012459I,ENGINE,41
19780624034629I;19780625035779I;19780626034739I,ENGINE STOPPED,3
19780625035919I,250 FEET,1
19780625035919I,CLIMBOUT,1
19780625035919I,WATER AND OTHER FOREIGN MATERIAL FOUND,1
19780625035919I,GASCOLATOR BOWL,1
19780625035779I,FUEL SELECTOR MOVED BY A PASSENGER,3
19780625035779I,SOON AFTER TAKEOFF,1
19780625035779I,DURING LOADING,1
19780626034739I,STOPPED,1
19780626034739I;19781102023729I;19790316004819A,AIRPLANE,5
19780626034739I;19790113001939I,WATER IN ALL OF THE FUEL SYSTEM,2
19780626034739I,NEWLY PURCHASED,1
19780626034739I,OUTSIDE,1
19780812020899A,MUD DOBBER(WASP),1
19780812020899A,FUEL VENT LINE,1
19780810035619A,LOW OIL STATE,1
19780810035619A,UNKNOWN,1
19780810035619A,LNDD,1
19780810035619A,FLOODED ALFALFA FIELD,1
19780820049069I,LOSS OF ENGINE POWER,1
19780629034269I;19780708043109I;19780808049829I;19780820049069I;19781117041969A;19781216025369I;19781230019999I;19790207005339I,AFTER TAKEOFF,8
19780820049069I,LANDED STRAIGHT AHEAD,1
19780820049069I,OAT FIELD,1
19780725039589I;19780820049069I;19780829037939I;19790127003859I,WATER IN FUEL,4
19780805024609A,MIXTURE CONTROL,1
19780704042039I,INOPERATIVE RADIO,1
19780704042039I,UNABLE TO FIND DESTINATION,1
19780704042039I,NEARLY OUT OF FUEL,1
19780704042039I,FOUND AN AIRPORT,1
19780822026439A;19781020041019A,ACFT,5
19780822026439A,ACFT DISPATCHER,1
19780822026439A,SEAT RETAINERS MISSING,1
19780726036499I,GOT AIRBORNE,1
19780726036499I,INFLATION,1
19780726036499I,CAM ADJUSTMENT,1
19780629034269I,IFR,1
19780629034269I,VFR,1
19780629034269I,RADIO FAILURE,1
19780629034269I,ATC,1
19780629034269I,CARGO DOOR,1
19780725039589I,55 GAL DRUM,1
19780708043109I;19780723038809I,STUDENT PILOT,4
19780708043109I,MAIN FUEL SUMP LEFT OPEN,1
19780708043109I;19781009029939I,LOST POWER,2
19780708043109I,AIRPORT LANDING,1
19780708043109I,OVERSHOT,1
19780723038809I,FUEL DRAIN,1
19780723038809I,RAN OUT OF FUEL,1
19780808049579I;19781120025989I,OIL LOSS,2
19780808049579I,FAILED TO SECURE OIL STICK,1
19780808049829I,LOOSE WHEEL FAIRING,2
19780808049829I,JAMMED TIRE,2
19780808049829I,RAN OFF SIDE OF RUNWAY,1
19780809049919I,HYDRAULIC SYSTEM,1
19780809049919I,LOW ON FLUID,1
19780811037539I;19780904017739I;19781102023549I;19781114026859I;19790207005159I;19790210006409I;19790410008789A,FORCED LANDING,11
19780811037539I;19781114026859I;19781230019999I;19790207005159I;19790210006409I;19790318009229I,AFTER ENGINE QUIT,6
19780811037539I;19781108022269I,,2
19780811037539I,DRAINED WATER FROM FUEL TANK,1
19780811037539I;19781128024449I;19790211007509A;19790410008789A,WATER,4
19780814037299I;19780901016759I;19780925018069I,GEAR,5
19780814037299I,ACTUATOR,1
19780814037299I,RETRACTED,1
19780814037299I,FAULTY GEAR ACTUATOR,1
19780814037299I;19781228040429A,SWITCH,2
19780825038179I,15 MINUTES AFTER TAKEOFF,1
19780825038179I,FUEL EXHAUSTION,1
19780831038519I;19781108022269I,AFTER LANDING,2
19780831038519I,CREW NOTICED COWLING LOOSE,1
19780831038519I,COWLING,2
19780831038519I,STRUCK PROP,1
19780831038519I,BROKE INTO PIECES,1
19780901016759I,UNABLE TO EXTEND,1
19780901016759I,DEFLATED NOSE GEAR STRUT,1
19780904017739I;19781102023549I,POWER LOSS,2
19780904017739I,HELICOPTER,1
19780904017739I,JET FUEL,1
19780907018599I,WING FLOATS,1
19780907018599I,DAMAGED,1
19780907018599I,NOSE GAR DOOR LINKAGE,1
19780907018599I,BROKEN,1
19780920018899I,EXPLOSION,2
19780920018899I,ENGINE START,1
19780920018899I,PILOT MISTOOK FOR BACKFIRE,2
19780920018899I,BEGAN FLIGHT,2
19780920018899I,LATER FOUND EXHAUST TUNNELS DAMAGED,1
19781018032569I,UNABLE TO GET THE NOSE WHEEL DOWN,1
