existing_node,match,new_row,final_node,similarity
WATER IN THE FUEL SYSTEM,WATER IN ALL OF THE FUEL SYSTEM,16,WATER IN ALL OF THE FUEL SYSTEM,0.99999994
TAKEOFF,AFTER TAKEOFF,20,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,25,AFTER TAKEOFF,1.0
WATER IN THE FUEL,WATER IN FUEL,26,WATER IN FUEL,1.0
TAKEOFF,AFTER TAKEOFF,26,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,27,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,30,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,32,AFTER ENGINE QUIT,1.0000001
AFTER,,32,,1.0000001
WHEEL WELL,WHEEL,40,WHEEL,1.0
WHEEL WELL,WHEEL,40,WHEEL,1.0
DUE TO,,42,,1.0000001
LANDING,AFTER LANDING,53,AFTER LANDING,1.0
SIDE,,53,,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,54,AFTER ENGINE QUIT,1.0000001
LANDING,AFTER LANDING,56,AFTER LANDING,1.0
LANDING,AFTER LANDING,56,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,57,AFTER TAKEOFF,1.0
ENGINE QUIT,AFTER ENGINE QUIT,57,AFTER ENGINE QUIT,1.0000001
LIFTOFF,AFTER LIFTOFF,61,AFTER LIFTOFF,1.0
TAKEOFF,AFTER TAKEOFF,70,AFTER TAKEOFF,1.0
WATER IN THE FUEL,WATER IN FUEL,72,WATER IN FUEL,1.0
WATER IN THE FUEL,WATER IN FUEL,72,WATER IN FUEL,1.0
TAKEOFF,AFTER TAKEOFF,77,AFTER TAKEOFF,1.0
GENERATOR CIRCUIT BREAKERS,BOTH GENERATOR CIRCUIT BREAKERS OUT,79,BOTH GENERATOR CIRCUIT BREAKERS OUT,1.0
ENGINE QUIT,AFTER ENGINE QUIT,82,AFTER ENGINE QUIT,1.0000001
ENGINE QUIT,AFTER ENGINE QUIT,83,AFTER ENGINE QUIT,1.0000001
BURNED OUT,BURNED,87,BURNED,1.0
 ,,89,,
