c5,c119,gemma3_4b_it_triplets,gemma3_4b_it_triplets_clean
19780527014729A,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,"<CARB AIR BOX ASSEMBLY, PART OF, ACORNS>","<CARB AIR BOX ASSEMBLY, PART OF, ACORNS>"
19780616046119I,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,"<PRECAUTIONARY LANDING, HAS CAUSE, LOW POWER>
<CARBURETOR HEAT, HAS EFFECT, OVER RICH MIXTURE>
<CARBURETOR HEAT, PART OF, CARBURETOR>","<PRECAUTIONARY LANDING, HAS CAUSE, LOW POWER>
<CARBURETOR HEAT, HAS EFFECT, OVER RICH MIXTURE>
<CARBURETOR HEAT, PART OF, CARBURETOR>"
19780616046129I,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ","<NOSE GEAR, HAS EFFECT, COULD NOT BE FULLY EXTENDED>
<NOSE GEAR, INSTANCE OF, COLLAPSED>
<NOSE GEAR, TIME PERIOD, TOUCHDOWN>
<NOSE GEAR DOORS, HAS EFFECT, HAD BEEN LEFT UNHOOKED>
<NOSE GEAR DOORS, HAS EFFECT, JAMMED>","<NOSE GEAR, HAS EFFECT, COULD NOT BE FULLY EXTENDED>
<NOSE GEAR, INSTANCE OF, COLLAPSED>
<NOSE GEAR, TIME PERIOD, TOUCHDOWN>
<NOSE GEAR DOORS, HAS EFFECT, HAD BEEN LEFT UNHOOKED>
<NOSE GEAR DOORS, HAS EFFECT, JAMMED>"
19780619046649I,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,"<PILOT, MAINTAINED BY, AIRCRAFT>
<AIRCRAFT, HAS CAUSE, CONTROL PROBLEMS>
<AILERON PUSH ROD, PART OF, AIRCRAFT>
<AILERON PUSH ROD, HAS CAUSE, NOT CONNECTED>","<PILOT, MAINTAINED BY, AIRCRAFT>
<AIRCRAFT, HAS CAUSE, CONTROL PROBLEMS>
<AILERON PUSH ROD, PART OF, AIRCRAFT>
<AILERON PUSH ROD, HAS CAUSE, NOT CONNECTED>"
19780622016229A,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,"<ROPE, PART OF, GLIDER WHEEL BRACKET>","<ROPE, PART OF, GLIDER WHEEL BRACKET>"
19780429007189A,OIL PR DROPPED TO ZERO.PLT SHUT DN ENG.WING HIT TREE ADJACENT TO IL CAP NOT SECURED.                               ,"<OIL PR, DROPPED TO, ZERO>
<PLT, SHUT DOWN, ENG>
<WING, HIT, TREE>
<TREE, LOCATION, IL CAP>
<IL CAP, NOT SECURED>","<OIL PR, DROPPED TO, ZERO>
<PLT, SHUT DOWN, ENG>
<WING, HIT, TREE>
<TREE, LOCATION, IL CAP>
<IL CAP, NOT SECURED>"
19780623018469A,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ","<LOOSE BATTERY POST, HAS CAUSE, LOSS OF ALTERNATOR>
<LOSS OF ALTERNATOR, HAS CAUSE, EXCITING CURRENT>","<LOOSE BATTERY POST, HAS CAUSE, LOSS OF ALTERNATOR>
<LOSS OF ALTERNATOR, HAS CAUSE, EXCITING CURRENT>"
19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,"<ABORTED, FOLLOWED BY, BECAME AIRBORNE>","<ABORTED, FOLLOWED BY, BECAME AIRBORNE>"
19780603041639I,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,"<FLIGHT, FOLLOWED BY, DOOR WAS CLOSED IN FLIGHT>
<FLIGHT, FOLLOWED BY, DOOR OPEN>","<FLIGHT, FOLLOWED BY, DOOR WAS CLOSED IN FLIGHT>
<FLIGHT, FOLLOWED BY, DOOR OPEN>"
19780607010749A,FULL NOSE DOWN TRIM.                                                                                               ,"<FULL NOSE DOWN TRIM, HAS EFFECT, AIRCRAFT>","<FULL NOSE DOWN TRIM, HAS EFFECT, AIRCRAFT>"
19780607016509A,"TKOF FROM TRAILER,NO LOAD. R SKID TIEDOWN NOT REMOVED.                                                             ","<TKOF, FOLLOWED BY, TRAILER>
<TKOF, HAS EFFECT, R SKID>
<R SKID, MAINTAINED BY, TKOF>
<R SKID, PART OF, TIEDOWN>
<TIEDOWN, MAINTAINED BY, TKOF>","<TKOF, FOLLOWED BY, TRAILER>
<TKOF, HAS EFFECT, R SKID>
<R SKID, MAINTAINED BY, TKOF>
<R SKID, PART OF, TIEDOWN>
<TIEDOWN, MAINTAINED BY, TKOF>"
19780623036259I,PILOT LANDED ON BEACH AFTER NOTING SMOKE AND FUMES IN COCKPIT CAUSED BY GRASS AND DIRT IN ENGINE COMPARTMENT       ,"<PILOT, LOCATED AT, BEACH>
<PILOT, HAS CAUSE, SMOKE AND FUMES IN COCKPIT>
<SMOKE AND FUMES IN COCKPIT, CAUSED BY, GRASS AND DIRT IN ENGINE COMPARTMENT>","<PILOT, LOCATED AT, BEACH>
<PILOT, HAS CAUSE, SMOKE AND FUMES IN COCKPIT>
<SMOKE AND FUMES IN COCKPIT, CAUSED BY, GRASS AND DIRT IN ENGINE COMPARTMENT>"
19780623036419I,PILOT LANDED AFTER NOTING OIL ON WINDSHIELD. OIL CAP WAS LOOSE.                                                    ,"<PILOT, PERFORMED, LANDED>
<PILOT, NOTED, OIL ON WINDSHIELD>
<OIL CAP, HAS EFFECT, LOOSE>","<PILOT, PERFORMED, LANDED>
<PILOT, NOTED, OIL ON WINDSHIELD>
<OIL CAP, HAS EFFECT, LOOSE>"
19780624034629I,PILOT STRUCK WIRES AFTER ENGINE STOPPED AND STARTED AGAIN AFTER SWITCHING TANK. VENT STOPPED UP BY MUD DAUBERS.    ,"<PILOT, USED BY, ENGINE>
<PILOT, HAS CAUSE, ENGINE STOPPED>
<PILOT, STARTED AGAIN, SWITCHING TANK>
<VENT, STOPPED UP BY, MUD DAUBERS>","<PILOT, USED BY, ENGINE>
<PILOT, HAS CAUSE, ENGINE STOPPED>
<PILOT, STARTED AGAIN, SWITCHING TANK>
<VENT, STOPPED UP BY, MUD DAUBERS>"
19780625035919I,ENGINE QUIT AT 250 FEET ON CLIMBOUT. WATER AND OTHER FOREIGN MATERIAL FOUND IN THE GASCOLATOR BOWL.                ,"<ENGINE, HAS CAUSE, 250 FEET>
<ENGINE, TIME PERIOD, CLIMBOUT>
<ENGINE, HAS EFFECT, WATER AND OTHER FOREIGN MATERIAL FOUND>
<GASCOLATOR BOWL, LOCATION, ENGINE>","<ENGINE, HAS CAUSE, 250 FEET>
<ENGINE, TIME PERIOD, CLIMBOUT>
<ENGINE, HAS EFFECT, WATER AND OTHER FOREIGN MATERIAL FOUND>
<GASCOLATOR BOWL, LOCATION, ENGINE>"
19780625035779I,ENGINE STOPPED SOON AFTER TAKEOFF DUE TO FUEL SELECTOR MOVED BY A PASSENGER DURING LOADING.                        ,"<ENGINE, HAS CAUSE, FUEL SELECTOR MOVED BY A PASSENGER>
<ENGINE, TIME PERIOD, SOON AFTER TAKEOFF>
<FUEL SELECTOR MOVED BY A PASSENGER, HAS EFFECT, ENGINE STOPPED>
<FUEL SELECTOR MOVED BY A PASSENGER, EVENT DISTANCE, DURING LOADING>","<ENGINE, HAS CAUSE, FUEL SELECTOR MOVED BY A PASSENGER>
<ENGINE, TIME PERIOD, SOON AFTER TAKEOFF>
<FUEL SELECTOR MOVED BY A PASSENGER, HAS EFFECT, ENGINE STOPPED>
<FUEL SELECTOR MOVED BY A PASSENGER, EVENT DISTANCE, DURING LOADING>"
19780626034739I,ENGINE STOPPED ON NEWLY PURCHASED AIRPLANE DUE TO WATER IN THE FUEL SYSTEM. HAD BEEN STORED OUTSIDE.               ,"<ENGINE, HAS EFFECT, STOPPED>
<ENGINE, PART OF, AIRPLANE>
<WATER IN THE FUEL SYSTEM, HAS CAUSE, ENGINE STOPPED>
<AIRPLANE, OWNED BY, NEWLY PURCHASED>
<AIRPLANE, LOCATION, OUTSIDE>","<ENGINE, HAS EFFECT, STOPPED>
<ENGINE, PART OF, AIRPLANE>
<WATER IN THE FUEL SYSTEM, HAS CAUSE, ENGINE STOPPED>
<AIRPLANE, OWNED BY, NEWLY PURCHASED>
<AIRPLANE, LOCATION, OUTSIDE>"
19780812020899A,MUD DOBBER(WASP)NEST IN FUEL VENT LINE.                                                                            ,"<MUD DOBBER(WASP), PART OF, FUEL VENT LINE>","<MUD DOBBER(WASP), PART OF, FUEL VENT LINE>"
19780712023399A,NO NARRATIVE.                                                                                                      ,,
19780810035619A,LOW OIL STATE.LNDD IN FLOODED ALFALFA FIELD.                                                                       ,"<LOW OIL STATE, HAS CAUSE, UNKNOWN>
<LNDD, HAS EFFECT, FLOODED ALFALFA FIELD>","<LOW OIL STATE, HAS CAUSE, UNKNOWN>
<LNDD, HAS EFFECT, FLOODED ALFALFA FIELD>"
19780820049069I,LOSS OF ENGINE POWER AFTER TAKEOFF. LANDED STRAIGHT AHEAD IN OAT FIELD. WATER IN FUEL.                             ,"<LOSS OF ENGINE POWER, HAS CAUSE, TAKEOFF>
<LANDED STRAIGHT AHEAD, FOLLOWED BY, OAT FIELD>
<WATER IN FUEL, HAS EFFECT, ENGINE>","<LOSS OF ENGINE POWER, HAS CAUSE, TAKEOFF>
<LANDED STRAIGHT AHEAD, FOLLOWED BY, OAT FIELD>
<WATER IN FUEL, HAS EFFECT, ENGINE>"
19780805024609A,PLT INADVERTENTLY MOVED MIXTURE CONTROL TO CUT OFF POSITION WHILEEMPTING TO LEAN MIXTURE.                          ,"<PILOT, USED BY, MIXTURE CONTROL>
<MIXTURE CONTROL, MOVED BY, PILOT>
<MIXTURE CONTROL, POSITION, CUT OFF>
<PILOT, ACTION, EMPETING TO LEAN MIXTURE>","<PILOT, USED BY, MIXTURE CONTROL>
<MIXTURE CONTROL, MOVED BY, PILOT>
<MIXTURE CONTROL, POSITION, CUT OFF>
<PILOT, ACTION, EMPETING TO LEAN MIXTURE>"
19780704042039I,"PILOT DEPARTED WITH INOPERATIVE RADIO, THEN UNABLE TO FIND DESTINATION. WHEN NEARLY OUT OF FUEL FOUND AN AIRPORT.  ","<PILOT, HAS CAUSE, INOPERATIVE RADIO>
<PILOT, HAS EFFECT, UNABLE TO FIND DESTINATION>
<PILOT, HAS EFFECT, NEARLY OUT OF FUEL>
<PILOT, FOLLOWED BY, FOUND AN AIRPORT>","<PILOT, HAS CAUSE, INOPERATIVE RADIO>
<PILOT, HAS EFFECT, UNABLE TO FIND DESTINATION>
<PILOT, HAS EFFECT, NEARLY OUT OF FUEL>
<PILOT, FOLLOWED BY, FOUND AN AIRPORT>"
19780822026439A,ACFT BEING FERRIED FOR MAINT. SEAT RETAINERS MISSING.                                                              ,"<ACFT, MAINTAINED BY, ACFT DISPATCHER>
<ACFT, HAS EFFECT, SEAT RETAINERS MISSING>","<ACFT, MAINTAINED BY, ACFT DISPATCHER>
<ACFT, HAS EFFECT, SEAT RETAINERS MISSING>"
19780726036499I,"AIRCRAFT VEERED LEFT DURING TAKEOFF, GOT AIRBORNE. NOSE GEAR DID NOT CENTER DUE TO INFLATION AND CAM ADJUSTMENT    ","<AIRCRAFT, FOLLOWED BY, GOT AIRBORNE>
<NOSE GEAR, HAS CAUSE, INFLATION>
<NOSE GEAR, HAS CAUSE, CAM ADJUSTMENT>","<AIRCRAFT, FOLLOWED BY, GOT AIRBORNE>
<NOSE GEAR, HAS CAUSE, INFLATION>
<NOSE GEAR, HAS CAUSE, CAM ADJUSTMENT>"
19780629034269I,FLIGHT HAD FILED IFR BUT TOOK OFF VFR. WAS CONSIDERED A RADIO FAILURE BY ATC. ALSO CARGO DOOR WAS OPENED ON TAKEOFF,"<FLIGHT, INSTANCE OF, IFR>
<FLIGHT, FOLLOWED BY, VFR>
<FLIGHT, HAS CAUSE, RADIO FAILURE>
<FLIGHT, INFLUENCED BY, ATC>
<CARGO DOOR, HAS EFFECT, TAKEOFF>","<FLIGHT, INSTANCE OF, IFR>
<FLIGHT, FOLLOWED BY, VFR>
<FLIGHT, HAS CAUSE, RADIO FAILURE>
<FLIGHT, INFLUENCED BY, ATC>
<CARGO DOOR, HAS EFFECT, TAKEOFF>"
