c5_sources,entity1,entity2,weight,relations,rows
19750315005389A,TAILWHEEL,PRIOR TO TKOF,1,TIME PERIOD,0
19751029037799A,ILS APCH,2ND ILS APCH,1,FOLLOWED BY,2
19751029037799A,ACFT,G/S INOP,1,HAS CAUSE,2
19750905025029A,ACFT,TAXIWAY,1,PART OF,5
19751029037799A,LOM,WRONG FREQ,1,FOLLOWED BY,2
19751209037899A,BRAKE PEDAL,SOFT,1,HAS EFFECT,3
19751209037899A,FLIGHT,RTND SPRINGFIELD,1,FOLLOWED BY,3
19751209037899A,FLIGHT,STRONG WINDS,1,INFLUENCED BY,3
19760215007629A,FLIGHT,REC REPTD INOP,1,FOLLOWED BY,7
19760215007629A,FLIGHT,PRIOR DAY,1,TIME PERIOD,7
19780617046219I,FLIGHT,BEFORE REPAIRS WERE COMPLETED,1,TIME PERIOD,81
19780617046219I,FLIGHT,MAG FAILURE,1,HAS CAUSE,81
19750818025579A,TFC R MAIN,BROKE THROUGH ROOF,1,HAS CAUSE,4
19750818025579A,TFC R MAIN,WASHED OUT UNDERGROUND TUNNEL,1,PART OF,4
19750818025579A,WASHED OUT UNDERGROUND TUNNEL,TUNNEL,1,LOCATION,4
19750818025579A,TAXI,SFC,1,FOLLOWED BY,4
19750905025029A,NOSE WHEEL,ACFT,1,PART OF,5
19780319009079I,NOSE WHEEL,LIFTOFF,1,EVENT DISTANCE,66
19780319009079I,NOSE WHEEL,DROPPED OUT,1,HAS EFFECT,66
19750905025029A,6 IN RUT,ACFT,1,HAS EFFECT,5
19750905025029A,6 IN RUT,TAXIWAY,1,LOCATION,5
19750923031109A,DEP,FLIGHT,1,PART OF,6
19750923031109A,DEP,KNOWN ELEC PROB,1,HAS CAUSE,6
19750923031109A,DEP,DIDNT USE EMERG GR DOWN SYS,1,FOLLOWED BY,6
19760531024959A,TURBOCHARGER,WASTE GATE DID NOT ACTUATE,1,HAS CAUSE,8
19760507010379A,LEFT ENG OIL SUPPLY,EXHAUSTED,1,HAS EFFECT,9
19760507010379A,GEAR-UP,AFTER LANDING,1,FOLLOWED BY,9
19760507010379A,AFTER LANDING,MESQUITE BRUSH,1,LOCATION,9
19760507010379A,DENSITY ALTITUDE,7200 FT,1,LOCATION,9
19761022033409A,PLT,WNDSHD,1,FOLLOWED BY,10
19761022033409A,PLT,WINDOWS FOGGED UP,1,FOLLOWED BY,10
19761022033409A,PLT,VFR DEPARTURE,1,INFLUENCED BY,10
19770610021339A,PLT,N42807,1,USED BY,24
19770610021339A,PLT,N7930C,1,USED BY,24
19770622018359A,PLT,ELECTRICAL PWR FAILURE,1,INFLUENCED BY,25
19760730023679A,ELECT SYST,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED,1,HAS CAUSE,12
19760730023679A,ELECT SYST,NOT TIME TO EXT,1,TIME PERIOD,12
19760730023679A,GEAR,MANUALLY,1,MAINTAINED BY,12
19780206006149I,GEAR,GEAR EXTENDED OK,1,INSTANCE OF,46
19780206006149I,GEAR,LANDED OK,1,HAS EFFECT,46
19780402009009I,GEAR,ROLLOUT,1,PART OF,70
19780409009699I,GEAR,COLLAPSED,1,HAS EFFECT,74
19780409009699I,GEAR,TOUCHDOWN,1,FOLLOWED BY,74
19760715023479A,GRASS FIRE,SKID,1,HAS CAUSE,13
19760715023479A,SKID,REFUELING LINE,1,INSTANCE OF,13
19761119035559A,BANNER PICK UP,L LNDG GR,1,HAS EFFECT,14
19761119035559A,LOOP ON TOW ROPE,PLT UN MAINTAIN FLT,1,FOLLOWED BY,14
19770506041719A,R ENG,L MAG EXCESSIVE DROP,1,HAS CAUSE,16
19770506041719A,R ENG,PRESSURE SWITCH MALFUNCTION,1,HAS CAUSE,16
19770506041719A,R ENG,ATTEMPTS FEATHER R PROP,1,FOLLOWED BY,16
19770120001659A,RUDDER GUST LOCK,RUDDER GUST LOCK ENGAGED,1,INSTANCE OF,17
19770120001659A,WINGS,ICE,1,HAS EFFECT,17
19770120001659A,OVERWEIGHT,OVERWEIGHT,1,HAS EFFECT,17
19770702018479A,RUDDER & AIL CTL CABLES,RUDDER,1,PART OF,18
