existing_node,match,new_row,final_node,similarity
TAXI OFF,TAXI,4,TAXI,1.0
LANDING,AFTER LANDING,9,AFTER LANDING,1.0
LANDING,AFTER LANDING,9,AFTER LANDING,1.0
OUT OF FUEL,FUEL,31,FUEL,1.0
WATER IN THE FUEL,WATER IN FUEL,50,WATER IN FUEL,1.0
PILOT CERTIFICATE,NO PILOT CERTIFICATE,50,NO PILOT CERTIFICATE,1.0
NO ANNUAL,ANNUAL,50,ANNUAL,0.99999994
TAKEOFF,AFTER TAKEOFF,55,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,56,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,58,AFTER LANDING,1.0
WORN OUT,WORN,62,WORN,1.0
EMPTY,AFTER,62,AFTER,1.0000001
GEAR HANDLE DOWN,GEAR HANDLE,64,GEAR HANDLE,1.0000001
TAKEOFF,AFTER TAKEOFF,66,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,76,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,91,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,91,AFTER TAKEOFF,1.0
UP POSITION,DOWN POSITION,92,DOWN POSITION,1.0000001
