c5_sources,node,count
19760606015529A,GLIDER,1
19760606015529A,OPPORTUNITY,1
19780111000459A,ACFT DISPATCHER,1
19780111000459A,HARRASSMENT OF PILOT,1
19780111000459A;19781113027039I;19791128035159A;19801005072789I;19821117066379I;19850315007389A;19850418016709I;19860706034879A;19861114075329I;19870309039779I;19930530020029I;19950216008379I;19960504009509A;19970908038069A;19990714022959I;20010421009329I;20030620012809I;20050429009279I;20051009024969I;20060621012279A,PILOT,26
19780111000459A,FORGOT TO REMOVE TIEDROPE,1
19780402008409I,TAXIING AIRCRAFT,1
19780402008409I;19781108022239I;19790718019229I,PARKED AIRCRAFT,3
19780402008409I,INEFFECTIVE BRAKES,1
19780402008409I,WORN OUT,1
19780427013859I;19980616023109I,ENGINE COWLING,2
19780427013859I;19791128035159A;19800217031649I;19801116083749I;19840121015319I;19860706034879A;19880527016939A;19991230042089A;20030620012809I,ENGINE,11
19780427013859I,SEPARATION,1
19780427013859I;19901101064289I;20070202001609A,FLIGHT,6
19780509032859I,POWER LOSS,1
19780509032859I;19801116083749I;19840821046409A;19871027060859A,FORCED LANDING,6
19780509032859I,FOUND WATER IN FUEL,1
19780913017419I,ABORTED TAKEOFF,1
19780913017419I,FRONT BAGGAGE DOOR POPPED OPEN,1
19780916024019A,TIE DOWN STRAP,3
19780916024019A,TRAILER,1
19780916024019A,LEFT SKID,1
19780916024019A,TETHERED,1
19780916024019A,HEPER,1
19780916024019A,?,1
19781108022239I;19790718019229I,BAGGAGE CART,4
19781108022239I,JET BLAST,1
19781108022239I,BRAKES,1
19781108022239I,CART,1
19781210024199I,WHEELS LOCKED UP,2
19781210024199I,SNOW PACKED,1
19781210024199I,WHEEL PANTS,1
19781113027039I;19970908038069A,TAXI,3
19781113027039I,TAXIED,3
19781113027039I,UNMARKED DITCH,1
19781113027039I;19950602032329I;20050429009279I,TAXIWAY,3
19790211002709A;19840821046409A;19860128014289I;19860706034879A;19870309039779I;19890725041869I;19930530020029I;19940412011509I;19960322013629I;20010421009329I;20020619014309A;20030607012509A;20040304003309I;20050429009279I;20050713014239I;20070202001609A;20070630826079I,AIRCRAFT,33
19790211002709A,FAILED TO LIFTOFF RUNWAY,1
19790211002709A,RAN OFF END INTO SNOW BANK,1
19790211002709A,FROST ON AIRFRAME,1
19790720021329A;20010411006739I,HELICOPTER,2
19790720021329A,SLING LOAD,1
19790720021329A;19920405008919A;19940818022409A,CRASHED,6
19790720021329A,IMPROPER PREFLIGHT,1
19790720021329A,TREES,1
19790718019229I,INOPERATIVE BRAKES,1
19790718019229I,FUSELAGE,1
19790718019229I,9 INCH TEAR,1
19791128035159A;19980620030289I,FIELD,2
19791128035159A,RAN ROUGH,1
19791128035159A,CLAIMS WATER IN FUEL,1
19800217031649I;19820725041999I;19840121015319I;19840821046409A;19870606018859A;19950216008379I;19960524045629A;19991230042089A;20010411006739I;20060621012279A;20070630826079I,TAKEOFF,13
19800217031649I,WING FUEL TANK SUMPS,2
19800217031649I,ENGINE QUIT,1
19800217031649I,PREFLIGHT,1
19800217031649I,AFTER TAKEOFF,1
19800217031649I,NOT DRAINED,1
19800506012169A;19960418007829A,AIRPLANE,2
19800506012169A;19850315007389A;19950527014439A;19960504009509A;19990213001379A,LOST CONTROL,11
19800506012169A,FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN,1
19800506012169A,TAKE OFF ROLL,1
19800804037399A,FUEL EXHAUSTION,2
19800804037399A,FUEL SIPHONING,1
19800804037399A,OVERSHOT EMERGENCY LANDING AREA,1
19801005072789I,BRAKE,2
19801005072789I,REMAINING BRAKE FAILED,1
19801005072789I,RUNWAY,1
19801005072789I,END OF RUNWAY,1
19801116083749I,AUXILIARY FUEL SYSTEM,1
19801116083749I;19840121015319I,ICE,2
19801230089799I,FLAT NOSE STRUT,4
19801230089799I,BEFORE RETRACTION,1
19801230089799I,AIRPLANE STRUCTURE,1
19801230089799I,BELLCRANK,1
19801230089799I,COLLAPSED,1
19810303007119A;19890723054159I,LANDING,2
19810303007119A,VEERED OFF RUNWAY,2
19810303007119A,HIT PARKED AIRPLANE,1
19810303007119A,CARPETING,1
19810303007119A,RUDDER PEDAL MOVEMENT,1
19820725041999I,LOOSE COWLING,2
19820725041999I,CRACKED WINDSHIELD,3
19820725041999I,DENTED STABILIZER,2
19820725041999I,RETURNING TO LAND,2
19821117066379I,PRESSURIZE,1
19821117066379I,ACCESS DOOR,1
19821117066379I;19940815046149I,OPEN,2
19821117066379I,DEPRESSURIZED,1
19821117066379I,DOOR OPENED FULLY,2
19821117066379I,STOPPED BY FUSELAGE,1
19840121015319I,DRIFTED OFF THE EDGE,1
19840121015319I,CARBURETOR BOWL,1
19840821046409A,CRASH,3
19840821046409A,ENGINE FAILURE,2
19840821046409A,ANNUAL INSPECTION,1
19841214074599I;19990213001379A,TAXIING,4
19841214074599I,LOST NOSEWHEEL STEERING AND BRAKES,1
19841214074599I,STRUCK 2 AIRCRAFT AND FENCE,1
19841214074599I,CIRCUIT BREAKER HYDRAULIC PUMP,1
