c5_sources,node,count
19750905025029A;19751029037799A;19770610021339A;19780822026439A;19781020041019A;19990213001379A,ACFT,14
19780218007139I;19780311016379I;19780811037539I;19781108022269I;19960322013629I;19990213001379A,,7
19990213001379A,RAN INTO A DITCH,1
19850525020799A;19990213001379A,STRUCK A TREE,3
19780210006769I;19780218007139I;19780225001789I;19780319009079I;19780416008469I;19780522035289I;19780629034269I;19780708043109I;19780808049829I;19780820049069I;19781117041969A;19781216025369I;19781230019999I;19790207005339I;19800217031649I;19820725041999I;19840121015319I;19840821046409A;19860706034879A;19870606018859A;19950216008379I;19970523014439I;19991230042089A;20010411006739I;20060621012279A,AFTER TAKEOFF,27
19780106001449I;19780108002219I;19780110002479I;19780129004679I;19780219007659I;19780403009359I;19780416008469I;19780429014759I;19780811037539I;19781114026859I;19781230019999I;19790207005159I;19790210006409I;19790318009229I;19800217031649I;19801116083749I;19880527016939A;19991230042089A;20070630826079I,AFTER ENGINE QUIT,21
19800217031649I,WING FUEL TANK SUMPS,1
19790720021329A;19800217031649I;19801116083749I,FROZEN,3
19790720021329A;19910710026989A;19920405008919A;19940818022409A;19960418007829A,CRASHED,10
19780106001449I;19790720021329A,IMPROPER PREFLIGHT,2
19790720021329A,WEDGED IN TREES,1
19780402008409I;19841214074599I;20050429009279I,TAXIING,5
19841214074599I,LOST NOSEWHEEL STEERING,1
19780311016379I;19780525040389I;19790718019229I;19841214074599I,BRAKES,7
19841214074599I,STRUCK 2 AIRCRAFT,2
19790119001139A;19841214074599I,FENCE,2
19841214074599I,CIRCUIT BREAKER HYDRAULIC PUMP,1
19841214074599I,OPEN,1
19820725041999I;19860128014289I,OBJECTS,3
19860128014289I,FAILED TO SEE WARNING LIGHT,1
19780327010619I;19780402008409I;19780429014759I;19780519033989I;19780607010749A;19780619046649I;19780726036499I;19780825038179I;19780923027059I;19781009029939I;19781102023729I;19781108022239I;19781110039789A;19781117041969A;19790119001139A;19790211002709A;19790306009619I;19790316004819A;19790404013469I;19790718019229I;19840821046409A;19860128014289I;19860706034879A;19870309039779I;19890725041869I;19930530020029I;19940412011509I;19950314029269I;19960322013629I;20010421009329I;20020619014309A;20050429009279I;20050713014239I;20070202001609A,AIRCRAFT,64
19860128014289I,RETURNED,1
20000215010329A,MR. TIMOTHY ALLEN WELLS,2
20000215010329A;20010411006739I,BELL HELICOPTER,3
20000215010329A,BELL HELICOPTER MODEL BHT-47-G5,1
19780904017739I;20000215010329A;20010411006739I,HELICOPTER,4
19801116083749I;20000215010329A;20070630826079I,N4754R,6
19971226042729I;20000215010329A,PILOT IN COMMAND,2
19801116083749I,ICE IN AUXILIARY FUEL SYSTEM,1
19780111000459A;19780130004789I;19780206006149I;19780208007759I;19780210005719I;19780212006439I;19780218007139I;19780221000179I;19780225001819I;19780307014069I;19780309015599I;19780311016379I;19780316008589I;19780327010619I;19780330011569I;19780402009009I;19780409009699I;19780503031639I;19780504031959I;19780526040429I;19780528040689I;19780603041629I;19780619046649I;19780623036259I;19780624034629I;19780704042039I;19780708043109I;19780723038809I;19780725039589I;19780805024609A;19780808049579I;19780921019829I;19781018032569I;19781113027039I;19781119026389I;19781207022839I;19781223039539A;19781230019999I;19790106001239I;19790123003659I;19790203005099I;19790214002969A;19790313008789I;19790316004819A;19790410008789A;19791128035159A;19821117066379I;19850315007389A;19850418016709I;19860706034879A;19871027060859A;19930530020029I;19950216008379I;19960504009509A;19970908038069A;20010411006739I;20010421009329I;20030620012809I;20050429009279I;20060621012279A,PILOT,86
19850315007389A,ALTIMETER,1
19850315007389A,ICING,2
19850315007389A;19950527014439A,LOST CONTROL,3
19850315007389A,ICING FORECAST,1
19850315007389A,ALTITUDE,1
19850315007389A,LOWER ALTITUDE,1
20070630826079I,CLIMB,1
19900425011659A,FERRY FLIGHT,3
19780723038809I;19900425011659A,RAN OUT OF FUEL,2
19900425011659A,LEFT PONTOON SEPARATED,1
19900425011659A,LANDING IN A POND,1
19780429014759I;19900425011659A,FUEL CAP,2
19900425011659A,FUEL SIPHONED,1
19991230042089A,CUTTING OUT,1
19820725041999I,LOOSE COWLING,1
19820725041999I,RETURNING TO LAND,1
19820725041999I,COWLING CAME OFF,1
19820725041999I;19940815046149I,CRACKED WINDSHIELD,2
19820725041999I,DENTED STABILIZER,1
19790316009739I;19940412011509I,GROUND,2
19940412011509I,LANDED SAFELY,1
19971226042729I,NR2 ENGINE FIRE,5
19971226042729I,LOADING PASSENGERS,1
19790223006939I;19971226042729I,GATE,2
19971226042729I,EVACUATED,1
19971226042729I,FUEL LEVER,2
19971226042729I,FLIGHT IDLE,1
19971226042729I,CUT OFF,1
19780925018069I;19971226042729I,SMOKE,2
19950619021589I,HIGH OIL TEMP.,1
19950619021589I,LANDED OFF AIRPOR,2
19950619021589I,FOUND LOW ON OIL,1
19940815046149I,ANTENNA,1
19781108022239I;19790223006939I;19790718019229I,BAGGAGE CART,8
19790718019229I,GROUND STAND,1
19790718019229I;19821117066379I,FUSELAGE,2
19790718019229I,9 INCH TEAR,1
19840821046409A;20000625032189I,DC-10,4
20000625032189I,BOEING,1
20000625032189I,PUSHED BACK,1
20000625032189I,GATE B-52,1
19780205005989I;19780206006039I;19780210005719I;19780210006769I;19780213006479I;19780218007139I;19780219007659I;19780225001789I;19780225001819I;19780228000419I;19780309015599I;19780325010349I;19780328011399I;19780427013859I;19780429014759I;19780518033959I;19780522035289I;19780529040959I;19780613045599I;19780624034629I;19780625035779I;19780625035919I;19780626034739I;19780725039589I;19780820049069I;19780829037939I;19780925018069I;19781009029939I;19781120025989I;19781230019999I;19790107000829I;19790111000619I;19790113001939I;19790127003859I;19790127003899I;19790211007509A;19790414012459I;19840121015319I;19850418016709I;19860530030499A;19860706034879A;19871211075169A;20030620012809I,ENGINE,95
19860530030499A,ENGINE OVERHEAT,1
19860530030499A,HOT OIL SMELL,1
19860530030499A,FAILED TO REMOVE AIR INTAKE PLUGS,1
19860530030499A;19940226003029A;19980508008619A,NOSED OVER,6
19860530030499A,PLOWED FAILED,1
19821117066379I,UNABLE TO PRESSURIZE,1
19821117066379I,ACCESS DOOR,2
19780504031959I;19790207005339I;19821117066379I;19960524045629A,DOOR,6
19821117066379I,DEPRESSURIZED,1
19780210005719I;19780626034739I;19821117066379I,STOPPED,3
19810303007119A,VEERED OFF RUNWAY ON LANDING,2
19810303007119A,PARKED AIRPLANE,1
19810303007119A,NEWLY INSTALLED CARPETING,1
19950602032329I,VEERED OFF TAXIWAY,3
19750905025029A;19780401007929I;19781108022269I;19950602032329I,TAXIWAY,5
19950602032329I,STRUCK TAXIWAY LIGHT,3
19950602032329I,WAS ADVISED DAMAGED PROP,2
19950602032329I,CONTINUED TO LIT,1
20050713014239I,RAYTHEON AIRCRAFT CO. B36TC,3
20050713014239I,JULY 13, 2005,1
20050713014239I,1535 MST,1
19860706034879A,FLIPPED,1
19781230019999I;19860706034879A,TANKS,2
19770912040629A;19780106001449I;19780112002729I;19780509032859I;19780522035289I;19781102023549I;19790211007509A;19790410008789A;19860706034879A;19880527016939A;19950804028629A,FUEL,13
19770927027719A;19780522035289I;19780811037539I;19781128024449I;19790211007509A;19790410008789A;19860706034879A;19950804028629A,WATER,11
19840121015319I,FAILED,1
19840121015319I,CARBURETOR BOWL,1
19780625035919I;19791128035159A;19870523018729A;19871211075169A;19910710026989A;19950527014439A,CLIMBOUT,7
19950527014439A,SPIRAL TO IMPACT,1
19960322013629I,MAINTENANCE,1
19760730023679A;19780206006149I;19780211006969I;19780402009009I;19780409009699I;19780814037299I;19780901016759I;19780925018069I;19870319012959I;19960322013629I,GEAR,15
19960322013629I,NOSE BLOCK,1
19960504009509A,ROLL,1
19960504009509A;20010910029739I,-23,4
19960504009509A,FAILED TO FULLY DETACH,1
19790211002709A,FAILED TO LIFTOFF RUNWAY,1
19790211002709A,RAN OFF END,1
19790211002709A,INTO SNOW BANK,1
19790211002709A,FROST ON AIRFRAME,1
19850418016709I,POWER FAILURE,2
19850418016709I,DOING AEROBATICS,1
19750923031109A;19751209037899A;19760215007629A;19780206006039I;19780427013859I;19780603041639I;19780617046219I;19780629034269I;19780808049579I;19780831038519I;19850418016709I;19980415037339I,FLIGHT,21
19781114026859I;19850418016709I;19850729066139I,FIELD,3
19850418016709I,FUEL TANKS,1
19780113002859I;19780913017419I;19870606018859A,ABORTED TAKEOFF,4
19780913017419I,FRONT BAGGAGE DOOR POPPED OPEN,1
19780316008589I;19781113027039I;19781119026389I,DITCH,3
19781113027039I,END,1
19870606018859A,UNABLE TO STAY AIRBORNE,1
19860514036219I;19870606018859A,GROUND LOOPED,3
19870606018859A,MAG SWITCH,1
19870606018859A,MAG,1
19960418007829A;19990714022959I,AFTER DEPARTURE,2
19990714022959I,HOURS OF DARKNESS,1
19990714022959I,START,1
19990714022959I,RUN,1
19780211006969I;19780401007929I;19780616046129I;19780726036499I;19780901016759I;19870319012959I,NOSE GEAR,14
20050504010229A,N160LA,3
20050504010229A,SIKORSKY S-70A,1
20050504010229A,INFLIGHT,1
20050504010229A,APU DOOR STRUCK A MAIN ROTOR BLADE,1
20050429009279I,PARKING,1
20050429009279I,CARGO TRIP,1
19760507010379A;19780307014069I;19780416008469I;19780831038519I;19781108022269I;19890723054159I;19980508008619A,AFTER LANDING,8
19890723054159I,DETERMINED,1
19780629034269I;19970523014439I,CARGO DOOR,2
19970523014439I,RUNWAY CONDITIONS AT STEVEN’S VILLAGE,1
19970523014439I,STEVEN’S VILLAGE,1
19970908038069A,Tired Taxi,2
19970908038069A,Tiedown Chains,1
19950826026019A;19970908038069A,ROLLED,2
19970908038069A,Skids,2
19970908038069A,High Wind,1
19781108022239I;19790223006939I,JET BLAST,3
19781108022239I,BAGGAGE CART WAS BLOWN INTO PARKED AIRCRAFT,1
19760606015529A,RELEASE,1
19760606015529A,SUFFICIENT OPPORTUNITY,1
19760606015529A,GLIDER,1
19760606015529A,NOSE HIGH ATTITUDE,1
19780130004789I;19930530020029I;19970828026989A,TAKEOFF ROLL,3
19930530020029I,SEATS,2
19930530020029I,AFT,1
19930530020029I,ACCELERATION,1
19801230089799I,FLAT NOSE STRUT,1
19780409009699I;19780603041629I;19780616046129I;19780923027059I;19801230089799I,COLLAPSED,6
19780205005989I;19780708043109I;19781009029939I;19940226003029A;19950804028629A;19980508008619A;20070202001609A,LOST POWER,8
19980508008619A,SLOPE,1
19980508008619A,FAILED TO VISUALLY CHECK FUEL,1
19940818022409A,LOST LEFT ENGINE,1
19940818022409A,H71,1
19770912040629A;19940818022409A,FEATHERED,2
19940818022409A,BEGAN GO AROUND,2
19940818022409A,BELOW VMC,1
19940818022409A,BAD OIL LEAK,1
19940818022409A,CRACKED ENGINE CASE,1
19920405008919A,ATTEMPTED TAKEOFF,4
19920405008919A,2500 FT,1
19920405008919A,GUSTY NORTH WIND,1
19920405008919A,HIT TREES,1
19840821046409A;19880527016939A,CRASH,3
19781230020029I;19790410008789A;19840821046409A,ENGINE FAILURE,3
19840821046409A,NOT HAD ANNUAL INSPECTION,1
19950216008379I,CESSNA 207,2
19950216008379I,N1549U,1
19780624034629I;19780625035779I;19780626034739I;19950216008379I,ENGINE STOPPED,4
19950216008379I,BETHEL AIRPORT,1
19850525020799A,TOUCHED DOWN,3
19850525020799A,LONG AND BOUNCED,1
19850525020799A,ATTEMPTED DOWNWIND GO AROUND,2
19850525020799A,FULL FLAPS,1
19850525020799A,3 MILES FROM AIRPORT,1
19861114075329I,ENTERED TCA,1
19861114075329I,ATC COMMUNICATION,1
20010421009329I,CRUISE FLIGHT,1
20010421009329I,RPM LOSS,1
20010421009329I,COULD NOT MAINTAIN ALTITUDE,1
19960524045629A,BELLWOU MC,1
19960524045629A,LANDED ON SEA ICE,1
19960524045629A,WILL FLY,1
19871211075169A,SPARK PLUGS OUT OF TOLERENCE,1
19871211075169A,PRIMER,1
19871211075169A,CITY STREET,1
19750818025579A;19780307014069I;19790107000829I;20010910029739I,TAXI,4
20010910029739I,NOSE LANDING GEAR GREEN LIGHT WAS OUT,1
20010910029739I,ATTEMPTED TO SWAP LIGHTS TO VERIFY TH,1
19871027060859A,ELECTRIC POWER,1
19871027060859A,IFR DUAL FLIGHT,2
19780108002219I;19780110002479I;19780112002729I;19780403009389I;19780507032369I;19780509032859I;19780811037539I;19780904017739I;19781102023549I;19781114026859I;19790207005159I;19790210006409I;19790410008789A;19871027060859A,FORCED LANDING,24
19871027060859A,STRUCK POWER POLE,1
19870523018729A;19871027060859A,PILOT ERROR,2
19871027060859A,CIRCUIT BREAKER,1
19780403009359I;19781114026859I;19871027060859A;19880527016939A,FOUND,4
19980616023109I,LOUD BANG,1
19980616023109I,SPARKS AT ROTOR,1
19780206006039I;19780427013859I;19980616023109I,ENGINE COWLING,6
19980616023109I,ROTOR,1
19980616023109I,COWL,1
19910710026989A;19951031041599A,STALLED,4
19910710026989A;20060621012279A,SEAT,2
19910710026989A,SEAT TRACK,1
19780112002729I;19780509032859I;19780904017739I;19781102023549I,POWER LOSS,4
19780509032859I;19780520014159A;19781128024449I;19790210006409I,?,5
19780509032859I;19781102023549I,FOUND WATER,3
19780108002219I;19780219007659I;19780325010349I;19780509032859I;19781128024449I;19790113001939I;19790414012459I,FUEL SYSTEM,9
19780626034739I;19781102023729I;19790316004819A;19800506012169A,AIRPLANE,6
19800506012169A,FAILED TO REMOVE AILERON-ELEVATOR LOCK PIN,1
20060621012279A,AT ROTATION,1
20060621012279A,OVERROTATE,1
19950314029269I,N7016M,3
19950314029269I,MARCH 14, 1995,1
19950314029269I,NEAR THE BLO,1
19780225001819I;19780825038179I;19800804037399A,FUEL EXHAUSTION,4
19800804037399A,IMPROPERLY SECURED VENT CAP,1
19780106001449I;19780221000179I;19800804037399A,EMERGENCY LANDING,5
19780402008409I,WORN OUT & INEFFECTIVE BRAKES,1
19780920018899I;19890725041869I,ENGINE START,2
19890725041869I,PILOTS SEAT,1
19780617046219I;19890725041869I,PILOTS,2
20030607012509A,BARTLESVILLE MUNICIPAL AIRPORT (BVO),1
20030607012509A,BARTLESVILLE, OK,1
19781210024199I,WHEELS,2
19781210024199I,WHEEL PANTS,1
19780218007139I;19781210024199I,SNOW PACKED,2
19781210024199I,TOUCH AND GO LANDINGS,1
19781210024199I,WHEELS LOCKED UP,1
19950804028629A,LANDED HARD,5
19950804028629A,ROUGH,1
19950804028629A,DAMAGED FLOATS,1
19950804028629A,LONGERON,1
19950804028629A,SUMP,2
20070202001609A,NOTH PLATTE,1
20070202001609A,NE,1
20070202001609A,IOWA CITY,1
20070202001609A,IA,1
20070202001609A,FLIGHT FROM NOTH PLATTE, NE, TO IOWA CITY, IA,1
20070202001609A,GRINNELL,1
19780916024019A,TIE DOWN STRAP,1
19780916024019A,LEFT SKID,1
19780228000419I;20040925025079A,FUEL CONTAMINATION,4
19770530012939A;20040925025079A,AIRFRAME,2
20040925025079A,FUEL FILTER,1
20040925025079A,ENGINE DRIVEN FUEL PUMP FILTER,1
19961027033759A,CONNECTING ROD,1
19961027033759A,STARTUP,1
19961027033759A,BROKE,1
19961027033759A,PORP SHAFT,1
19870309039779I,BRAKE PROBLEMS,1
20020619014309A,N759TY,1
20020619014309A,CE-182,3
20020619014309A,HOT SPRINGS, ARKANSAS,1
20020619014309A,FAYETTEVILLE, TENNESSEE,1
20020619014309A,ENGINE Q,1
19951031041599A,REDUCED POWER,1
19951031041599A,DIVED INTO OCEAN,1
19951031041599A,TEST FLIGHT,1
19951031041599A,STORAGE,1
19850729066139I,ELEVATOR CONTROL,1
19780616046129I;19780901016759I;19850729066139I,JAMMED,3
19781205041369A;19850729066139I,ELEVATOR,4
19940226003029A,EN ROUTE,1
19940226003029A,LANDED ON PRIVATE STRIP,1
19940226003029A,LEFT FUEL CAP LEAKED,2
19940226003029A,Prevented Gravity Fuel Flow,1
19780111000459A;19780822026439A,ACFT DISPATCHER,2
19780111000459A,PILOT FORGOT TO REMOVE TIEDROPE,1
19780111000459A,TIEDROPE,1
20010411006739I,HELIPAD,1
20010411006739I,RPM CONTROL,2
19870816062719I,COPPER TUBE,3
19870816062719I,LOCAL OPERATOR,1
19870816062719I,AERIAL BANNERS,1
19870816062719I,FELL THROUGH THE ROOF,1
19870816062719I,ROOF,1
19870816062719I,HOUSE,1
19980620030289I,MR. KADERA,3
19980620030289I,FORCED TO LAND,1
19790119001139A;19980620030289I,3 MILES,3
19980620030289I,SUNMER, IOWA,1
19990923027739A,CIERNIA GLASAIR III,2
19990923027739A,HOMEBUILT,1
19990923027739A,N153JC,1
19990923027739A,SEPTEMBER 23, 1999,1
19990923027739A,1900 HOURS PACIFIC DAYLIGHT TIME,1
19980415037339I,NOSE BAGGAGE CARGO,2
19980415037339I,WOODEN WHEEL CHOCK,1
19980415037339I,JAMMED THE NOSE LANDING GEAR,2
19780920018899I;19950826026019A,EXPLOSION,5
19950826026019A,LOGS,1
19950826026019A,PITCHED UP,1
19950826026019A,COMPRESSOR STALL,3
19950826026019A,NR1 ENGINE,1
19950826026019A,FAILED RELEASE LOGS,1
19950826026019A,SE PROCEDURES,1
20000215041409A,SKYWAY AIRLINE FLIGHT,2
20000215041409A,FEBRUARY 19, 2000,1
20000215041409A,1825 EASTERN STANDARD TIME,1
20000215041409A,BEECH 1900D,1
20000215041409A,N81SK,1
19750315005389A;19860514036219I,TAILWHEEL,4
19860514036219I,FAR RIGHT,1
19880527016939A,INITIAL CLIMBOUT,1
19880527016939A,AVOIDING TREES,1
19880527016939A,SELECTED FUEL TANK EMPTY,1
19880527016939A,TRIP,1
19781020041019A;19790313008789I;19960418007829A,BURNED,3
19960418007829A,GRASS RUNWAY,1
19970828026989A,LOUD POP,4
19970828026989A,LOST RUDDER CONTROL,1
19970828026989A,EXITED RWY INTO CORNFIELD,1
19970828026989A,HAD FAILED TO LOCK THE TAILWHEEL,1
19870523018729A,CANOPY,3
19870523018729A,UNCONTROLLED GROUND COLLISION,1
20030620012809I,FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE,1
19780221000179I;20030620012809I,OIL,2
20030620012809I,OIL WAS OBSERVED COMING OUT,1
19750315005389A,PRIOR TO TKOF,1
19751029037799A,ILS APCH,1
19751029037799A,2ND ILS APCH,1
19751029037799A,G/S INOP,1
19751029037799A,LOM,1
19751029037799A,WRONG FREQ,1
19751209037899A,BRAKE PEDAL,1
19751209037899A,SOFT,1
19751209037899A,RTND SPRINGFIELD,1
19751209037899A,STRONG WINDS,1
19750818025579A,TFC R MAIN,2
19750818025579A,BROKE THROUGH ROOF,1
19750818025579A,WASHED OUT UNDERGROUND TUNNEL,2
19750818025579A,TUNNEL,1
19750818025579A,SFC,1
19750905025029A;19780319009079I;19781018032569I;19790316009739I,NOSE WHEEL,6
19750905025029A,6 IN RUT,2
19750923031109A,DEP,3
19750923031109A,KNOWN ELEC PROB,1
19750923031109A,DIDNT USE EMERG GR DOWN SYS,1
19760215007629A,REC REPTD INOP,1
19760215007629A,PRIOR DAY,1
19760531024959A,TURBOCHARGER,1
19760531024959A,WASTE GATE DID NOT ACTUATE,1
19760507010379A,LEFT ENG OIL SUPPLY,1
19760507010379A,EXHAUSTED,1
19760507010379A,GEAR-UP,1
19760507010379A,MESQUITE BRUSH,1
19760507010379A,DENSITY ALTITUDE,1
19760507010379A,7200 FT,1
19761022033409A;19770610021339A;19770622018359A;19781205041369A,PLT,7
19761022033409A,WNDSHD,1
19761022033409A,WINDOWS FOGGED UP,1
19761022033409A,VFR DEPARTURE,1
19760730023679A,ELECT SYST,2
19760730023679A,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED,1
19760730023679A,NOT TIME TO EXT,1
19760730023679A,MANUALLY,1
19760715023479A,GRASS FIRE,1
19760715023479A,SKID,2
19760715023479A,REFUELING LINE,1
19761119035559A,BANNER PICK UP,1
19761119035559A,L LNDG GR,1
19761119035559A,LOOP ON TOW ROPE,1
19761119035559A,PLT UN MAINTAIN FLT,1
19770506041719A,R ENG,3
19770506041719A,L MAG EXCESSIVE DROP,1
19770506041719A,PRESSURE SWITCH MALFUNCTION,1
19770506041719A,ATTEMPTS FEATHER R PROP,1
19770120001659A,RUDDER GUST LOCK,1
19770120001659A,RUDDER GUST LOCK ENGAGED,1
19770120001659A;19790224005689A,WINGS,2
19770120001659A;19780219007659I;19781110039789A;19781231044159A,ICE,5
19770120001659A,OVERWEIGHT,2
19770702018479A,RUDDER & AIL CTL CABLES,3
19770702018479A;19771213042839A,RUDDER,2
19770702018479A,AIL CTL,1
19770702018479A,BATTERY BOX SUPPORT STRUCTURE,1
19770814024089A,L MAG,2
19770814024089A,#5,1
19770814024089A,CYL COMPRESSION,1
19770530012939A;19790316009739I,PROP,3
19770530012939A,WRONG INSTALLED,1
19770528021299A,FLUID,2
19770528021299A,R BRAKE,1
19770528021299A,PRIOR TO DEPARTURE,1
19770610021339A,N42807,4
19770610021339A,N7930C,4
19770610021339A,TOTAL HYD FAILURE,2
19770610021339A,CONTINUED TAXIING,2
19770622018359A,ELECTRICAL PWR FAILURE,1
19770617020389A,INSUFFICIENT ALTITUDE,1
19770617020389A,SUCCESSFUL AUTOROTATION,1
19770530015519A,CHOKER CABLE,2
19770530015519A,CARGO HOOK,2
19770530015519A,FLT,1
19770530015519A,SLIPSTREAM,1
19770530015519A,STRUCK T/R,1
19770530015519A,STRUCK,1
19770703018529A,OIL TEMP BULB,1
19770703018529A,RETAINING NUT FINGER TIGHT,1
19770703018529A,FIRST FLT AFTR ANNUAL,1
19770703018529A;19780210006769I,ANNUAL,3
19770706020519A,AN175-16,1
19770706020519A,PULLED THROUGH TORQUE LINK CENTER SCISSORS,1
19770706020519A,WASHER,1
19770706020519A;19780319009079I,BOLT,3
19770912040629A,APRX 1745LBS,1
19770912040629A,OVR MAX GWT,1
19770912040629A,ENG,1
19770912040629A,AUTOFEATHER,1
19770912040629A;19780619046649I,NOT CONNECTED,2
19770912040629A,100 OCTANE,1
19780110002479I;19780210006769I;19780403009359I;19780416008469I;19780429014759I;19780518033959I;19780529040959I;19780725039589I;19780820049069I;19780829037939I;19790127003859I,WATER IN FUEL,11
19780112002729I,WATER FOUND,1
19780108002219I,FOUND FROZEN WATER,2
19780113002859I,UNABLE TO STOP,1
19780113002859I,STRIKING SNOW BANK,1
19780129004679I,ICE RESTRICTION,1
19780129004679I,LANDING MADE ON FROZEN LAKE,2
19780129004679I,FROZEN LAKE,1
19780129004679I,MAIN FUEL STRAINER,1
19780205005989I,ENGINE VIBRATED,1
19780205005989I;19780518033959I,QUIT,2
19780205005989I,CARBURETOR FLOAT BOWL,1
19780205005989I,CONTAMINATED WITH WATER,1
19780130004789I,FAILED TO CHECK POSITION OF GEAR HANDLE,1
19780130004789I;19780526040429I,GEAR HANDLE,3
19780130004789I;19780526040429I,GEAR RETRACTED,4
19780102000459I,TAXIED OFF RUNWAY,2
19780102000459I;19781108022269I;19790106001239I,RUNWAY,4
19780102000459I;19781108022269I;19790306009619I,NIGHT,3
19780102000459I;19781108022269I;19790313008789I,LANDING LIGHT,4
19780102000459I;19781108022269I,INOPERATIVE,2
19771213042839A,R AIL CTL,1
19771104034549A,RT BRAKE,4
19771104034549A,PUCK 70,1
19771104034549A;19780311016379I,WORN,2
19771104034549A,FADING,1
19771104034549A,LAST WK,1
19770927027719A,REAR COMPTMT FLOATS,1
19770927027719A,EXCEEDED AFT CG LMT,1
19770927027719A,THROTTLE FRICTION,1
19770927027719A;19780623036419I,LOOSE,2
19780115003139I,AIRCRAFT OWNER,1
19780115003139I,NEW AIRCRAFT OWNER,1
19780115003139I,QUICK DRAIN,1
19780115003139I,PREFLIGHT,1
19780206006149I,FAILED TO REMOVE TOW BAR BEFORE TAKEOFF,1
19780206006149I,STRANGE NOISE DURING RETRACTION,1
19780206006149I,GEAR EXTENDED OK,1
19780206006149I,LANDED OK,1
19771016042599A,WIND,1
19771016042599A,GUSTING TO 25,1
19780208007759I;19780330011569I;19781216025369I,GEAR COLLAPSED,7
19780208007759I,HYDRAULIC RESERVOIR OUT OF FLUID,1
19780210006769I,200 FEET,1
19780210006769I,NO PILOT CERTIFICATE,2
19780211006969I,COLLAPSE,1
19780211006969I,NOT BRACED,1
19780212006439I,FROST ON THE WINGS,1
19780212006439I,FAILURE TO USE FULL POWER,1
19780213006479I;19780221000179I,LOW OIL PRESSURE,3
19780218007139I,AFTER RECENT BLIZZARD,1
19780218007139I,ENGINE COWL,1
19780225001789I,SHORTLY AFTER,1
19780225001789I,REFUELING,1
19780225001789I;19780316008589I,SYSTEM,5
19780225001789I,GASCOLATOR,1
19780225001789I;19780616046119I,CARBURETOR,2
19780225001789I,CONTAINED WATER,1
19780225001819I,SOON AFTER LIFT OFF,1
19780225001819I,FUEL GAUGE,2
19780307014069I,BARRICADE,2
19780307014069I,UNLIGHTED,1
19780307014069I,TAXING,1
19780221000179I,NOT CHECKED IT BEFORE TAKEOFF,1
19780228000419I,SURGING IN FLIGHT,1
19780228000419I,SHUT DOWN,1
19780303015509I,ELECTRICAL EMERGENCY,1
19780303015509I,JUMP START,1
19780311016379I;19790203005099I,LOST DIRECTIONAL CONTROL,4
19780311016379I;19780409009699I;19780616046129I;19780923027059I,TOUCHDOWN,4
19780311016379I,BRAKE RESERVOIR,1
19780327010619I,FUEL CAPS,3
19780327010619I,LOST FUEL IN FLIGHT,1
19780309015599I;19780327010619I,FUEL LEAK,3
19780327010619I,RAN OUT,1
19780327010619I,LANDED FOR FUEL,1
19780316008589I,BRAKE FAILURE,2
19780316008589I,PURGED OF AIR,1
19780319009079I,NOSE GEAR SCISSORS,1
