c5,c119,phi4mini_instruct_triplets_clean
19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"<TAILWHEEL, CONDITION, COCKED RIGHT>"
19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,"<TOW PLANE, EVENT, BECAME AIRBORNE>
<TOW PLANE, EVENT, SETTLED>
<TOW PLANE, EVENT, HIT TREE>
<STUDENT, ACTION, THOUGHT TOW IN TROUBLE>
<STUDENT, ACTION, RELEASED>"
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","<2ND ILS APCH, HAS CAUSE, ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ>"
19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,"<PLT, USED BY, SOFT R BRAKE PEDAL DRG TAXI>
<PLT, LOCATION, TKOF.FLT RTND SPRINGFIELD>
<PLT, LOCATION, BOS>"
19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"<TAXI, EVENT DISTANCE, HARD SFC DUE TFC R MAIN GR>
<TAXI, EVENT DISTANCE, ROOF OF A WASHED OUT UNDERGROUND TUNNEL>"
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,"<ACFT, EVENT DISTANCE, 6 IN RUT>
<ACFT, LOCATION, GRASS TAXIWAY NOSE WHEEL>"
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,"<KNOWN ELECTRICAL PROBABILITY, USED BY, EMERG GR DOWN SYS>"
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,"<MTNS OBSCURED, MAINTAINED BY, FLT>
<MTNS OBSCURED, EVENT DISTANCE, PRIOR DAY>"
19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,"<MAINT NOT PERFORMED, CAUSE, PARTS NOT AVAILABLE>
<MAINT NOT PERFORMED, CAUSE, TURBOCHARGER WASTE GATE DID NOT ACTUATE>"
19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ","<LEFT ENG OIL SUPPLY, HAS CAUSE, GEAR-UP LDG IN MESQUITE BRUSH>
<LEFT ENG OIL SUPPLY, HAS CAUSE, DENSITY ALT,7200FT>
<LEFT ENG OIL SUPPLY, HAS CAUSE, HIGH OIL USAGE ENG>"
19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,"<PLT, EVENT DISTANCE, T/O>
<PLT, EVENT DISTANCE, IFR>
<PLT, EVENT DISTANCE, VFR DEPARTURE>
<PLT, EVENT DISTANCE, WNDSHD>
<PLT, EVENT DISTANCE, WINDOWS FOGGED UP>"
19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,"<PLT, EVENT DISTANCE, PREV NOSE WHEEL VIBRATION>
<PLT, EVENT DISTANCE, GR SAFE LGT>
<PLT, EVENT DISTANCE, WIND GUSTING 23KTS>"
19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","<GENERATOR CIRCUIT BREAKER SWITCH, STATE, NOT ENGAGED>
<EXTENSION, TIME, NOT TIME TO>
<EXTENSION, ACTION, MANUALLY EXTEND GEAR>"
19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,"<SKID, CAUGHT BY, REFUELING LINE>"
19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","<BANNER PICK UP, EVENT DISTANCE, LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT>"
19770225003319A,NO NARRATIVE AVAILABLE                                                                                             ,
19770506041719A,"R ENG,L MAG EXCESSIVE DROP. ATTMPTD FEATHER R PROP,UN FEATHER DUE PRESSURE SWITCH MALFUNCTION.                     ",
19770120001659A,RUDDER GUST LOCK ENGAGED.ICE ON WINGS.OVERWEIGHT                                                                   ,"<RUDDER GUST LOCK ENGAGED, CAUSE, RUDDER GUST>
<RUDDER GUST LOCK ENGAGED, CAUSE, ICE ON WINGS>
<RUDDER GUST LOCK ENGAGED, CAUSE, OVERWEIGHT>"
19770702018479A,RUDDER & AIL CTL CABLES LOOSE. R RUDDER CABLE CAUGHT UNDER BATTERY BOX SUPPORT STRUCTURE.                          ,"<RUDDER CABLES, CAUGHT UNDER, BATTERY BOX SUPPORT STRUCTURE>
<RUDDER CABLES, LOOSE, RUDDER & AIL CTL CABLES>"
19770814024089A,L MAG INOP.#5 CYL COMPRESSION 25/80.                                                                               ,"<L MAG INOP.#5 CYL COMPRESSION, HAS CAUSE, 25/80>"
19770530012939A,WRONG PROP INSTALLED                                                                                               ,"<ACFT, USED BY, WRONG PROP INSTALLED>"
19770528021299A,APRX 1/2 CUPFULL FLUID UNDER R BRAKE PRIOR TO DEPARTURE.                                                           ,"<FUEL, LOCATION, R BRAKE>"
19770705018649A,MIXTURE CONTROL BALL BEARING MISSING FROM HANDLE                                                                   ,"<MIXTURE CONTROL BALL BEARING, MISSING FROM, HANDLE>"
19770622022049A,OIL FILLER CAP MISSING.                                                                                            ,"<OIL FILLER CAP, HAS CAUSE, MISSING>"
19770610021339A,ACFT N42807 & N7930C SUBSTANTIALLY DMGD. PLT CONTINUED TAXIING AFTER TOTAL HYD FAILURE.                            ,"<ACFT N42807, CONDITION, SUBSTANTIALLY DMGD>
<ACFT N7930C, CONDITION, SUBSTANTIALLY DMGD>
<PLT, ACTION, CONTINUED TAXIING>
<PLT, CAUSE, TOTAL HYD FAILURE>"
19770622018359A,PLT DID NOT USE EMERG LNDNG GR EXTNSN AFTER ELECTRICAL PWR FAILURE.                                                ,"<PLT, EVENT DISTANCE, EMERG LNDNG GR EXTNSN>
<PLT, HAS CAUSE, ELECTRICAL PWR FAILURE>"
