c5_sources,entity1,entity2,weight,relations,rows
19751029037799A,2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ,1,HAS CAUSE,2
19751209037899A,PLT,SOFT R BRAKE PEDAL DRG TAXI,1,USED BY,3
19751209037899A,PLT,TKOF.FLT RTND SPRINGFIELD,1,LOCATION,3
19751209037899A,PLT,BOS,1,LOCATION,3
19761022033409A,PLT,T/O,1,EVENT DISTANCE,10
19761022033409A,PLT,IFR,1,EVENT DISTANCE,10
19761022033409A,PLT,VFR DEPARTURE,1,EVENT DISTANCE,10
19761022033409A,PLT,WNDSHD,1,EVENT DISTANCE,10
19761022033409A,PLT,WINDOWS FOGGED UP,1,EVENT DISTANCE,10
19761021035989A,PLT,PREV NOSE WHEEL VIBRATION,1,EVENT DISTANCE,11
19761021035989A,PLT,GR SAFE LGT,1,EVENT DISTANCE,11
19761021035989A,PLT,WIND GUSTING 23KTS,1,EVENT DISTANCE,11
19770622018359A,PLT,EMERG LNDNG GR EXTNSN,1,EVENT DISTANCE,25
19770622018359A,PLT,ELECTRICAL PWR FAILURE,1,HAS CAUSE,25
19750818025579A,TAXI,HARD SFC DUE TFC R MAIN GR,1,EVENT DISTANCE,4
19750818025579A,TAXI,ROOF OF A WASHED OUT UNDERGROUND TUNNEL,1,EVENT DISTANCE,4
19750905025029A,ACFT,6 IN RUT,1,EVENT DISTANCE,5
19750905025029A,ACFT,GRASS TAXIWAY NOSE WHEEL,1,LOCATION,5
19770530012939A,ACFT,WRONG PROP INSTALLED,1,USED BY,20
19780112002729I,ACFT,FORCED LANDING AFTER POWER LOSS,1,EVENT DISTANCE,33
19780112002729I,ACFT,WATER FOUND IN FUEL,1,HAS CAUSE,33
19750923031109A,KNOWN ELECTRICAL PROBABILITY,EMERG GR DOWN SYS,1,USED BY,6
19760215007629A,MTNS OBSCURED,FLT,1,MAINTAINED BY,7
19760215007629A,MTNS OBSCURED,PRIOR DAY,1,EVENT DISTANCE,7
19760507010379A,LEFT ENG OIL SUPPLY,GEAR-UP LDG IN MESQUITE BRUSH,1,HAS CAUSE,9
19760507010379A,LEFT ENG OIL SUPPLY,DENSITY ALT,7200FT,1,HAS CAUSE,9
19760507010379A,LEFT ENG OIL SUPPLY,HIGH OIL USAGE ENG,1,HAS CAUSE,9
19761119035559A,BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT,1,EVENT DISTANCE,14
19770814024089A,L MAG INOP.#5 CYL COMPRESSION,25/80,1,HAS CAUSE,19
19770528021299A,FUEL,R BRAKE,1,LOCATION,21
19770622022049A,OIL FILLER CAP,MISSING,1,HAS CAUSE,23
19770617020389A,INSUFFICIENT ALTITUDE FOR SUCCESSFUL AUTOROTATION,AUTOROTATION,1,EVENT DISTANCE,26
19770703018529A,FIRST FLT AFTR ANNUAL,N/A,3,EVENT DISTANCE;MAINTAINED BY;TIME PERIOD,28
19770706020519A,AN175-16,PULLED THROUGH TORQUE LINK CENTER SCISSORS,1,HAS CAUSE,29
19770706020519A,AN175-16,WASHER CRACKED,1,HAS CAUSE,29
19770706020519A,AN175-16,SEPARATED FRM BOLT,1,HAS CAUSE,29
19770912040629A,100 OCTANE FUEL,AIRCRAFT,2,MAINTAINED BY;USED BY,30
19770912040629A,100 OCTANE FUEL,NOT FEATHERED AUTOFEATHER,1,HAS CAUSE,30
19780102000459I,TAXIED OFF RUNWAY,STRUCK DITCH AT NIGHT,1,EVENT DISTANCE,41
19780102000459I,TAXIED OFF RUNWAY,LANDING LIGHT WAS INOPERATIVE,1,EVENT DISTANCE,41
19771104034549A,FRT BRAKE PUCK 70,LAST WK,1,TIME PERIOD,43
19771016042599A,WIND,25,1,EVENT DISTANCE,47
19780225001789I,AFTER TAKEOFF,REFUELING,1,LOCATION,56
19780221000179I,PILOT,AFTER TAKEOFF,1,EVENT DISTANCE,59
19780319009079I,BOLT IN NOSE GEAR SCISSORS,AFTER TAKEOFF,1,EVENT DISTANCE,66
19780319009079I,BOLT IN NOSE GEAR SCISSORS,AFTER LIFTOFF,1,EVENT DISTANCE,66
19780319009079I,NOSE WHEEL,AFTER LIFTOFF,1,EVENT DISTANCE,66
19780403009389I,FORCED LANDING,HIGHWAY,1,LOCATION,73
19780610045289I,FUEL TANK DRAIN VALVE,SPRING LOADED TANK,1,LOCATION,98
