c5_sources,entity1,entity2,weight,relations,rows
19760606015529A,GLIDER,NOSE HIGH ATTITUDE,1,HAS EFFECT,8
19780111000459A,ACFT DISPATCHER,PILOT,1,HASSLE,50
19780111000459A,PILOT,TO REMOVE TIEDROPE,1,FORGOT,50
19781113027039I,PILOT,UNMARKED DITCH AT END OF TAXIWAY,1,EVENT DISTANCE,178
19791128035159A,PILOT,RAIN SHOWER,1,EVENT DISTANCE,334
19791128035159A,PILOT,FIELD,1,LOCATION,334
19801005072789I,PILOT,END OF RUNWAY,1,EVENT DISTANCE,466
19821117066379I,PILOT,UNABLE TO PRESSURIZE,1,CAUSE,656
19821117066379I,PILOT,DOOR SLIGHTLY OPEN,1,CAUSE,656
19821117066379I,PILOT,DEPRESSURIZED,1,CAUSE,656
19821117066379I,PILOT,DOOR OPENED FULLY,1,CAUSE,656
19821117066379I,PILOT,STOPPED BY FUSELAGE,1,CAUSE,656
19850418016709I,PILOT,DID NOT VISUALLY INSPECT FUEL TANKS,1,HAS EFFECT,891
19860706034879A,PILOT,FILLED TANKS,1,USED BY,1037
19870309039779I,PILOT,UNAWARE OF BRAKE PROBLEMS ON THE AIRCRAFT,1,HAS CAUSE,1151
19930530020029I,PILOT,LOST CONTROL OF AIRCRAFT ON TAKEOFF ROLL,1,HAS CAUSE,1693
19960504009509A,PILOT,(-23),1,FAILED TO FULLY DETAC,1967
19970908038069A,PILOT,RAMP PERSON TIED SKIDS DUE HIGH WIND,2,FAILED NOTE;HAS EFFECT,2051
20010421009329I,PILOT,RPM LOSS,1,HAS EFFECT,2406
20010421009329I,PILOT,COULD NOT MAINTAIN ALTITUDE,1,HAS EFFECT,2406
20010421009329I,PILOT,MADE AN EMERG,1,ACTION,2406
20030620012809I,PILOT,OIL FILLER CAP NOT SECURE,1,HAS CAUSE,2488
20030620012809I,PILOT,OIL COMING OUT OF ENGINE,1,HAS CAUSE,2488
20050429009279I,PILOT,TAXIING THE AIRCRAFT TO PARKING,1,EVENT DISTANCE,2598
20050429009279I,PILOT,A CARGO TRIP,1,FOLLOWED BY,2598
20050429009279I,PILOT,AIRCRAFT,1,USED BY,2598
20050429009279I,PILOT,TAXIWAY,1,LOCATION,2598
19780402008409I,TAXIING AIRCRAFT,WORN OUT & INEFFECTIVE BRAKES,1,HAS CAUSE,74
19780402008409I,INJURED AIRCRAFT,PARKED AIRCRAFT,1,EVENT DISTANCE,74
19780427013859I,ENGINE COWLING,ENGINE IN FLIGHT,1,SEPARATED FROM,85
19980616023109I,ENGINE COWLING,SEPERATED,1,HAS CAUSE,2160
19780913017419I,ABORTED TAKEOFF,FRONT BAGGAGE DOOR POPPED OPEN,1,CAUSE,144
19780916024019A,TIE DOWN STRAP,LEFT SKID,1,ACROSS,155
19780916024019A,TIE DOWN STRAP,TRAILER,1,CAUGHT ON,155
19780916024019A,TIE DOWN STRAP,HEPER,1,TETHERED,155
19781108022239I,BAGGAGE CART,JET BLAST,1,HAS CAUSE,160
19781108022239I,BRAKES,BAGGAGE CART,1,INOPERATIVE,160
19781210024199I,WHEELS,LOCKED UP,1,HAS EFFECT,165
19781210024199I,SEVERAL TOUCH AND GO LANDINGS,SNOW PACKED IN THE WHEEL PANTS,1,CAUSE,165
19790211002709A,FAILURE TO LIFTOFF,RAN OFF END INTO SNOW BANK,1,CAUSE,229
19790211002709A,FAILURE TO LIFTOFF,FROST ON AIRFRAME,1,CAUSE,229
19790211002709A,FAILURE TO LIFTOFF,RUNWAY,1,LOCATION,229
19790720021329A,HELICOPTER,SLING LOAD,1,HAS EFFECT,284
19790720021329A,HELICOPTER,TREES,1,HAS EFFECT,284
20010411006739I,HELICOPTER,HELIPAD,1,LOCATION,2403
