c5,c119,gpt4o_triplets_clean
19780527014729A,ACORNS LODGED IN CARB AIR BOX ASSEMBLY.                                                                            ,"<CARBURETOR, PART OF, AIR BOX ASSEMBLY>"
19780616046119I,PRECAUTIONARY LANDING DUE TO LOW POWER. CARBURETOR HEAT WAS PARTIALLY OPEN CAUSING AN OVER RICH MIXTURE.           ,"<PRECAUTIONARY LANDING, HAS CAUSE, LOW POWER>
<CARBURETOR HEAT, HAS EFFECT, OVER RICH MIXTURE>"
19780616046129I,"NOSE GEAR COULD NOT BE FULLY EXTENDED, COLLAPSED ON TOUCHDOWN. NOSE GEAR DOORS HAD BEEN LEFT UNHOOKED, JAMMED.     ","<NOSE GEAR, UNABLE TO EXTEND GEAR, FULLY>
<NOSE GEAR, COLLAPSED, TOUCHDOWN>
<NOSE GEAR DOORS, UNLOCKED, UNHOOKED>
<NOSE GEAR DOORS, JAMMED, NULL>"
19780619046649I,PILOT RETURNED DUE TO CONTROL PROBLEMS. FOUND THAT THE INBOARD END OF AILERON PUSH ROD WAS NOT CONNECTED.          ,"<INBOARD END OF AILERON PUSH ROD, NOT CONNECTED, NULL>"
19780622016229A,ROPE CAUGHT ON GLIDER WHEEL BRACKET.                                                                               ,"<ROPE, CAUGHT ON, GLIDER WHEEL BRACKET>"
19780429007189A,OIL PR DROPPED TO ZERO.PLT SHUT DN ENG.WING HIT TREE ADJACENT TO IL CAP NOT SECURED.                               ,"<OIL PR, DROPPED TO, ZERO>
<PLT, SHUT DN, ENG>
<WING, HIT, TREE>
<IL CAP, NOT SECURED, NULL>"
19780623018469A,"LOOSE BATTERY POST,LOSS OF ALTERNATOR EXCITING CURRENT.                                                            ","<LOSS OF ALTERNATOR EXCITING CURRENT, HAS CAUSE, LOOSE BATTERY POST>"
19780607020299A,BECAME AIRBORNE AFTER TKOF ABORTED.                                                                                ,"<ABORTED, FOLLOWS, AIRBORNE>"
19780603041639I,FLIGHT APPARENTLY TOOK OFF WITH THE REAR CABIN ENTRY DOOR OPEN. DOOR WAS CLOSED IN FLIGHT.                         ,"<FLIGHT, AIRCRAFT TOOK OFF, NULL>
<REAR CABIN ENTRY DOOR, UNLOCKED, NULL>
<DOOR, CLOSED, INFLIGHT>"
19780607010749A,FULL NOSE DOWN TRIM.                                                                                               ,
19780607016509A,"TKOF FROM TRAILER,NO LOAD. R SKID TIEDOWN NOT REMOVED.                                                             ","<R SKID, UNHOOKED, TIEDOWN>"
