c5_sources,entity1,entity2,weight,relations,rows
19780527014729A,CARBURETOR,AIR BOX ASSEMBLY,1,PART OF,0
19780616046119I,PRECAUTIONARY LANDING,LOW POWER,1,HAS CAUSE,1
19790318009019I,PRECAUTIONARY LANDING,LOW OVERCAST,1,HAS CAUSE,90
19790318009019I,PRECAUTIONARY LANDING,INSTRUMENT LIGHT INOPERATIVE,1,HAS CAUSE,90
19780616046119I,CARBURETOR HEAT,OVER RICH MIXTURE,1,HAS EFFECT,1
19780623018469A,LOSS OF ALTERNATOR EXCITING CURRENT,LOOSE BATTERY POST,1,HAS CAUSE,6
19780607020299A,ABORTED,AIRBORNE,1,FOLLOWS,7
19780623036259I,SMOKE AND FUMES IN COCKPIT,GRASS AND DIRT IN ENGINE COMPARTMENT,1,HAS CAUSE,11
19780625035919I,WATER,GASCOLATOR,1,LOCATION,14
19781102023549I;19790410008789A,WATER,FUEL,2,LOCATION,41,99
19781128024449I,WATER,FUEL STORAGE TANK,1,PART OF,56
19790410008789A,WATER,COMPANY OWNED FUEL TANKER,1,LOCATION,99
19780625035919I,FOREIGN MATERIAL,GASCOLATOR,1,LOCATION,14
19780625035779I,ENGINE,FUEL SELECTOR MOVED BY A PASSENGER,1,HAS CAUSE,15
19780625035779I,ENGINE,DURING TAKEOFF,1,FOLLOWS,15
19780626034739I;19790113001939I,ENGINE,WATER IN FUEL SYSTEM,2,HAS CAUSE,16,62
19780725039589I,ENGINE,WATER IN FUEL,1,HAS CAUSE,26
19780925018069I,ENGINE,SMOKE FROM NACELLE,1,HAS CAUSE,44
19781230019999I,ENGINE,FUEL STARVATION,1,HAS CAUSE,57
19790107000829I,ENGINE,FLAMED OUT,1,HAS CAUSE,60
19790414012459I,ENGINE,FUEL SYSTEM CONTAMINATED,1,HAS CAUSE,97
19790211007509A,ENGINE,STOPPED,1,HAS EFFECT,98
19790224005689A,DURING TAKEOFF,FAILED TO REMOVE SNOW,1,FOLLOWS,94
19781128024449I,WATER IN FUEL SYSTEM,WATER,1,HAS CAUSE,56
19780812020899A,FUEL VENT LINE,MUD DAUBERS,1,INFLUENCED BY,17
19780810035619A,LOW OIL STATE,LNDD IN FLOODED ALFALFA FIELD,1,HAS EFFECT,19
