existing_node,match,new_row,final_node,similarity
TAKEOFF,DURING TAKEOFF,15,DURING TAKEOFF,1.0
WATER IN THE FUEL SYSTEM,WATER IN FUEL SYSTEM,16,WATER IN FUEL SYSTEM,1.0
TAKEOFF,DURING TAKEOFF,20,DURING TAKEOFF,1.0
TAKEOFF,DURING TAKEOFF,25,DURING TAKEOFF,1.0
TAKEOFF,DURING TAKEOFF,26,DURING TAKEOFF,1.0
WATER IN THE FUEL,WATER IN FUEL,26,WATER IN FUEL,1.0
TAKEOFF,DURING TAKEOFF,27,DURING TAKEOFF,1.0
TAKEOFF,DURING TAKEOFF,33,DURING TAKEOFF,1.0
NOSE WHEEL DOWN,NOSE WHEEL,40,NOSE WHEEL,1.0
WHEEL WELL,WHEEL,40,WHEEL,1.0
GEAR UP,GEAR,51,GEAR,1.0
OIL LOSS,AFTER OIL LOSS,55,AFTER OIL LOSS,1.0000001
TAKEOFF,DURING TAKEOFF,57,DURING TAKEOFF,1.0
WATER IN THE FUEL SYSTEM,WATER IN FUEL SYSTEM,62,WATER IN FUEL SYSTEM,1.0
TAKEOFF,DURING TAKEOFF,70,DURING TAKEOFF,1.0
WATER IN THE FUEL,WATER IN FUEL,72,WATER IN FUEL,1.0
WATER IN THE FUEL,WATER IN FUEL,72,WATER IN FUEL,1.0
ON LANDING,LANDING,81,LANDING,1.0
OUT,BACK,87,BACK,1.0000001
AFTER ENGINE QUIT,ENGINE QUIT,89,ENGINE QUIT,1.0000001
ON LANDING,LANDING,91,LANDING,1.0
TAKEOFF,DURING TAKEOFF,94,DURING TAKEOFF,1.0
TAKEOFF,DURING TAKEOFF,96,DURING TAKEOFF,1.0
