c5_sources,entity1,entity2,weight,relations,rows
19760606015529A,GLIDER,OPPORTUNITY,1,INSTANCE OF,8
19780111000459A,ACFT DISPATCHER,HARRASSMENT OF PILOT,1,HAS CAUSE,50
19780111000459A,PILOT,TIEDROPE,1,FORGOT TO REMOVE,50
19781113027039I,PILOT,TAXI,1,USED BY,178
19781113027039I,PILOT,TAXIED,1,FOLLOWED BY,178
19791128035159A,PILOT,LANDED,1,USED BY,334
19791128035159A,PILOT,ENGINE RAN ROUGH,1,HAS EFFECT,334
19791128035159A,PILOT,FIELD,1,LOCATION,334
19801005072789I,PILOT,BRAKE,1,USED BY,466
19821117066379I,PILOT,PRESSURIZE,1,USED BY,656
19850315007389A,PILOT,ALTIMETER,1,USED BY,856
19850418016709I,PILOT,DID NOT VISUALLY INSPECT FUEL TANKS,1,USED BY,891
19860706034879A,PILOT,TANKS,1,USED BY,1037
19860706034879A,PILOT,WATER IN FUEL,1,INFLUENCED BY,1037
19861114075329I,PILOT,MALFUNCTIONING ENCODING ALTIMETER,1,AWARE OF,1117
19870309039779I,PILOT,BRAKE PROBLEMS,1,UNAWARE OF,1151
19930530020029I;20010421009329I;20050429009279I,PILOT,AIRCRAFT,3,USED BY,"1693,2406,2598"
19960504009509A,PILOT,TRAILER TIE DOWN,1,FAILED TO FULLY DETACH,1967
19990714022959I,PILOT,FRONT RANGE AIRPORT,1,DEPARTED FROM,2210
20030620012809I,PILOT,PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE,1,HAS CAUSE,2488
20030620012809I,PILOT,TOOK OFF,1,ACTION,2488
20060621012279A,PILOT,TAKEOFF,1,STATED THAT,2650
19780402008409I,TAXIING AIRCRAFT,PARKED AIRCRAFT,1,STUCK,74
19780402008409I,INEFFECTIVE BRAKES,WORN OUT,1,HAS CAUSE,74
19780427013859I,ENGINE COWLING,ENGINE,1,SEPARATED FROM,85
19801116083749I,ENGINE,FORCED LANDING,1,HAS CAUSE,467
19860706034879A,ENGINE,LOST POWER ON TAKEOFF,1,HAS CAUSE,1037
19880527016939A,ENGINE,INITIAL CLIMBOUT,1,HAS CAUSE,1311
19991230042089A,ENGINE,TAKEOFF,1,HAS CAUSE,2331
19991230042089A,ENGINE,NOT DEVELOPING ENOUGH POWER,1,HAS EFFECT,2331
20030620012809I,ENGINE,-23,1,EVENT DISTANCE,2488
19780427013859I,SEPARATION,FLIGHT,1,HAS CAUSE,85
20070202001609A,FLIGHT,NOTH PLATTE,1,LOCATED IN,2676
20070202001609A,FLIGHT,NE,1,LOCATED IN,2676
20070202001609A,FLIGHT,IOWA CITY,1,DESTINATION,2676
20070202001609A,FLIGHT,IA,1,LOCATED IN,2676
19780913017419I,ABORTED TAKEOFF,FRONT BAGGAGE DOOR POPPED OPEN,1,HAS CAUSE,144
19780916024019A,TIE DOWN STRAP,TRAILER,1,PART OF,155
19780916024019A,TIE DOWN STRAP,LEFT SKID,1,LOCATION,155
19780916024019A,TETHERED,TIE DOWN STRAP,1,FOLLOWS,155
19780916024019A,HEPER,?,1,LOCATION,155
19781108022239I;19790718019229I,BAGGAGE CART,PARKED AIRCRAFT,2,BLOWN INTO;PART OF,"160,289"
19781108022239I,BAGGAGE CART,JET BLAST,1,HAS CAUSE,160
19790718019229I,BAGGAGE CART,INOPERATIVE BRAKES,1,HAS EFFECT,289
19781108022239I,BRAKES,CART,1,INOPERATIVE ON,160
19781210024199I,WHEELS LOCKED UP,SNOW PACKED,1,HAS CAUSE,165
19781210024199I,WHEELS LOCKED UP,WHEEL PANTS,1,LOCATION,165
19781113027039I,TAXIED,UNMARKED DITCH,1,EVENT DISTANCE,178
19781113027039I,TAXIED,TAXIWAY,1,LOCATION,178
19790211002709A,AIRCRAFT,FROST ON AIRFRAME,1,HAS CAUSE,229
19790211002709A,AIRCRAFT,RAN OFF END INTO SNOW BANK,1,FOLLOWED BY,229
19840821046409A,AIRCRAFT,CRASH,1,PART OF,795
19840821046409A,AIRCRAFT,ANNUAL INSPECTION,1,MAINTAINED BY,795
19860128014289I,AIRCRAFT,RETURNED,1,FOLLOWED BY,1024
19860706034879A,AIRCRAFT,FLIPPED ON LANDING,1,HAS EFFECT,1037
19870309039779I,AIRCRAFT,N106DA,1,STUCK BY,1151
19890725041869I,AIRCRAFT,PARKED PLANE,1,COLLIDED WITH,1406
19930530020029I,AIRCRAFT,LOST CONTROL,1,HAS EFFECT,1693
19940412011509I,AIRCRAFT,DESCENT,1,POPPED OPEN,1728
19960322013629I,AIRCRAFT,MAINTENANCE,1,BEING FERRIED FOR,2243
20030607012509A,AIRCRAFT,BARTLESVILLE MUNICIPAL AIRPORT,1,DEPARTED FROM,2494
20040304003309I,AIRCRAFT,LEFT SIDE OF RUNWAY,1,STARTED SLIDING,2544
20040304003309I,AIRCRAFT,-23,1,EVENT DISTANCE,2544
20050429009279I,AIRCRAFT,CARGO TRIP,1,FOLLOWED BY,2598
20050429009279I,AIRCRAFT,TAXIWAY,1,LOCATION,2598
20070202001609A,AIRCRAFT,487 STATUTE MILES,1,EVENT DISTANCE,2676
20070202001609A,AIRCRAFT,GRINNELL,1,LOST POWER,2676
20070630826079I,AIRCRAFT,RAY AIRPORT,1,DEPARTED FROM,2685
20070630826079I,AIRCRAFT,TAKEOFF,1,FOLLOWED BY,2685
20070630826079I,AIRCRAFT,INTO THE CLIMB,1,FOLLOWED BY,2685
19790211002709A,FROST ON AIRFRAME,AIRCRAFT FAILED TO LIFTOFF RUNWAY,1,HAS EFFECT,229
19790211002709A,RAN OFF END INTO SNOW BANK,runway,1,EVENT DISTANCE,229
19790720021329A,HELICOPTER,SLING LOAD ATTACHED,1,TOOK OFF WITH,284
20010411006739I,HELICOPTER,HELIPAD,1,LOCATION,2403
19790720021329A,CRASHED,IMPROPER PREFLIGHT,1,HAS CAUSE,284
19790720021329A,CRASHED,WEDGED IN TREES,1,HAS EFFECT,284
19920405008919A,CRASHED,HIT TREES,1,HAS CAUSE,1612
19920405008919A,CRASHED,OFF END OF STRIP,1,EVENT DISTANCE,1612
19940818022409A,CRASHED,,1,FOLLOWED BY,1772
19790718019229I,FUSELAGE,9 INCH TEAR,1,HAS EFFECT,289
19791128035159A,LANDED,RAIN SHOWER,1,HAS CAUSE,334
19791128035159A,LANDED,CLIMBOUT,1,EVENT DISTANCE,334
19940412011509I,LANDED,GROUND,1,EVENT DISTANCE,1728
19791128035159A,CLAIMS,WATER IN FUEL,1,HAS CAUSE,334
19950804028629A,WATER IN FUEL,LOST POWER,1,HAS CAUSE,1882
19950804028629A,WATER IN FUEL,WATER IN FUEL,1,HAS EFFECT,1882
19950804028629A,WATER IN FUEL,MISREAD WATER IN SUMP,1,HAS CAUSE,1882
19800217031649I,ENGINE QUIT,TAKEOFF,1,HAS CAUSE,354
