c5_sources,entity1,entity2,weight,relations,rows
19990213001379A,ACFT,,1,EVENT DISTANCE,0
19990213001379A,ACFT,RAN INTO A DITCH,1,HAS EFFECT,0
19990213001379A,ACFT,STRUCK A TREE,1,HAS EFFECT,0
19751029037799A,ACFT,G/S INOP,1,HAS CAUSE,102
19750905025029A,ACFT,TAXIWAY,1,PART OF,105
19780822026439A,ACFT,ACFT DISPATCHER,1,MAINTAINED BY,223
19780822026439A,ACFT,SEAT RETAINERS MISSING,1,HAS EFFECT,223
19781020041019A,ACFT,STRUCK COM POLES,1,HAS CAUSE,248
19781020041019A,ACFT,STRUCK CONCRETE WALL,1,HAS CAUSE,248
19781020041019A,ACFT,BURNED,1,HAS CAUSE,248
19790222003429A;19790513010459A;19790623022919A;19790807024709A,ACFT,AIRPLANE,4,INSTANCE OF,303,333,334,366
19790513010459A,ACFT,3 FEET,1,EVENT DISTANCE,333
19790513010459A,ACFT,1 FOOT,1,EVENT DISTANCE,333
19790513010459A,ACFT,NOSED OVER,1,HAS EFFECT,333
19790623022919A,ACFT,CRASHED & BURNED,1,EVENT DISTANCE,334
19790429005459A,ACFT,2 WKS,1,TIME PERIOD,341
19790429005459A,ACFT,SEVERE RAIN,1,INFLUENCED BY,341
19790429005459A,ACFT,WATER IN FUEL,1,HAS EFFECT,341
19790609024769A,ACFT,OUTSIDE,1,LOCATION,358
19790609024769A,ACFT,11 MONTHS,1,TIME PERIOD,358
19790609024769A,ACFT,FUEL TANKS,1,PART OF,358
19850525020799A,STRUCK A TREE,TOUCHED DOWN,1,HAS CAUSE,52
19850525020799A,STRUCK A TREE,3 MILES FROM AIRPORT,1,LOCATION,52
19781230019999I;19800217031649I;19991230042089A,AFTER TAKEOFF,AFTER ENGINE QUIT,3,FOLLOWED BY,1,10,257
19820725041999I,AFTER TAKEOFF,LOOSE COWLING,1,HAS EFFECT,11
19870606018859A,AFTER TAKEOFF,UNABLE TO STAY AIRBORNE,1,HAS EFFECT,34
19950216008379I,AFTER TAKEOFF,ENGINE STOPPED,1,FOLLOWED BY,51
19790609011809A,AFTER TAKEOFF,LOST ELECT. POWER,1,FOLLOWED BY,344
19790808027309A,AFTER TAKEOFF,RETURN TO RUNWAY,1,FOLLOWED BY,382
19790808027309A,AFTER TAKEOFF,INSUFFICIENT ALTITUDE,1,HAS EFFECT,382
19991230042089A,AFTER ENGINE QUIT,CUTTING OUT,1,HAS CAUSE,10
19880527016939A,AFTER ENGINE QUIT,INITIAL CLIMBOUT,1,HAS CAUSE,95
19780129004679I,AFTER ENGINE QUIT,ICE RESTRICTION,1,HAS CAUSE,136
19780403009359I,AFTER ENGINE QUIT,LANDED SHORT OF RUNWAY,1,HAS EFFECT,172
19780416008469I;19790705018829I,AFTER ENGINE QUIT,AFTER TAKEOFF,2,TIME PERIOD,176,374
19790705018829I,AFTER ENGINE QUIT,WATER IN FUEL,1,HAS CAUSE,374
19800217031649I,WING FUEL TANK SUMPS,FROZEN,1,HAS EFFECT,1
19790720021329A,CRASHED,IMPROPER PREFLIGHT,1,HAS CAUSE,2
19790720021329A,CRASHED,FROZEN,1,INSTANCE OF,2
19790720021329A,CRASHED,WEDGED IN TREES,1,HAS EFFECT,2
19940818022409A,CRASHED,BAD OIL LEAK,1,HAS CAUSE,48
19940818022409A,CRASHED,CRACKED ENGINE CASE,1,HAS CAUSE,48
19960418007829A,CRASHED,BURNED,1,HAS CAUSE,96
19960418007829A,CRASHED,AFTER DEPARTURE,1,TIME PERIOD,96
19960418007829A,CRASHED,GRASS RUNWAY,1,LOCATION,96
19841214074599I,TAXIING,LOST NOSEWHEEL STEERING,1,HAS EFFECT,3
19841214074599I,TAXIING,BRAKES,1,HAS EFFECT,3
20050429009279I,TAXIING,PARKING,1,FOLLOWED BY,38
19790718019229I,BRAKES,BAGGAGE CART,1,INSTANCE OF,17
19780311016379I,BRAKES,WORN,1,HAS CAUSE,162
19780311016379I,BRAKES,,1,HAS CAUSE,162
19780525040389I,BRAKES,INEFFECTIVE LANDING,1,HAS EFFECT,180
