c5_sources,entity1,entity2,weight,relations,rows
19760606015529A,GLIDER,OPPORTUNITY,1,INSTANCE OF,8
19790609016529A,GLIDER,140 FEET ABOVE GROUND,1,EVENT DISTANCE,246
19780111000459A,ACFT DISPATCHER,HARRASSMENT OF PILOT,1,HAS CAUSE,50
19780111000459A,PILOT,TIEDROPE,1,FORGOT TO REMOVE,50
19781113027039I;19790123003659I,PILOT,TAXI,2,USED BY,"173,178"
19781113027039I;19790313008789I,PILOT,TAXIED,2,FOLLOWED BY;USED BY,"178,197"
19780327010619I;19790705018829I;19791128035159A;19800105013639I;19800624056339I,PILOT,LANDED,5,ACTION;EVENT DISTANCE;HAS EFFECT;USED BY,"65,286,334,335,406"
19791128035159A,PILOT,ENGINE RAN ROUGH,1,HAS EFFECT,334
19791128035159A,PILOT,FIELD,1,LOCATION,334
19801005072789I,PILOT,BRAKE,1,USED BY,466
19821117066379I,PILOT,PRESSURIZE,1,USED BY,656
19850315007389A,PILOT,ALTIMETER,1,USED BY,856
19850418016709I,PILOT,DID NOT VISUALLY INSPECT FUEL TANKS,1,USED BY,891
19781230019999I;19790610014749I;19860706034879A,PILOT,TANKS,3,USED BY,"166,254,1037"
19860706034879A,PILOT,WATER IN FUEL,1,INFLUENCED BY,1037
19861114075329I,PILOT,MALFUNCTIONING ENCODING ALTIMETER,1,AWARE OF,1117
19870309039779I,PILOT,BRAKE PROBLEMS,1,UNAWARE OF,1151
19790316004819A;19790703018439I;19930530020029I;20010421009329I;20050429009279I,PILOT,AIRCRAFT,5,USED BY,"203,279,1693,2406,2598"
19960504009509A,PILOT,TRAILER TIE DOWN,1,FAILED TO FULLY DETACH,1967
19990714022959I,PILOT,FRONT RANGE AIRPORT,1,DEPARTED FROM,2210
20030620012809I,PILOT,PILOT FAILED TO ASSURE THE OIL FILLER CAP WAS SECURE,1,HAS CAUSE,2488
19780327010619I;20030620012809I,PILOT,TOOK OFF,2,ACTION;EVENT DISTANCE,"65,2488"
19790623014019A;19790820029909A;20060621012279A,PILOT,TAKEOFF,3,ABORTED;STATED THAT;TIME PERIOD,"250,293,2650"
19780130004789I;19780526040429I,PILOT,GEAR HANDLE,2,USED BY,"41,96"
19780206006149I,PILOT,TOW BAR,1,USED BY,47
19780208007759I,PILOT,GEAR SAFE LIGHTS,1,OBSERVED,51
