c5,c119,gpt4o_triplets_clean
19750315005389A,TAILWHEEL COCKED RIGHT PRIOR TO TKOF.                                                                              ,"<TAILWHEEL, FOLLOWS, PRIOR TO TKOF>"
19750419011349A,TOW PLANE BECAME AIRBORNE THEN SETTLED.STUDENT THOUGHT TOW IN TROUBLE & RELEASED.HIT TREE.                         ,"<TOW PLANE, BECAME, AIRBORNE>
<TOW PLANE, HIT, TREE>"
19751029037799A,"2ND ILS APCH,ACFT'S G/S INOP.LOM TUNED TO WRONG FREQ.                                                              ","<ACFT, INFLUENCED BY, 2ND ILS APCH>
<ACFT, INFLUENCED BY, G/S INOP>
<LOM, TUNED TO, WRONG FREQ>"
19751209037899A,PLT NOTED SOFT R BRAKE PEDAL DRG TAXI TO TKOF.FLT RTND SPRINGFIELD DUE SOFT BRAKE STRONG WINDS BOS                 ,"<PLT, NOTED, SOFT R BRAKE PEDAL>
<FIRST FLT, RETURNED, SPRINGFIELD>
<RETURNED, HAS CAUSE, SOFT BRAKE>
<RETURNED, HAS CAUSE, STRONG WINDS BOS>"
19750818025579A,TAXI OFF HARD SFC DUE TFC R MAIN GR BROKE THROUGH ROOF OF A WASHED OUT UNDERGROUND TUNNEL.                         ,"<R MAIN GR, PART OF, TAXI OFF HARD SFC>"
19750905025029A,ACFT BEING TAXIED ON GRASS TAXIWAY NOSE WHEEL STRUCK A 6 IN RUT WHICH WAS NOT NOTICED.                             ,"<ACFT, TAXIING AIRCRAFT, GRASS TAXIWAY>"
19750923031109A,DEP FOR DEST WITH KNOWN ELEC PROB. DIDNT USE EMERG GR DOWN SYS.                                                    ,"<DEP, USED BY, DEST>
<DEP, HAS CAUSE, KNOWN ELEC PROB>
<DEP, DIDNT USE, EMERG GR DOWN SYS>"
19760215007629A,MTNS OBSCURED.FLT TO CK VOR REC REPTD INOP PRIOR DAY.                                                              ,"<FIRST FLT, INFLUENCED BY, MTNS OBSCURED>
<VOR REC, INOPERATIVE, PRIOR DAY>"
19760531024959A,MAINT NOT PERFORMED DUE PARTS NOT AVAILABLE. TURBOCHARGER WASTE GATE DID NOT ACTUATE.                              ,"<TURBOCHARGER WASTE GATE, NOT ACTUATE, NULL>"
19760507010379A,"LEFT ENG OIL SUPPLY EXHAUSTED.GEAR-UP LDG IN MESQUITE BRUSH.DENSITY ALT,7200FT. HIGH OIL USAGE ENG                 ","<LEFT ENGINE, OIL SUPPLY, EXHAUSTED>
<GEAR-UP LANDING, LOCATION, MESQUITE BRUSH>
<ENGINE, HIGH OIL USAGE, NULL>"
19761022033409A,PLT CONTINUED T/O IFR AFTER WNDSHD & WINDOWS FOGGED UP DURING VFR DEPARTURE.                                       ,"<PLT, CONTINUED, T/O IFR>
<WNDSHD & WINDOWS, FOGGED UP, DURING VFR DEPARTURE>"
19761021035989A,PLT PREOCCUPIED WITH PREV NOSE WHEEL VIBRATION.DIDN'T OBSERVE GR SAFE LGT. WIND GUSTING 23KTS.                     ,"<PLT, PREOCCUPIED WITH, PREV NOSE WHEEL VIBRATION>"
19760730023679A,"ELECT SYST WENT DEAD,GENERATOR CIRCUIT BREAKER SWITCH NOT ENGAGED.NOT TIME TO EXT.GEAR MANUALLY.                   ","<ELECT SYST, HAS EFFECT, WENT DEAD>"
19760715023479A,GRASS FIRE ONLY. SKID CAUGHT UNDER REFUELING LINE.                                                                 ,"<SKID, CAUGHT UNDER, REFUELING LINE>"
19761119035559A,"BANNER PICK UP,LOOP ON TOW ROPE CAUGHT ON L LNDG GR.PLT UN MAINTAIN FLT.                                           ","<LOOP ON TOW ROPE, CAUGHT ON, L LNDG GR>"
19770225003319A,NO NARRATIVE AVAILABLE                                                                                             ,
