c5_sources,node,count
19750315005389A,TAILWHEEL,1
19750315005389A,PRIOR TO TKOF,1
19751029037799A,ACFT,2
19751029037799A,2ND ILS APCH,1
19751029037799A,G/S INOP,1
19751209037899A,RETURNED,2
19751209037899A,SOFT BRAKE,1
19751209037899A,STRONG WINDS BOS,1
19750818025579A,R MAIN GR,1
19750818025579A,TAXI OFF HARD SFC,1
19750923031109A,DEP,2
19750923031109A,DEST,1
19750923031109A,KNOWN ELEC PROB,1
19760215007629A;19770703018529A,FIRST FLT,2
19760215007629A,MTNS OBSCURED,1
19760507010379A,GEAR-UP LANDING,1
19760507010379A,MESQUITE BRUSH,1
19760730023679A,ELECT SYST,1
19760730023679A,WENT DEAD,1
19770702018479A,R RUDDER CABLE,1
19770702018479A,BATTERY BOX SUPPORT STRUCTURE,1
19770814024089A,L MAG,1
19770814024089A,INOP,1
19770530012939A,WRONG PROP,1
19770530012939A,INSTALLED,1
19770528021299A,R BRAKE,1
19770528021299A,DOWN,1
19770705018649A,MIXTURE CONTROL,1
19770705018649A,HANDLE,1
19770617020389A,INSUFFICIENT ALTITUDE,1
19770617020389A,UNSUCCESSFUL AUTOROTATION,1
19770703018529A,AFTER ANNUAL,1
19780106001449I;19780221000179I,EMERGENCY OFF AIRPORT LANDING,3
19780106001449I,IMPROPER PREFLIGHT,1
19780106001449I,RAN OUT OF FUEL,1
19780108002219I;19780110002479I;19780112002729I;19780403009389I;19780507032369I,FORCED LANDING,5
19780108002219I;19780110002479I;19780129004679I;19780210006769I;19780219007659I;19780328011399I;19780416008469I;19780429014759I;19780529040959I;19780613045599I,ENGINE TO QUIT,14
19780108002219I;19780110002479I;19780210006769I;19780225001789I;19780416008469I;19780429014759I;19780518033959I;19780529040959I,WATER IN FUEL,11
19780112002729I,POWER LOSS,1
19780112002729I,WATER,1
19780112002729I,FUEL,1
19780108002219I,FROZEN,1
19780113002859I,ABORTED,1
19780113002859I,UNLOCKED DOOR,1
19780129004679I;19780210005719I;19780210006769I;19780218007139I;19780225001789I;19780225001819I;19780228000419I;19780309015599I;19780325010349I;19780518033959I,ENGINE,12
19780129004679I,AFTER LANDING,1
19780129004679I,FROZEN LAKE,1
19780129004679I;19780210005719I,ICE,2
19780129004679I,MAIN FUEL STRAINER,1
19770927027719A,FLOATS,1
19770927027719A,REAR COMPTMT,2
19770927027719A,EXCEEDED AFT CG LMT,1
19771016042599A,WIND,1
19771016042599A;19780520014159A,GUSTING TO 25,2
19780210006769I,QUIT,1
19780210006769I;19780303015509I,AFTER TAKEOFF,2
19780211006969I;19780401007929I,NOSE GEAR,2
19780211006969I,FERRIED FROM AN EARLIER COLLAPSE,1
19780219007659I,ICE IN THE FUEL SYSTEM,1
19780218007139I,SNOW PACKED IN ENGINE COWL,1
19780225001789I,SYSTEM,1
19780225001789I,GASCOLATOR,1
19780225001789I,CARBURETOR,1
19780225001819I,FUEL EXHAUSTION,1
19780225001819I,AFTER LIFTOFF,1
19780221000179I,LOW OIL PRESSURE,2
19780221000179I,LOW ON OIL,2
19780221000179I,FAILED TO VISUALLY CHECK FUEL,1
19780228000419I,BEGAN SURGING,1
19780228000419I,FUEL CONTAMINATION,1
19780303015509I,ELECTRICAL EMERGENCY,2
19780303015509I,JUMP START,1
19780401007929I;19780421012829I;19780429014759I,AIRCRAFT,3
19780309015599I;19780421012829I;19780526040429I,PILOT,4
19780421012829I,AIRCRAFT LIGHT,1
19780421012829I,DIMMING,1
19780421012829I;19780617046219I,FLIGHT,2
19780421012829I,NIGHT,1
19780316008589I;19780504031959I,RUNWAY,2
19780316008589I,DITCH,1
19780325010349I,WATER CONTAMINATION IN THE FUEL SYSTEM,1
19780328011399I,LIFT OFF,1
19780328011399I;19780613045599I,WATER IN THE FUEL SYSTEM,2
19780402009009I;19780409009699I,ELECTRICAL FAILURE,2
19780402009009I,FINAL,1
19780403009359I;19780529040959I,LANDED,2
19780403009359I,SHORT OF RUNWAY,1
19780403009389I,HIGHWAY,1
19780409009699I,EXTENDED GEAR MANUALLY,1
19780309015599I,VACUUM IN THE TANK,1
19780309015599I,NON-VENTED CAP,1
19780309015599I,RIGHT TANK,1
19780309015599I,FUEL LEAK,1
19780507032369I,OIL LEAK,1
19780617046219I,MAG. FAILURE,1
19780520014159A,GUSTING TO 30K,1
19780429014759I,FUEL CAP,1
19780429014759I,LANDED ON FREEWAY,1
19780501031459I,UNSCHEDULED LANDING,1
19780501031459I,OIL COMING FROM ENGINES,2
19780501031459I,BOTH OIL CAPS NOT LOCKED PROPERLY,1
19780503031639I,UNABLE TO EXTEND GEAR,1
19780503031639I,FAULTY GEAR ACTUATOR,1
19780504031959I,RAN OFF,1
19780514033439I,ENGINE FIRE,1
19780514033439I,BIRDS NEST,1
19780526040429I,GEAR HANDLE,2
19780526040429I,UP POSITION,1
19780526040429I,TAXIING,2
19780526040429I,PUT GEAR HANDLE IN UP POSITION,1
19780526040429I,DURING RUNUP,1
19780526040429I,HYDRAULIC,1
19780529040959I,MARSHY AREA,1
