c5_sources,entity1,entity2,weight,relations,rows
19750315005389A,TAILWHEEL,PRIOR TO TKOF,1,FOLLOWS,0
19751029037799A,ACFT,2ND ILS APCH,1,INFLUENCED BY,2
19751029037799A,ACFT,G/S INOP,1,INFLUENCED BY,2
19751209037899A,RETURNED,SOFT BRAKE,1,HAS CAUSE,3
19751209037899A,RETURNED,STRONG WINDS BOS,1,HAS CAUSE,3
19750818025579A,R MAIN GR,TAXI OFF HARD SFC,1,PART OF,4
19750923031109A,DEP,DEST,1,USED BY,6
19750923031109A,DEP,KNOWN ELEC PROB,1,HAS CAUSE,6
19760215007629A,FIRST FLT,MTNS OBSCURED,1,INFLUENCED BY,7
19770703018529A,FIRST FLT,AFTER ANNUAL,1,TIME PERIOD,28
19760507010379A,GEAR-UP LANDING,MESQUITE BRUSH,1,LOCATION,9
19760730023679A,ELECT SYST,WENT DEAD,1,HAS EFFECT,12
19770702018479A,R RUDDER CABLE,BATTERY BOX SUPPORT STRUCTURE,1,PART OF,18
19770814024089A,L MAG,INOP,1,INFLUENCED BY,19
19770530012939A,WRONG PROP,INSTALLED,1,INSTANCE OF,20
19770528021299A,R BRAKE,DOWN,1,LOCATION,21
19770705018649A,MIXTURE CONTROL,HANDLE,1,PART OF,22
19770617020389A,INSUFFICIENT ALTITUDE,UNSUCCESSFUL AUTOROTATION,1,HAS EFFECT,26
19780106001449I,EMERGENCY OFF AIRPORT LANDING,IMPROPER PREFLIGHT,1,HAS CAUSE,31
19780106001449I,EMERGENCY OFF AIRPORT LANDING,RAN OUT OF FUEL,1,HAS CAUSE,31
19780221000179I,EMERGENCY OFF AIRPORT LANDING,LOW OIL PRESSURE,1,HAS CAUSE,59
19780108002219I;19780110002479I,FORCED LANDING,ENGINE TO QUIT,2,FOLLOWS,32,34
19780112002729I,FORCED LANDING,POWER LOSS,1,HAS CAUSE,33
19780403009389I,FORCED LANDING,HIGHWAY,1,LOCATION,73
19780507032369I,FORCED LANDING,OIL LEAK,1,HAS CAUSE,79
19780110002479I;19780210006769I,ENGINE TO QUIT,WATER IN FUEL,2,HAS CAUSE,32,50
19780210006769I,ENGINE TO QUIT,AFTER TAKEOFF,1,FOLLOWS,50
19780219007659I,ENGINE TO QUIT,ICE IN THE FUEL SYSTEM,1,HAS CAUSE,52
19780328011399I,ENGINE TO QUIT,LIFT OFF,1,FOLLOWS,68
19780328011399I;19780613045599I,ENGINE TO QUIT,WATER IN THE FUEL SYSTEM,2,HAS CAUSE,68,99
19780429014759I,ENGINE TO QUIT,LANDED ON FREEWAY,1,HAS EFFECT,84
19780108002219I,WATER IN FUEL,FROZEN,1,HAS EFFECT,34
19780225001789I,WATER IN FUEL,SYSTEM,1,PART OF,56
19780225001789I,WATER IN FUEL,GASCOLATOR,1,PART OF,56
19780225001789I,WATER IN FUEL,CARBURETOR,1,PART OF,56
19780416008469I;19780429014759I;19780529040959I,WATER IN FUEL,ENGINE TO QUIT,3,HAS CAUSE;HAS EFFECT,76,84,94
19780112002729I,WATER,FUEL,1,LOCATION,33
19780113002859I,ABORTED,UNLOCKED DOOR,1,HAS CAUSE,35
19780129004679I,ENGINE,ENGINE TO QUIT,1,HAS EFFECT,36
19780210006769I,ENGINE,QUIT,1,HAS EFFECT,50
19780218007139I,ENGINE,SNOW PACKED IN ENGINE COWL,1,HAS CAUSE,55
19780225001789I;19780518033959I,ENGINE,WATER IN FUEL,2,HAS CAUSE,56,89
19780225001819I,ENGINE,FUEL EXHAUSTION,1,HAS CAUSE,57
19780225001819I,ENGINE,AFTER LIFTOFF,1,FOLLOWS,57
19780228000419I,ENGINE,BEGAN SURGING,1,HAS EFFECT,60
19780228000419I,ENGINE,FUEL CONTAMINATION,1,HAS CAUSE,60
19780325010349I,ENGINE,WATER CONTAMINATION IN THE FUEL SYSTEM,1,HAS CAUSE,67
19780210005719I,ENGINE,ICE,1,HAS CAUSE,75
19780309015599I,ENGINE,VACUUM IN THE TANK,1,HAS CAUSE,77
19780129004679I,AFTER LANDING,FROZEN LAKE,1,LOCATION,36
19780129004679I,ICE,MAIN FUEL STRAINER,1,LOCATION,36
19770927027719A,FLOATS,REAR COMPTMT,1,PART OF,44
19770927027719A,REAR COMPTMT,EXCEEDED AFT CG LMT,1,HAS EFFECT,44
19771016042599A,WIND,GUSTING TO 25,1,HAS EFFECT,47
19780520014159A,GUSTING TO 25,GUSTING TO 30K,1,FOLLOWED BY,82
19780211006969I,NOSE GEAR,FERRIED FROM AN EARLIER COLLAPSE,1,PART OF,51
19780401007929I,NOSE GEAR,AIRCRAFT,1,PART OF,71
19780221000179I,LOW OIL PRESSURE,LOW ON OIL,1,HAS CAUSE,59
19780221000179I,LOW ON OIL,FAILED TO VISUALLY CHECK FUEL,1,HAS CAUSE,59
19780303015509I,ELECTRICAL EMERGENCY,JUMP START,1,FOLLOWS,61
19780303015509I,ELECTRICAL EMERGENCY,AFTER TAKEOFF,1,FOLLOWS,61
19780421012829I,AIRCRAFT,PILOT,1,USED BY,64
19780309015599I,PILOT,NON-VENTED CAP,1,USED BY,77
19780526040429I,PILOT,GEAR HANDLE,1,USED BY,92
19780421012829I,AIRCRAFT LIGHT,DIMMING,1,INFLUENCED BY,64
19780421012829I,FLIGHT,NIGHT,1,TIME PERIOD,64
19780617046219I,FLIGHT,MAG. FAILURE,1,HAS CAUSE,81
19780316008589I,RUNWAY,DITCH,1,LOCATION,65
19780402009009I,ELECTRICAL FAILURE,FINAL,1,LOCATION,70
19780409009699I,ELECTRICAL FAILURE,EXTENDED GEAR MANUALLY,1,HAS EFFECT,74
19780403009359I,LANDED,SHORT OF RUNWAY,1,LOCATION,72
19780529040959I,LANDED,MARSHY AREA,1,LOCATION,94
19780309015599I,RIGHT TANK,FUEL LEAK,1,HAS CAUSE,77
19780429014759I,FUEL CAP,AIRCRAFT,1,PART OF,84
19780501031459I,UNSCHEDULED LANDING,OIL COMING FROM ENGINES,1,HAS CAUSE,85
