c5_sources,node,count
19760606015529A,GLIDER,1
19760606015529A,NOSE HIGH ATTITUDE,1
19780111000459A,ACFT DISPATCHER,1
19780111000459A;19781113027039I;19791128035159A;19801005072789I;19821117066379I;19850315007389A;19850418016709I;19860706034879A;19861114075329I;19930530020029I;19950216008379I;20010421009329I;20030620012809I;20050429009279I,PILOT,30
19780111000459A,TO REMOVE TIEDROPE,1
19780402008409I,TAXIING AIRCRAFT,1
19780402008409I,INEFFECTIVE BRAKES,1
19780402008409I,INACTIVE AIRCRAFT,1
19780402008409I,TAXIING AIRCRAFT STRUCK PARKED AIRCRAFT,1
19780427013859I;19980616023109I,ENGINE COWLING,2
19780427013859I,ENGINE IN FLIGHT,1
19780509032859I,POWER LOSS,2
19780509032859I;19801116083749I;19840821046409A;19871027060859A,FORCED LANDING,6
19780509032859I,FOUND WATER IN FUEL,1
19780913017419I,ABORTED TAKEOFF,1
19780913017419I,FRONT BAGGAGE DOOR POPPED OPEN,1
19780916024019A,TIE DOWN STRAP,3
19780916024019A,LEFT SKID,1
19780916024019A,TRAILER,1
19780916024019A,HEPER,1
19781108022239I,BAGGAGE CART,2
19781108022239I,JET BLAST,1
19781108022239I,INOPERATIVE BRAKES,1
19781210024199I,WHEELS,1
19781210024199I,LOCKED UP,1
19781210024199I,SEVERAL TOUCH AND GO LANDINGS,1
19781210024199I,SNOW PACKED IN THE WHEEL PANTS,1
19781113027039I,UNMARKED DITCH AT END OF TAXIWAY,1
19790211002709A,FAILURE TO LIFTOFF,3
19790211002709A,RAN OFF END INTO SNOW BANK,1
19790211002709A,FROST ON AIRFRAME,1
19790211002709A,RUNWAY,1
19790720021329A;20010411006739I,HELICOPTER,5
19790720021329A,SLING LOAD,1
19790720021329A;19880527016939A;19920405008919A,TREES,3
19790720021329A;19840821046409A;19880527016939A,CRASH,6
19790720021329A,IMPROPER PREFLIGHT,1
19790718019229I,GROUND STAND BAGGAGE CART,2
19790718019229I,9 INCH TEAR IN FUSELAGE,1
19790718019229I,ROLLED INTO SIDE OF PARKED AIRCRAFT,1
19791128035159A,RAIN SHOWER,1
19791128035159A;19801116083749I;19840121015319I;19860706034879A;19880527016939A,ENGINE,9
19791128035159A;19850729066139I;19980620030289I,FIELD,3
19791128035159A;19860706034879A;19950804028629A,WATER IN FUEL,3
