Unnamed: 0,c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record
10135,19980109000199A,A,91,0.4,N,1998,1,9,19980109,1704,9,A,X, , , ,S,OTH,1H71,1,H,7,1.0,3T  ,3,T,  ,  ,  ,165200,19,A,Y, , ,913FE,CESSNA,208B        ,208,A37CE   ,CE,    ,6183.0,H ,PWA   ,PT6A114      ,PT6   ,E4EA    ,NE,T    ,NM,NM03,NC,DENVER         ,LITTLE MOUNTAIN ARPT          ,3,66A ,40,1.0,,,D,F,B,S,1.0,CLER,,G10,,DRY,,66A ,,,,,1,0.0,0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,19980113,19980211.0,,,20120808,F3,N,5.0,3.0,S,29.0,K,860.0,89.0,89.0,4030.0,SO,SO05,NC,PILOT DID NOT PERFORM PREFLIGHT CHECK AND FAILED TO REMOVE GUST LOCK FROM FLIGHT CONTROLS. STURCK TREES END OF RUN ,MOUNTAIN AIR CARGO INC        ,NC,MTNA,MTNA123B   ,SO,SO33,      ,None                ,II,V,A, ,TO,V,A, ,IB,IA,S,5,   ,Y,Y,N,F,A,8,COMM PILOT FLIGHT IN,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Delay Action In Abor,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Uncontroll Coll With,Takeoff Ground Roll ,                    ,Pilot Induced       ,Supplemental Or Comm,Ferry               ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,TURBOPROP                     ,                              ,                    ,                    ,                    ,Pilot and Ground Cre,,, 
11732,19810729046009A,A,137,0.4,F,1981,7,29,19810729,1315,9,Z,Y, , , ,D,   ,1G71,1,G,7,1.0,3U  , , ,  ,  ,  ,67418,4600, , , , ,1001F,BELL  ,OH13M74TEXH ,47,EXPA1G71,SW,    ,280.0,G ,      ,             ,      ,        ,  ,     ,SO,SO63,TN,RICKMAN        ,,,,45,2.0,,,6,A,B,S,1.0,OCST,1000,4,HAZ,,,,36,5,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19810730,,,,20120419,F9,N,25.0,3.0,S,34.0,K,280.0,120.0,143.0,2020.0,SO,SO63,KY,TRIED TO TAKE OFF WITH GROUND MAN FUELING HELICOPTER. LOST CONTROL AT END OF FUEL HOSE.                            ,HELICOPTER SERV               ,KY,    ,71348,SO,SO63,      ,None                ,II,F,A, ,  , , , ,IB,IC,D,5,   ,N,N,N,F, ,8,A/LINE TRANSPORT PLT,RH ASMEL            ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Fire After Crash    ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Uncontroll Coll With,To Vertical (Helicop,                    ,Pilot Induced       ,Aerial Applicator   ,Agriculture         ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, 
14532,19780325010349I,I,91,-5,F,1978,3,25,19780325,1800,9,Z,Y, , , ,O,OPP,1L71,1,L,7,1.0,3O  , , ,  ,ZW,  ,59446,1034, , , , ,8216R,BLANCA,1730A       ,17,A18CE   ,GL,    ,,L ,      ,             ,      ,        ,  ,     ,SO,SO64,FL,SILVER SPRINGS ,MUNI                          ,27,,,,,,1,X,B,S,1.0,BRKN,4000,G10,,,,,24,12,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19840409,,,,20120419,1,N,,0.0,S,34.0,O,0.0,0.0,0.0,400.0,SO,SO64,FL,ENGINE STOPPED ON FINAL APPROACH DUE TO WATER CONTAMINATION IN THE FUEL SYSTEM.                                    ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,28, , , ,OC,BD,M,5,   ,U,U,N,F, ,8,PRIVATE PILOT       ,                    ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Forced Landing      ,Final Approach      ,                    ,Pilot Induced       ,Personal            ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,Unable/Unsafe To Tax,                    ,                    ,                    ,,, 
1814,19800322006789A,A,91,0.4,N,1980,3,22,19800322,1650,9,Z,Y, , , ,S,   ,1L71,1,L,7,1.0,3O  , , ,CV,  ,  ,86879,678, , , , ,2445B,UNIVAC,GC1B        ,GC1   ,A766    ,RM,    ,3190.0,L ,      ,             ,      ,        ,  ,     ,NE,NE63,CT,HARTFORD       ,HARTFORD                      ,2,,,,,,1,B,B,S,1.0,SCAT,3000,G10,,,,,4,13,G,20.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19830201,,,,20120419,F3,N,1.0,3.0,S,49.0,P,547.0,20.0,59.0,2861.0,NE,NE63,CT,PILOT DIDN'T DRAIN FUEL LINES THAT HAD WATER IN TANK. ENGINE QUIT ON TAKEOFF. PLANE CRASHED.                       ,                              ,  ,    ,           ,  ,    ,      ,                    ,II,V,A, ,28, , , ,OC,BI,S,5,   ,Y,N,N,F, , ,COMM PILOT FLIGHT IN,ASEL                ,INSTRUMENT          ,QUALIFIED           ,ENGINEER            ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Forced Landing      ,Forced Landing      ,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,,, 
28702,19790812030579I,I,91,-5,F,1979,8,12,19790812,1030,9,A,X, , , ,S,OPP,1L71,1,L,7,1.0,3O  , , ,  ,ZW,  ,121224,3057, , , , ,53PS ,MOONEY,M20E        ,M20   ,2A3     ,SW,    ,,L ,      ,             ,      ,        ,  ,     ,SO,SO63,TN,SMYRNA         ,MUNI                          ,32R ,,,,,,1,B,B,S,1.0,OCST,2200,8,,DRY,,,34,8,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19820305,,,,20120419,1,N,1.0,0.0,S,52.0,O,48.0,0.0,0.0,483.0,SO,SO63,TN,"DURING TAKEOFF ROLL, GEAR COLLAPSED. GEAR SWITCH IN UP POSITION.                                                   ",                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,  , , , ,CD,IA,M,5,   ,U,U,N,F, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Gear Retr During Grd,Takeoff Ground Roll ,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,Unable/Unsafe To Tax,                    ,                    ,                    ,,, 
13882,19870401035709I,I,91,-5,F,1987,4,1,19870401,855,9,B,E, , ,E,O,ATS,1L72,1,L,7,2.0,4F  , , ,  ,  ,  ,117168,3570, ,N,N, ,500LJ,CESSNA,500CESSNA   ,500,A22CE   ,CE,    ,,L ,      ,             ,      ,        ,  ,     ,EA,EA21,VA,GORDONSVILLE   ,,,,,,03808N,07827W,3,N,C,S,1.0,,,,,,,,,,,,2,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19870722,,19870722.0,,20120808,9,N,5.0,3.0,S,49.0,K,50.0,50.0,75.0,6800.0,EA,EA21,VA,PILOT UNFAMILIAR WITH RADIO EQUIPMENT IN THE AIRCRAFT REQUIRED SPECIAL HANDLING.                                   ,                              ,  ,    ,           ,  ,    ,      ,Instrument Flight Ru,ME,V,A, ,PO,V,A, ,SE,DA, ,5,   ,N,N,N,I,A,3,AIRLINE TRANSPORT   ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Inadeq/Imp Pf Prep/P,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Other-Miscellaneous ,Normal Cruise       ,                    ,Pilot Induced       ,Executive           ,None Or Other       ,Unknown             ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,Pilot and Ground Cre,,, 
12785,19810727060849A,A,91,0.4,F,1981,7,27,19810727,0,9,Z,Y, , , ,F,   ,1G71,1,G,7,1.0,3U  , , ,  ,  ,  ,136991,6084, , , , ,666MP,BELL  ,206A        ,206,A4CE    ,CE,    ,,G ,      ,             ,      ,        ,  ,     ,SW,SW64,TX,HOUSTON        ,,,,,,,,3,N,B,S,1.0,SCAT,,5,HAZ,,,,0,,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19810923,,,,20120419,3,N,25.0,3.0,S,33.0,K,2300.0,150.0,225.0,3600.0,SW,SW64,TX,TRIED TO TAKE OFF WITH TIEDOWN ROPE ATTACHED TO SKID. LOST CONTROL. HELICOPTER ROLLED OFF TOP OF BUILDING.         ,                              ,  ,    ,           ,  ,    ,      ,Visual Flight Rules ,II,E,A, ,  , , , ,IB,IC,D,5,   ,U,U,N,F, ,1,COMMERCIAL PILOT    ,RH ASMEL            ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Uncontroll Coll With,To Vertical (Helicop,                    ,Pilot Induced       ,Executive           ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, 
9061,19810130002279A,A,91,0.4,F,1981,1,30,19810130,1100,9,Z,Y, , , ,D,   ,1H71,1,H,7,1.0,3O  , , ,  ,  ,  ,125170,227, , , , ,5637Y,MAULE ,M5210C      ,M5    ,3A23    ,SO,    ,62.0,H ,      ,             ,      ,        ,  ,     ,WP,WP12,CA,LOWER LAKE     ,PEARCE                        ,30,,315,3.0,,,1,B,B,S,1.0,CLER,,G10,,WET,,,12,10,,,1,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19810202,,,,20120808,1,N,5.0,0.0,S,41.0,C,60.0,10.0,25.0,2000.0,WP,WP12,CA,ENGINE QUIT ON TAKEOFF. DID NOT USE ALTERNATE AIR. POSSIBLE WATER IN FUEL. DITCHED IN LAKE.                        ,                              ,  ,    ,           ,  ,    ,      ,None                ,ME,D,A, ,28, , , ,IA,IH,S,5,   ,Y,U,N,H, ,8,PRIVATE PILOT       ,ASMEL               ,RATINGS SHOWN BY 1ST,QUALIFIED           ,SALESMAN            ,Fail/Incorrect Use M,Ditching            ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Control Coll With Gr,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, 
8839,19910616023269A,A,91,0.4,N,1991,6,16,19910616,1615,9,Z,Y, , , ,O,OPP,1L71,1,L,7,1.0,3R  ,3,R,  ,  ,  ,112940,2326, ,N, , ,46795,RYAN  ,ST3KR       ,ST3   ,A749    ,WP,    ,2971.0,L ,GLADEN,R56          ,R5    ,TC153   ,WP,R    ,WP,WP01,CA,SANTA MARIA    ,,,,,,,,1,B,B,S,1.0,CLER,,10,,,,,27,6,,,1,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19910624,19910717.0,,,20120808,F9,N,5.0,3.0,S,53.0,K,2000.0,,60.0,15000.0,WP,WP01,CA,NEGLECTED TO TURN ON OIL SUPPLY VALVE PRIOR TO TAKEOFF. LOST OIL PRESSURE. ELECTED TO LAND ON A ROAD. WING HIT SIGN,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,  , , , ,JE,DD,S,5,   ,Y,N,N,E, ,8,A/LINE TRANSPORT PLT,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Collision With Fence,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-RADIAL          ,                              ,                    ,                    ,                    ,                    ,,, 
6075,19801002072439I,I,91,-5,F,1980,10,2,19801002,2030,9,B,E, , ,V,S,ATS,1L72,1,L,7,2.0,3O  , , ,  ,  ,  ,131116,7243, , , , ,6176Q,CESSNA,320F        ,320,3A25    ,CE,    ,,L ,      ,             ,      ,        ,  ,     ,SO,SO63,MS,GREENVILLE     ,MUNI                          ,35L ,,,,,,1,B,C,S,2.0,,,,,DRY,,,,,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19801230,,,,20120419,1,N,5.0,0.0,P,58.0,O,1900.0,0.0,0.0,3000.0,SO,SO63,MS,ZN PILOT DID NOT GET GREEN LIGHTS WITH GEAR EXTENSION AND DID NOT TRY TO EXTEND MANUALLY. GEAR COLLAPSED ON LANDING,                              ,  ,    ,           ,  ,    ,      ,None                ,EQ,V,A, ,32, , , ,CC,HB,M,8,   ,U,U,N,F, ,8,PRIVATE PILOT       ,ASMEL               ,RATINGS SHOWN BY 1ST,NO BIENNIAL FLIGHT R,UNKNOWN             ,Improper Operation E,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Gear Collapse       ,Roll-Out (Fixed Wing,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Night               ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, 
