Unnamed: 0,c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record
18482,20040925025079A,A,137,-23,F,2004,9,25,20040925,1730,9,B,D, , , ,S,OTH,1G71,1,G,7,1.0,3U  ,3,U,  ,  ,  ,33151,2507,G,N, , ,96PH ,BELL  ,206B        ,206,H2SW    ,SW,    ,10701.0,G ,ALLSN ,250C20       ,250C  ,E4CE    ,GL,U    ,SO,SO07,MS,STARKVILLE     ,GEORGE M BRYAN ARPT           ,,STF ,,,,,6,A,B,S,1.0,,,,,,,STF ,,,,,1,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,20041102,,20050127.0,,20120808,F3,N,21.0,0.0,S,49.0,O,3700.0,,200.0,7800.0,SO,SO09,AL,(-23) FUEL CONTAMINATION IN AIRFRAME FUEL FILTER AS WELL AS IN FUEL FILTER AND ENGINE DRIVEN FUEL PUMP FILTER. THE ,PROVINE HELICOPTER SERVICE INC,MS,ZMPG,ZMPG517J   ,SO,SO07,      ,None                ,II,V,A, ,73, , ,M,OC,DE,S,5,   ,U,U,N,E, ,8,COMM PILOT FLIGHT IN,RH ASEL             ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,7310,                    ,                    ,Fuel Contamination  ,Forced Landing      ,Low Level Operations,                    ,Pilot Induced       ,Aerial Applicator   ,Agriculture         ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,UNDER 750 HP                  ,TURBOSHAFT                    ,                              ,                    ,                    ,                    ,                    ,,, 
5645,19900908047359A,A,91,0.4,N,1990,9,8,19900908,740,9,Z,Y, , , ,O,OPP,1H72,1,H,7,2.0,3O  ,3,O,  ,  ,  ,89629,4735, ,N, , ,2654S,CESSNA,337C        ,337,A6CE    ,CE,    ,3099.0,H ,CONT  ,IO360G       ,O360  ,E1CE    ,SO,O    ,EA,EA05,NJ,MANVILLE       ,KUPPER ARPT                   ,25,47N ,,,,,1,B,B,S,1.0,CLER,,10,,DRY,,47N ,,0,,,3,2.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19901031,19901031.0,,,20120808,1,N,5.0,3.0,S,47.0,O,713.0,29.0,33.0,2418.0,EA,EA25,NY,PILOT REPORT SEAT SLID BACK ON TAKEOFF ROLL. UNABLE REACH CONTROLS RAN OFF END RUNWAY. NO DEFECTS IN SEAT LATCH.   ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,  , , , ,JJ,IE,S,5,   ,Y,N,N,A, ,8,PRIVATE PILOT       ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Collision With Other,To Aborted (Fixed Wi,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,Pilot and Ground Cre,                    ,,, 
11733,19980716023339I,I,91,-5,F,1998,7,16,19980716,1408,9,B,E, , ,E,O,OTH,1H71,1,H,7,1.0,3O  , , ,  ,  ,  ,69408,2333, , , , ,111SH,CESSNA,T210L       ,210,3A21    ,CE,    ,3475.0,H ,      ,             ,      ,        ,  ,     ,CE,CE03,MO,CAPE GIRARDEAU ,CAPE GIRARDEAU MUNI           ,,CGI ,,,,,3,N,B,S,1.0,,,,,DRY,,CGI ,,,,,1,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19980914,,19980914.0,,20120808,1,N,1.0,0.0,M,57.0,O,850.0,,49.0,1352.0,GL,GL03,IL,RIGHT MAIN GEAR FOLDED LANDING AT CGI HAD DEPARTED PRIOR TO MAINTENANCE WORK ON GEAR WAS COMPLETED.                ,                              ,  ,    ,           ,  ,    ,      ,None                ,AU,V,A, ,  , , , ,CC,HA,M,5,   ,U,U,N,E, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,"UNKNOWN, FOREIGN PIL",UNKNOWN             ,Attempt Operation Wi,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Gear Collapse       ,Level Off Touchdown ,                    ,Pilot Induced       ,Executive           ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, 
14188,19870618066619I,I,91,-5,F,1987,6,18,19870618,1130,9,B,A, , , ,S,ATS,1L72,1,L,7,2.0,3T  , , ,  ,ZA,  ,109916,6661, ,N, , ,44DT ,PIPER ,PA31T       ,PA31T ,A8EA    ,SO,    ,,L ,      ,             ,      ,        ,  ,     ,EA,EA17,NJ,ATLANTIC CITY  ,ATLANTIC CITY MUNI-BADER FIELD,,AIY ,,,03921N,07427W,1,B,B,S,1.0,CLER,,G10,,,,AIY ,,,,,5,4.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19871125,,19871125.0,,20120808,1,N,5.0,5.0,S,46.0,O,352.0,40.0,110.0,4465.0,NE,NE01,MA,CABIN DOOR CAME OPEN DURING CLIMB AFTER WIND NOISE WAS HEARD. RETURNED AND SHUT THE DOOR.                          ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,O,A, ,  , , , ,SE,CL,M,8,   ,U,U,N,A, ,8,PRIVATE PILOT       ,ASMEL               ,LIGHTER THAN AIR & I,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Other-Miscellaneous ,Climb               ,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Discussion          ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,Unscheduled Landing ,                    ,Pilot and Ground Cre,                    ,,, 
5671,19800711024979A,A,91,0.4,F,1980,7,11,19800711,2020,9,Z,Y, , , ,S,   ,1H71,1,H,7,1.0,3O  , , ,CV,  ,  ,89240,2497, , , , ,2612Z,BBAVIA,7GCBC       ,7,A759    ,SW,    ,152.0,H ,      ,             ,      ,        ,  ,     ,GL,GL14,MN,DULUTH         ,INTL                          ,9,,,,,,1,B,B,S,4.0,CLER,7500,G10,,DRY,,,36,15,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19830201,,,,20120419,F3,N,6.0,3.0,S,43.0,N,98.0,0.0,85.0,2958.0,GL,GL14,MN,PILOT DID NOT DO A COMPLETE PREFLIGHT. CONTROL WAS LOCKED ON TAKEOFF. PLANE CRASHED AFTER LIFTOFF FROM RUNWAY.     ,                              ,  ,    ,           ,  ,    ,      ,                    ,II,V,A, ,  , , , ,IA,IH,S,5,   ,Y,N,N,F, , ,COMM PILOT FLIGHT IN,ASEL ASES           ,INSTRUMENT          ,QUALIFIED           ,OTHER               ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Control Coll With Gr,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Dusk                ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Conventional          ,                    ,                    ,                    ,                    ,,, 
13908,19980613036149I,I,121,-5,F,1998,6,13,19980613,600,9,Z,Y, , , ,O,OPP,2L74,2,L,7,4.0,4F  ,4,F,  ,  ,  ,173693,3614,A,N, , ,995CF,DOUG  ,DC862F      ,DC8   ,4A25    ,WP,    ,62293.0,L ,PWA   ,JT3D7        ,JT3D  ,1.00E+08,NE,F    ,GL,GL05,OH,DAYTON         ,JAMES M COX DAYTON INTL       ,06R ,DAY ,,,,,H,T,B,S,1.0,,,,,,,DAY ,,,,,4,0.0,0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19990301,,19990301.0,,20120808,9,N,,,,45.0,,,,,,WP,WP07,AZ,(-5) ON THE ABOVE DATE AND TIME EMERY 024 (HEAVY) WAS DEPARTING DAY WHEN THE MAIN CARGO DOOR OPENED FOR UNKNOWN REA,EMERY WORLDWIDE AIRLINES INC  ,CA,RRXA,RRXA558B   ,WP,WP15,      ,Instrument Flight Ru,II,E,A, ,52, , ,J,SY,IB,S,6,   ,N,N,N,U, ,3,AIRLINE TRANSPORT   ,                    ,                    ,                    ,                    ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,5230,                    ,                    ,Improperly Secured  ,System/Component Mal,To Init Climb(1st Pw,                    ,Undetermined        ,All Cargo Carriers  ,Cargo               ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,750 HP AND OVER               ,TURBOFAN/TURBOJET BYPASS      ,                              ,                    ,                    ,                    ,                    ,,, 
25125,19881006044709A,A,91,0.4,F,1988,10,6,19881006,1410,9,Z,Y, , , ,S,LSG,1L71,1,L,7,1.0,3O  ,3,O,TR,  ,  ,79701,4470, ,N, , ,197RL,AMTR  ,GLASAIR     ,GAIR  ,EXPA1L71,GL,    ,320.0,L ,LYC   ,O320*        ,O320  ,E274    ,EA,O    ,WP,WP25,CA,REDDING        ,ENTERPRISE SKYPARK ARPT       ,,Q93 ,360,1.0,,,1,B,B,S,1.0,CLER,,G10,,,,Q93 ,18,8,,,2,1.0,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,19881007,19881019.0,,,20120808,1,N,1.0,0.0,S,52.0,N,308.0,10.0,10.0,384.0,NM,NM02,WA,CANOPY CAME OPEN ON TAKEOFF. PILOTS GLASSES BLEW OFF AND HE LOST CONTROL TRYING TO CLOSE CANOPY AND CRASHED.       ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,56, , ,J,IB,IH,D,5,   ,Y,Y,N,A, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,OTHER               ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,5610,                    ,                    ,Improperly Secured  ,Uncontroll Coll With,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,Wheeled-Tricycle              ,                    ,                    ,Pilot and Ground Cre,                    ,,, 
6160,20010805023549A,A,91,-23,F,2001,8,5,20010805,2043,9,B,A,B,D, ,S,OTH,1H72,1,H,7,2.0,3O  ,3,O,  ,  ,  ,178739,2354, ,N, , ,3838U,CESSNA,336,336,A2CE    ,CE,    ,,H ,CONT  ,IO360*       ,IO360 ,E1CE    ,CE,O    ,WP,WP01,CA,PALMDALE       ,,,,,,,,1,B,B,S,,,,,,,,,,,,,1,0.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,20010927,,20050127.0,,20120808,1,N,5.0,3.0,,78.0,O,,,,,WP,WP23,CA,"(.19) ON AUGUST 5, 2001, ABOUT 2015 HOURS PACIFIC DAYLIGHT TIME, A CESSNA 336, N3838U, EXPERIENCED A LOSS OF POWER ",                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,28, , ,J,IA,IH,D,5,   ,U,U,N,E, ,8,PRIVATE PILOT       ,ASMEL               ,INSTRUMENT          ,                    ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,2820,                    ,                    ,Improperly Secured  ,Control Coll With Gr,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,                    ,Flight Personnel    ,Discussion          ,Flight Personnel    ,Re-Examination/Re-In,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,                    ,                    ,,, 
34366,19841121073629I,I,91,-5,F,1984,11,21,19841121,1530,9,Z,Y, , , ,S,OPP,1L71,1,L,7,1.0,3O  ,3,O,  ,  ,  ,135192,7362, , , , ,6520U,MOONEY,M20C        ,M20   ,2A3     ,SW,    ,3500.0,L ,LYC   ,O360A1D      ,O360  ,E286    ,EA,O    ,GL,GL13,WI,STURTEVANT     ,SYLVANIA                      ,26L ,ENW ,346,70.0,04242N,08758W,1,B,B,S,1.0,CLER,,G10,,DRY,,ENW ,,,,,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,19850306,,,,20120419,1,N,1.0,0.0,S,37.0,O,25.0,25.0,25.0,150.0,GL,GL13,WI,"ENGINE QUIT AFTER TAKEOFF. LANDED IN FIELD. 2 QUARTS OF WATER IN LEFT FUEL TANK, WATER IN CARBURETOR, GASCOLATOR.  ",                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,28, , , ,CA,IH,M,5,   ,U,N,N,F, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Wheels-Up Landing   ,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,                    ,                    ,,, 
6912,19910210001909A,A,135,0.4,N,1991,2,10,19910210,1155,9,Z,Y, , , ,O,LSG,1G72,1,G,7,2.0,3U  ,3,U,CV,Z2,  ,122600,190,A,N, , ,5413D,BOLKMS,BO105CBS    ,105,H3EU    ,EU,    ,3422.0,G ,ALLSN ,250C20B      ,250C  ,E4CE    ,GL,U    ,AL,AL03,AK,VALDEZ         ,,,,,,,,5,S,B,S,1.0,OCST,GR1K,G10,,,,,16,3,,,4,3.0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,19910211,19910222.0,,,20120808,9,N,21.0,3.0,S,34.0,K,295.0,123.0,143.0,2779.0,AL,AL01,AK,LOST POWER ON OVERWATER CLIMBOUT AND DITCHED. HAD FAILED TO TURN ON REQUIRED BOOST PUMP SWITCHES.                  ,HELI-LIFT INC                 ,AK,EOPA,EOPA636D   ,AL,AL01,      ,Air Taxi Flight Foll,ME,D,A, ,II,E,A, ,IC,HE,S,5,   ,Y,N,N,F,E,9,AIRLINE TRANSPORT   ,RH ASEL             ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Fail/Incorrect Use M,Ditching            ,Pilot-In-Command    ,                    ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,Control Coll With Wa,Pwr Off Vert Land/Au,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Passengers          ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,UNDER 750 HP                  ,TURBOSHAFT                    ,Wheeled-Conventional          ,Over Water/Into Wate,                    ,                    ,                    ,,, 
