existing_node,match,new_row,final_node,similarity
TAKEOFF,AFTER TAKEOFF,2,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,6,DURING FORCED LANDING,1.0
TAKEOFF,AFTER TAKEOFF,7,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,14,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,20,DURING FORCED LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,22,DURING FORCED LANDING,1.0
FORCED LANDING,DURING FORCED LANDING,28,DURING FORCED LANDING,1.0
TAKEOFF,AFTER TAKEOFF,29,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,34,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,39,AFTER TAKEOFF,1.0
FORCED LANDING,DURING FORCED LANDING,42,DURING FORCED LANDING,1.0
DOWN,AGAIN,44,AGAIN,1.0000001
LANDING,AFTER LANDING,48,AFTER LANDING,1.0
WATER IN THE FUEL,WATER IN FUEL,52,WATER IN FUEL,1.0
OUT,AGAIN,55,AGAIN,1.0000001
FORCED LANDING,DURING FORCED LANDING,55,DURING FORCED LANDING,1.0
TAKEOFF,AFTER TAKEOFF,58,AFTER TAKEOFF,1.0
BEFORE LANDING,AFTER LANDING,61,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,64,AFTER TAKEOFF,1.0
LIFTOFF,AFTER LIFTOFF,65,AFTER LIFTOFF,1.0
TAKEOFF,AFTER TAKEOFF,66,AFTER TAKEOFF,1.0
ON LANDING,AFTER LANDING,69,AFTER LANDING,1.0
GEAR UP,GEAR,74,GEAR,1.0
TAKEOFF ROLL,DURING TAKEOFF ROLL,80,DURING TAKEOFF ROLL,1.0
TAKEOFF,AFTER TAKEOFF,80,AFTER TAKEOFF,1.0
DURING TAKEOFF,AFTER TAKEOFF,82,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,84,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,84,AFTER LANDING,1.0
IN FUEL,FUEL,93,FUEL,1.0
TAKEOFF,AFTER TAKEOFF,96,AFTER TAKEOFF,1.0
END RUNWAY,END OF RUNWAY,96,END OF RUNWAY,1.0000001
DURING TAKEOFF,AFTER TAKEOFF,97,AFTER TAKEOFF,1.0
