c5_sources,entity1,entity2,weight,relations,rows
19790407008559A,ELEVATOR CONTROL,PARACHUTE,1,INFLUENCED BY,0
19790321010439A,STUDENT,MULTIENGINE AIRPLANE,1,USED BY,1
19790321010439A,STUDENT,FEATHERED WRONG ENGINE,1,HAS CAUSE,1
19790321010439A,EMERGENCY LANDING,FEATHERED WRONG ENGINE,1,HAS CAUSE,1
19790524200519I,EMERGENCY LANDING,FUMES,1,HAS CAUSE,38
19790207002459A,WATER,FUEL TANKS,1,LOCATION,2
19790421024749I;19790916031359A,WATER,FUEL SYSTEM,2,LOCATION;PART OF,14,96
19790312008529I;19790429005459A;19790528028209I;19790627017429I,WATER,FUEL,4,LOCATION;PART OF,20,28,41,42
19790623022919A,WATER,FUEL LINES,1,LOCATION,34
19790222003429A,ATTEMPTED TAKEOFF,6700 FT ALTITUDE,1,LOCATION,3
19790222003429A,ATTEMPTED TAKEOFF,ICE AND SNOW COVERED LAKE,1,LOCATION,3
19790405013359I,ATTEMPTED TAKEOFF,PILOT,1,USED BY,8
19790515018139A,ATTEMPTED TAKEOFF,FLIGHT CONTROLS,1,USED BY,32
19790511011259A,ATTEMPTED TAKEOFF,ICE ON AIRFRAME,1,USED BY,53
19790222003429A,FROST,WINGS,1,LOCATION,3
19790510009019A,WINGS,AIRCRAFT,1,PART OF,27
19790204002289A,ICE,GASCOLATOR,1,LOCATION,6
19790204002289A,ICE,FLEXIBLE HOSE,1,LOCATION,6
19790224007469I,ICE,RIGHT TANK,1,PART OF,17
19790204002289A,FLEXIBLE HOSE,AIR FILTER,1,PART OF,6
19790204002289A,FLEXIBLE HOSE,CARBURETOR,1,PART OF,6
19790204002289A,DURING FORCED LANDING,ICE,1,HAS EFFECT,6
19790312008529I;19790627017429I,DURING FORCED LANDING,POWER LOSS,2,HAS CAUSE,20,42
19790520026369I,DURING FORCED LANDING,FUEL EXHAUSTION,1,HAS CAUSE,22
19790528028209I,DURING FORCED LANDING,ENGINE QUIT,1,FOLLOWS,28
19790319004969A,ENGINE FAILURE,AFTER TAKEOFF,1,FOLLOWS,7
19790801021959A;19791102034159A,ENGINE FAILURE,WATER IN FUEL,2,HAS CAUSE,79,98
19790609011809A,AFTER TAKEOFF,LOST ELECT. POWER,1,HAS EFFECT,44
19790319004969A,CONTAMINATED FUEL,AIRCRAFT,1,LOCATION,7
19790602009889A,PILOT,DITCHED IN THE OCEAN,1,HAS EFFECT,57
19791030053329I,PILOT,NIGHT FLIGHT,1,USED BY,94
19790316004809A,GROUND,SHORT OF RUNWAY,1,LOCATION,9
19790210002629A,FCD LDG,NIGHT,1,TIME PERIOD,11
19790210002629A,HARD LDG,APT,1,LOCATION,11
19790210002629A,FUEL STAINS,WING DRAINS,1,LOCATION,11
19790210002629A,FUEL STAINS,FUSELAGE,1,LOCATION,11
19790210002629A,FUEL,ONBOARD,1,PART OF,11
19790605014519I,FUEL,CAPTAIN,1,USED BY,24
19790309032649A,CARGO DOOR,DOOR,1,INSTANCE OF,13
19790309032649A,CARGO DOOR,INFLIGHT,1,EVENT DISTANCE,13
19790309032649A,DOOR,AFTER LANDING,1,EVENT DISTANCE,13
19790421024749I,ENGINE QUIT,AFTER TAKEOFF,1,FOLLOWS,14
19790224007469I,ENGINE QUIT,EMPTY TANK,1,HAS CAUSE,17
19790427100559I,ENGINE QUIT,FUEL CONTAMINATION,1,HAS CAUSE,37
19790705018829I,ENGINE QUIT,WATER IN FUEL,1,HAS CAUSE,74
19791103056779I,ENGINE QUIT,TOO RICH A MIXTURE,1,HAS CAUSE,99
19790421024749I,DEBRIS,FUEL SYSTEM,1,PART OF,14
19790224007709I,WINDSHIELD,INOP HEATER,1,HAS CAUSE,15
19790224007709I,LANDED LONG,APPROACH,1,FOLLOWS,15
19790224007709I,RAN OFF,LANDED LONG,1,FOLLOWS,15
19790224007709I,RAN OFF,DEPARTURE END OF RUNWAY,1,LOCATION,15
19790623014019A,RAN OFF,AFTER TAKEOFF,1,FOLLOWS,39
19790224007469I,EMPTY TANK,LEFT TANK,1,PART OF,17
19790216014249A,GUST LOCK,PILOT,1,USED BY,18
19790421024669I,GEAR,BROKEN EXTENSION CABLE,1,HAS CAUSE,21
19790507025919I,FUEL EXHAUSTION,UNABLE TO RESTART ENGINE,1,HAS EFFECT,56
19790615016499I,TOW BAR,NOSE WHEEL,1,PART OF,25
19790510009019A,AIRCRAFT TOOK OFF,UNABLE TO MAINTAIN FLIGHT,1,FOLLOWED BY,27
19790425024979I,UNABLE TO MAINTAIN FLIGHT,POWER LOSS,1,HAS CAUSE,52
19790510009019A,FROST ON THE WINGS,MODERATE FROST,1,INSTANCE OF,27
19790623022919A,ENGINE,ACFT,1,USED BY,34
19790623022919A,ENGINE,SPUTTERING,1,HAS EFFECT,34
19790622017199I,ENGINE,RUNWAY AT HOME,1,LOCATION,45
19790513026659I,ENGINE,MINOR OIL LEAK,1,HAS CAUSE,49
19790602009889A,ENGINE,FAILED ENROUTE,1,HAS EFFECT,57
19790809030499I,ENGINE,FUEL CONTAMINATED WITH DIRT AND WATER,1,HAS CAUSE,60
19790813023739A,ENGINE,WATER AND TRASH IN FUEL,1,HAS CAUSE,71
19790623022919A,ACFT,CRASHED,1,HAS EFFECT,34
19790623022919A,ACFT,BURNED,1,HAS EFFECT,34
19790623022919A,SPUTTERING,AFTER TAKEOFF,1,FOLLOWS,34
19790602009889A,FUEL CONTAMINATION,ACCIDENT,1,HAS CAUSE,57
19790524200519I,FUMES,PASSENGER CABIN,1,LOCATION,38
19790609011809A,LANDED,AIRPORT,1,LOCATION,44
19790813030889I,LANDED,LOW OIL PRESSURE,1,HAS CAUSE,67
19790820032669I,LANDED,HIGHWAY,1,LOCATION,76
19790829023019A,LANDED,SOYBEAN FIELD,1,LOCATION,78
19790829023019A,LANDED,FLIPPED OVER,1,HAS EFFECT,78
19790916031359A,LANDED,END OF RUNWAY,1,LOCATION,96
19790513026659I,LOSS OF OIL PRESSURE,ENGINE SHUTDOWN,1,HAS EFFECT,49
19790525014229A,HELICOPTER,GROUND RUN UP,1,USED BY,51
19790525014229A,HELICOPTER,VIBRATE,1,HAS EFFECT,51
19790525014229A,HELICOPTER,IMPROPERLY SERVICED STRUTS,1,HAS CAUSE,51
19790525014229A,HELICOPTER,SELF DESTRUCTED,1,HAS EFFECT,51
19790525014229A,GR RESONANCE,IMPROPERLY SERVICED STRUTS,1,HAS CAUSE,51
19790425024979I,WATER IN FUEL,POWER LOSS,1,HAS EFFECT,52
19790807029619I,OIL CAP,PREFLIGHT,1,PART OF,65
19790807029619I,OIL,COWL,1,LOCATION,65
19790807029619I,OIL,AFTER LIFTOFF,1,EVENT DISTANCE,65
19790807029669I,LOST DIRECTIONAL CONTROL,AFTER LANDING,1,EVENT DISTANCE,69
19790807029669I,SOLO,ILLEGAL,1,INSTANCE OF,69
19790705018829I,FAILED TO DRAIN,PREFLIGHT,1,TIME PERIOD,74
19790808027309A,INSUFFICIENT ALTITUDE,WATER IN FUEL,1,HAS CAUSE,82
19790712020439I,STOPPED,RUNWAY,1,LOCATION,83
19790712020439I,STOPPED,AFTER LANDING,1,FOLLOWS,83
19790710018689I,ELECTRICAL FAILURE,MANUAL GEAR EXTENSION,1,HAS EFFECT,85
19790918023659I,NOSE GEAR DOOR RETRACT RODS,NOSE GEAR,1,PART OF,86
19791017051209I,ENGINE STOPPED,OBSTRUCTED FUEL VENT LINE,1,HAS CAUSE,90
19791022054789I,ENGINE STOPPED,FUEL STARVATION,1,HAS CAUSE,91
19791030053329I,BATTERY,DISCHARGING,1,HAS EFFECT,94
19791030053329I,EMERGENCY GEAR SYSTEM,PILOT,1,USED BY,94
19790919027319A,FAILED,WATER IN FUEL,1,HAS CAUSE,97
