c5,c119,gpt4o_triplets,gpt4o_triplets_clean
19790407008559A,PILOT SAID THE ELEVATOR CONTROL JAMMED.A PARACHUTE WAS FOUND BETWEEN THE REAR SEAT AND CONTROL STICK.              ,"<ELEVATOR CONTROL, INFLUENCED BY, PARACHUTE>","<ELEVATOR CONTROL, INFLUENCED BY, PARACHUTE>"
19790321010439A,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,"<STUDENT, USED BY, MULTIENGINE AIRPLANE>
<STUDENT, HAS CAUSE, FEATHERED WRONG ENGINE>
<EMERGENCY LANDING, HAS CAUSE, FEATHERED WRONG ENGINE>","<STUDENT, USED BY, MULTIENGINE AIRPLANE>
<STUDENT, HAS CAUSE, FEATHERED WRONG ENGINE>
<EMERGENCY LANDING, HAS CAUSE, FEATHERED WRONG ENGINE>"
19790207002459A,ENGINE FAILED ON TAKEOFF. FOUND WATER IN FUEL TANKS.                                                               ,"<ENGINE, FAILURE, TAKEOFF>
<WATER, LOCATION, FUEL TANKS>","<ENGINE, FAILURE, TAKEOFF>
<WATER, LOCATION, FUEL TANKS>"
19790222003429A,ATTEMPTED TAKEOFF AT 6700 FT ALTITUDE WITH FROST ON WINGS.ACFT SETTLED ONTO ICE AND SNOW COVERED LAKE.             ,"<ATTEMPTED TAKEOFF, LOCATION, 6700 FT ALTITUDE>
<ATTEMPTED TAKEOFF, LOCATION, ICE AND SNOW COVERED LAKE>
<FROST, LOCATION, WINGS>","<ATTEMPTED TAKEOFF, LOCATION, 6700 FT ALTITUDE>
<ATTEMPTED TAKEOFF, LOCATION, ICE AND SNOW COVERED LAKE>
<FROST, LOCATION, WINGS>"
19790412014049I,PRECAUTIONARY LANDING WHEN ONE SIDE OF THE ENGINE COWL CAME OPEN DUE TO A LOOSE DZUS FASTENER.                     ,"<ENGINE COWL, CAME OPEN, LOOSE DZUS FASTENER>","<ENGINE COWL, CAME OPEN, LOOSE DZUS FASTENER>"
19790222003439A,ACRFT WAS SERVICED 65 DAYS PRIOR TO ACCIDENT. HAD NOT BEEN FLOWN PRIOR TO DATE OF ACCIDENT. WATER FOUND IN FUEL.   ,"<FUEL, WATER IN, FUEL>","<FUEL, WATER IN, FUEL>"
19790204002289A,AFTER A FORCED LANDING ICE WAS FOUND IN GASCOLATOR AND IN FLEXIBLE HOSE BETWEEN AIR FILTER AND CARBURATOR.         ,"<ICE, LOCATION, GASCOLATOR>
<ICE, LOCATION, FLEXIBLE HOSE>
<FLEXIBLE HOSE, PART OF, AIR FILTER>
<FLEXIBLE HOSE, PART OF, CARBURETOR>
<FORCED LANDING, HAS EFFECT, ICE>","<ICE, LOCATION, GASCOLATOR>
<ICE, LOCATION, FLEXIBLE HOSE>
<FLEXIBLE HOSE, PART OF, AIR FILTER>
<FLEXIBLE HOSE, PART OF, CARBURETOR>
<FORCED LANDING, HAS EFFECT, ICE>"
19790319004969A,ENGINE FAILURE ON TAKEOFF. CONTAMINATED FUEL FOUND IN AIRCRAFT.                                                    ,"<ENGINE FAILURE, FOLLOWS, TAKEOFF>
<CONTAMINATED FUEL, LOCATION, AIRCRAFT>","<ENGINE FAILURE, FOLLOWS, TAKEOFF>
<CONTAMINATED FUEL, LOCATION, AIRCRAFT>"
19790405013359I,PILOT ATTEMPTED TAKEOFF WITH OBSTRUCTION (MAGAZINE) BETWEEN RUDDER AND VERTICAL STABILIZER ZE.                     ,"<ATTEMPTED TAKEOFF, USED BY, PILOT>","<ATTEMPTED TAKEOFF, USED BY, PILOT>"
19790316004809A,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT STRUCK GROUND SHORT OF RUNWAY. WATER IN FUEL.                           ,"<ENGINE, STOPPED, FINAL APPROACH>
<AIRCRAFT, STRUCK, GROUND>
<GROUND, LOCATION, SHORT OF RUNWAY>
<WATER, IN, FUEL>","<ENGINE, STOPPED, FINAL APPROACH>
<AIRCRAFT, STRUCK, GROUND>
<GROUND, LOCATION, SHORT OF RUNWAY>
<WATER, IN, FUEL>"
