c5_sources,entity1,entity2,weight,relations,rows
19790407008559A,ELEVATOR CONTROL,JAMMED,1,INSTANCE OF,0
19790207002459A;19790808027309A;19790916031359A,ENGINE,AFTER TAKEOFF,3,HAS CAUSE,2,82,96
19790207002459A;19790625015009A,ENGINE,FAILURE,2,HAS CAUSE;INSTANCE OF,2,46
19790316004809A,ENGINE,FINAL APPROACH,1,HAS CAUSE,9
19790421024889I,ENGINE,PILOT TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY,1,HAS CAUSE,10
19790318010729A;19790603012119A;19790829023019A;19790916031359A,ENGINE,STOPPED,4,HAS CAUSE;HAS EFFECT;INSTANCE OF,12,31,78,96
19790318010729A,ENGINE,EMPTY TANK,1,TIME PERIOD,12
19790318010729A,ENGINE,ILS APPROACH,1,TIME PERIOD,12
19790318010729A,ENGINE,CRASHED,1,HAS CAUSE,12
19790318010729A,ENGINE,WOULD NOT START,1,HAS EFFECT,12
19790421024749I,ENGINE,ENGINE QUIT,1,HAS CAUSE,14
19790421024749I,ENGINE,AIRPLANE,1,PART OF,14
19790224007469I,ENGINE,LEVEL FLIGHT,1,HAS CAUSE,17
19790224007469I,ENGINE,ACFT,1,INSTANCE OF,17
19790603029089I,ENGINE,THROTTLE CABLE HOUSING SLIPPED OUT OF CLAMP,1,HAS CAUSE,23
19790603029089I,ENGINE,PILOT,1,MAINTAINED BY,23
19790529041069A,ENGINE,AIR INTAKE,1,HAS EFFECT,29
19790529041069A,ENGINE,ALTERNATE AIR DEFECT,1,INFLUENCED BY,29
19790603012119A,ENGINE,25-FT AGL LIFTOFF,1,TIME PERIOD,31
19790623022919A,ENGINE,SPUTTERING,1,HAS CAUSE,34
19790427100619I,ENGINE,HYDRAULIC PUMP WAS SHUT DOWN,1,HAS CAUSE,36
19790427100619I,ENGINE,EMERGENCY PROCEDURES NOT FOLLOWED,1,HAS EFFECT,36
19790427100559I;19790602009889A,ENGINE,FUEL CONTAMINATION,2,HAS CAUSE,37,57
19790625015009A,ENGINE,TWO & ONE HALF QUARTS,1,TIME PERIOD,46
19790513026659I,ENGINE,MINOR OIL LEAK,1,HAS EFFECT,49
19790602009889A,ENGINE,AIRCRAFT COMPONENT,1,INSTANCE OF,57
19790703018439I,ENGINE,TAKE-OFF,1,HAS CAUSE,68
19790813023739A,ENGINE,WATER AND TRASH IN FUEL,1,HAS CAUSE,71
19790829023019A,ENGINE,SPRAY RUN,1,HAS CAUSE,78
19791017051209I,ENGINE,OBSTRUCTED FUEL VENT LINE,1,HAS CAUSE,90
19791022054789I,ENGINE,FUEL STARVATION,1,HAS CAUSE,91
19791022029739A,ENGINE,TOUCH AND GO LANDING,1,HAS CAUSE,93
19791022029739A,ENGINE,LIFTOFF,1,EVENT DISTANCE,93
19791022029739A,ENGINE,HIT TREES,1,HAS EFFECT,93
19790919027319A,ENGINE,WATER IN FUEL,1,HAS CAUSE,97
19790919027319A,ENGINE,AIRCRAFT,1,INSTANCE OF,97
19791103056779I,ENGINE,TOO RICH A MIXTURE,1,HAS CAUSE,99
19791103056779I,ENGINE,UNKNOWN,1,TIME PERIOD,99
19790609011809A,AFTER TAKEOFF,LOST ELECT. POWER,1,FOLLOWED BY,44
19790808027309A,AFTER TAKEOFF,RETURN TO RUNWAY,1,FOLLOWED BY,82
19790808027309A,AFTER TAKEOFF,INSUFFICIENT ALTITUDE,1,HAS EFFECT,82
19790309032649A,FAILURE,COULD NOT BE DUPLICATED,1,HAS CAUSE,13
19790207002459A,FUEL TANKS,WATER,1,HAS EFFECT,2
19790609024769A,FUEL TANKS,ACFT,1,PART OF,58
