existing_node,match,new_row,final_node,similarity
TAKEOFF,AFTER TAKEOFF,2,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,7,AFTER TAKEOFF,1.0
EMPTY,,17,,1.0000001
TAKEOFF,AFTER TAKEOFF,39,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,40,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,43,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,44,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,44,AFTER LANDING,1.0
WATER IN THE FUEL,WATER IN FUEL,45,WATER IN FUEL,1.0
 ,,49,,
TOPPED TANKS,TOPPED HIS TANKS,54,TOPPED HIS TANKS,1.0000001
TOPPED TANKS,TOPPED HIS TANKS,54,TOPPED HIS TANKS,1.0000001
COULD NOT SEE OUT,,55,,1.0000001
LANDING,AFTER LANDING,61,AFTER LANDING,1.0
TAKE OFF,,63,,1.0000001
TAKE OFF,,64,,1.0000001
TAKE OFF,,64,,1.0000001
TAKE OFF,,64,,1.0000001
LANDING,AFTER LANDING,69,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,74,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,77,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,80,AFTER TAKEOFF,1.0
UP POSITION,NOT IN THE FULL DOWN POSITION,81,NOT IN THE FULL DOWN POSITION,1.0000001
TAKEOFF,AFTER TAKEOFF,82,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,82,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,82,AFTER TAKEOFF,1.0
LANDING,AFTER LANDING,83,AFTER LANDING,1.0
TAKEOFF,AFTER TAKEOFF,84,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,95,AFTER TAKEOFF,1.0
TAKEOFF,AFTER TAKEOFF,96,AFTER TAKEOFF,1.0
OFF END RUNWAY,END OF RUNWAY,96,END OF RUNWAY,1.0000001
TAKEOFF,AFTER TAKEOFF,97,AFTER TAKEOFF,1.0
