c5_sources,node,count
19750905025029A;19751029037799A;19770610021339A;19990213001379A,ACFT,9
19780218007139I;19780311016379I;19960322013629I;19990213001379A,,5
19990213001379A,RAN INTO A DITCH,1
19850525020799A;19990213001379A,STRUCK A TREE,3
19780210006769I;19780218007139I;19780225001789I;19780319009079I;19780416008469I;19780522035289I;19800217031649I;19820725041999I;19840121015319I;19840821046409A;19860706034879A;19870606018859A;19950216008379I;19970523014439I;19991230042089A;20010411006739I;20060621012279A,AFTER TAKEOFF,19
19780106001449I;19780108002219I;19780110002479I;19780129004679I;19780219007659I;19780403009359I;19780416008469I;19780429014759I;19800217031649I;19801116083749I;19880527016939A;19991230042089A;20070630826079I,ENGINE QUIT,15
19800217031649I,WING FUEL TANK SUMPS,1
19790720021329A;19800217031649I;19801116083749I,FROZEN,3
19790720021329A;19910710026989A;19920405008919A;19940818022409A;19960418007829A,CRASHED,10
19780106001449I;19790720021329A,IMPROPER PREFLIGHT,2
19790720021329A,WEDGED IN TREES,1
19780402008409I;19841214074599I;20050429009279I,TAXIING,5
19841214074599I,LOST NOSEWHEEL STEERING,1
19780311016379I;19780525040389I;19790718019229I;19841214074599I,BRAKES,7
19841214074599I,STRUCK 2 AIRCRAFT,2
19841214074599I,FENCE,1
19841214074599I,CIRCUIT BREAKER HYDRAULIC PUMP,1
19841214074599I,OPEN,1
19820725041999I;19860128014289I,OBJECTS,3
19860128014289I,FAILED TO SEE WARNING LIGHT,1
19780327010619I;19780402008409I;19780429014759I;19780519033989I;19781108022239I;19790211002709A;19790718019229I;19840821046409A;19860128014289I;19860706034879A;19870309039779I;19890725041869I;19930530020029I;19940412011509I;19950314029269I;19960322013629I;20010421009329I;20020619014309A;20050429009279I;20050713014239I;20070202001609A,AIRCRAFT,35
19860128014289I,RETURNED,1
20000215010329A,MR. TIMOTHY ALLEN WELLS,2
20000215010329A;20010411006739I,BELL HELICOPTER,3
20000215010329A,BELL HELICOPTER MODEL BHT-47-G5,1
20000215010329A;20010411006739I,HELICOPTER,3
19801116083749I;20000215010329A;20070630826079I,N4754R,6
19971226042729I;20000215010329A,PILOT IN COMMAND,2
19801116083749I,ICE IN AUXILIARY FUEL SYSTEM,1
19780111000459A;19780130004789I;19780206006149I;19780208007759I;19780210005719I;19780212006439I;19780218007139I;19780221000179I;19780225001819I;19780307014069I;19780309015599I;19780311016379I;19780316008589I;19780327010619I;19780330011569I;19780402009009I;19780409009699I;19780503031639I;19780504031959I;19780526040429I;19780528040689I;19780603041629I;19781113027039I;19791128035159A;19821117066379I;19850315007389A;19850418016709I;19860706034879A;19871027060859A;19930530020029I;19950216008379I;19960504009509A;19970908038069A;20010411006739I;20010421009329I;20030620012809I;20050429009279I;20060621012279A,PILOT,53
19850315007389A,ALTIMETER,1
19850315007389A,ICING,2
19850315007389A;19950527014439A,LOST CONTROL,3
19850315007389A,ICING FORECAST,1
19850315007389A,ALTITUDE,1
19850315007389A,LOWER ALTITUDE,1
20070630826079I,CLIMB,1
19900425011659A,FERRY FLIGHT,3
19900425011659A,RAN OUT OF FUEL,1
19900425011659A,LEFT PONTOON SEPARATED,1
19900425011659A,LANDING IN A POND,1
19780429014759I;19900425011659A,FUEL CAP,2
19900425011659A,FUEL SIPHONED,1
19991230042089A,CUTTING OUT,1
19820725041999I,LOOSE COWLING,1
19820725041999I,RETURNING TO LAND,1
19820725041999I,COWLING CAME OFF,1
19820725041999I;19940815046149I,CRACKED WINDSHIELD,2
19820725041999I,DENTED STABILIZER,1
19940412011509I,GROUND,1
19940412011509I,LANDED SAFELY,1
19971226042729I,NR2 ENGINE FIRE,5
19971226042729I,LOADING PASSENGERS,1
19971226042729I,GATE,1
19971226042729I,EVACUATED,1
19971226042729I,FUEL LEVER,2
19971226042729I,FLIGHT IDLE,1
19971226042729I,CUT OFF,1
19971226042729I,SMOKE,1
19950619021589I,HIGH OIL TEMP.,1
19950619021589I,LANDED OFF AIRPOR,2
19950619021589I,FOUND LOW ON OIL,1
19940815046149I,ANTENNA,1
19781108022239I;19790718019229I,BAGGAGE CART,4
19790718019229I,GROUND STAND,1
19790718019229I;19821117066379I,FUSELAGE,2
19790718019229I,9 INCH TEAR,1
19840821046409A;20000625032189I,DC-10,4
20000625032189I,BOEING,1
20000625032189I,PUSHED BACK,1
20000625032189I,GATE B-52,1
19780205005989I;19780206006039I;19780210005719I;19780210006769I;19780213006479I;19780218007139I;19780219007659I;19780225001789I;19780225001819I;19780228000419I;19780309015599I;19780325010349I;19780328011399I;19780427013859I;19780429014759I;19780518033959I;19780522035289I;19780529040959I;19780613045599I;19840121015319I;19850418016709I;19860530030499A;19860706034879A;19871211075169A;20030620012809I,ENGINE,54
19860530030499A,ENGINE OVERHEAT,1
19860530030499A,HOT OIL SMELL,1
19860530030499A,FAILED TO REMOVE AIR INTAKE PLUGS,1
19860530030499A;19940226003029A;19980508008619A,NOSED OVER,6
19860530030499A,PLOWED FAILED,1
19821117066379I,UNABLE TO PRESSURIZE,1
19821117066379I,ACCESS DOOR,2
19780504031959I;19821117066379I;19960524045629A,DOOR,4
19821117066379I,DEPRESSURIZED,1
19780210005719I;19821117066379I,STOPPED,2
19810303007119A,VEERED OFF RUNWAY ON LANDING,2
19810303007119A,PARKED AIRPLANE,1
19810303007119A,NEWLY INSTALLED CARPETING,1
19950602032329I,VEERED OFF TAXIWAY,3
19750905025029A;19780401007929I;19950602032329I,TAXIWAY,4
19950602032329I,STRUCK TAXIWAY LIGHT,3
19950602032329I,WAS ADVISED DAMAGED PROP,2
19950602032329I,CONTINUED TO LIT,1
20050713014239I,RAYTHEON AIRCRAFT CO. B36TC,3
20050713014239I,JULY 13, 2005,1
20050713014239I,1535 MST,1
19860706034879A,FLIPPED,1
19860706034879A,TANKS,1
19770912040629A;19780106001449I;19780112002729I;19780509032859I;19780522035289I;19860706034879A;19880527016939A;19950804028629A,FUEL,10
19770927027719A;19780522035289I;19860706034879A;19950804028629A,WATER,7
19840121015319I,FAILED,1
19840121015319I,CARBURETOR BOWL,1
19791128035159A;19870523018729A;19871211075169A;19910710026989A;19950527014439A,CLIMBOUT,6
19950527014439A,SPIRAL TO IMPACT,1
19960322013629I,MAINTENANCE,1
19760730023679A;19780206006149I;19780211006969I;19780402009009I;19780409009699I;19870319012959I;19960322013629I,GEAR,10
19960322013629I,NOSE BLOCK,1
19960504009509A,ROLL,1
19960504009509A;20010910029739I,-23,4
19960504009509A,FAILED TO FULLY DETACH,1
19790211002709A,FAILED TO LIFTOFF RUNWAY,1
19790211002709A,RAN OFF END,1
19790211002709A,INTO SNOW BANK,1
19790211002709A,FROST ON AIRFRAME,1
19850418016709I,POWER FAILURE,2
19850418016709I,DOING AEROBATICS,1
19750923031109A;19751209037899A;19760215007629A;19780206006039I;19780427013859I;19780617046219I;19850418016709I;19980415037339I,FLIGHT,12
19850418016709I;19850729066139I,FIELD,2
19850418016709I,FUEL TANKS,1
19780113002859I;19780913017419I;19870606018859A,ABORTED TAKEOFF,4
19780913017419I,FRONT BAGGAGE DOOR POPPED OPEN,1
19780316008589I;19781113027039I,DITCH,2
19781113027039I,END,1
19870606018859A,UNABLE TO STAY AIRBORNE,1
19860514036219I;19870606018859A,GROUND LOOPED,3
19870606018859A,MAG SWITCH,1
19870606018859A,MAG,1
19960418007829A;19990714022959I,AFTER DEPARTURE,2
19990714022959I,HOURS OF DARKNESS,1
19990714022959I,START,1
19990714022959I,RUN,1
19780211006969I;19780401007929I;19870319012959I,NOSE GEAR,7
20050504010229A,N160LA,3
20050504010229A,SIKORSKY S-70A,1
20050504010229A,INFLIGHT,1
20050504010229A,APU DOOR STRUCK A MAIN ROTOR BLADE,1
20050429009279I,PARKING,1
20050429009279I,CARGO TRIP,1
19760507010379A;19780307014069I;19780416008469I;19890723054159I;19980508008619A,AFTER LANDING,6
19890723054159I,DETERMINED,1
