c5_sources,node,count
19790207002459A;19790316004809A;19790318010729A;19790421024749I;19790513026659I;19790602009889A;19790622017199I;19790623022919A;19790625015009A;19790703018439I;19790808027309A;19790809030499I;19790813023739A;19790829023019A;19790916031359A;19790919027319A;19791017051209I;19791022029739A;19791022054789I,ENGINE,27
19790207002459A;19790808027309A,FAILED DURING TAKEOFF,2
19790222003429A;19790222003439A;19790603012119A;19790609024769A;19790610014749I;19790623022919A;19790807024709A,ACFT,15
19790222003429A,6700 FT ALTITUDE,1
19790222003429A,SETTLED ONTO ICE,1
19790222003429A,SNOW COVERED LAKE,1
19790412014049I,PRECAUTIONARY LANDING,1
19790412014049I,ONE SIDE OF THE ENGINE COWL CAME OPEN DUE TO A LOOSE DZUS FASTENER,1
19790222003439A,65 DAYS PRIOR TO ACCIDENT,1
19790204002289A,ICE,2
19790204002289A,GASCOLATOR,1
19790204002289A,FLEXIBLE HOSE,1
19790319004969A;19790801021959A;19791102034159A,ENGINE FAILURE,4
19790319004969A,CONTAMINATED FUEL,1
19790405013359I,OBSTRUCTION,1
19790405013359I,BETWEEN RUDDER AND VERTICAL STABILIZER,1
19790316004809A,STOPPED ON FINAL APPROACH,1
19790209002599A;19790316004809A;19790510009019A;19790823023209I,AIRCRAFT,4
19790316004809A,STRUCK GROUND SHORT OF RUNWAY,1
19790316004809A;19790916031359A,FUEL SYSTEM,3
19790316004809A;19790318010729A,WATER,2
19790216014249A;19790421024889I;19790425024979I;19790515027029I;19790519010229A;19790605014429I;19790622017219I;19790729022479I;19790807024709A;19790807029619I;19790808027309A;19791030053329I;19791102034159A;19791108054919I,PILOT,21
19790421024889I,TOOK OFF WITH THE ENGINE NOT OPERATING PROPERLY,1
19790421024889I,BEYOND THE RUNWAY,1
19790210002629A,FCD LDG,1
19790210002629A,NIGHT,1
19790318010729A,STOPPED ON EMPTY TANK DURING ILS APPROACH,1
19790318010729A,WOULD NOT START ON FULL TANK,1
19790318010729A;19790622017219I;19790808027309A,FUEL,3
19790318010729A;19790609016529A,CRASH,2
19790318010729A,SHORT OF RWY,1
19790309032649A,CARGO DOOR,2
19790309032649A,CAME OPEN IN FLIGHT,1
19790309032649A;19790716019189I;19790820032669I,AFTER LANDING,4
19790309032649A,FAILURE COULD NOT BE DUPLICATED,1
19790309032649A,CARGO DOOR CAME OPEN IN FLIGHT,1
19790421024749I,QUIT SOON AFTER TAKEOFF,1
19790421024749I,WATER AND DEBRIS FOUND IN THE FUEL SYSTEM,1
19790224007709I,LANDED LONG AFTER APPROACH,1
19790224007709I,RAN OFF DEPARTURE END OF RUNWAY,1
19790210002639A,CRASHED AIRCRAFT,2
19790210002639A,FIRST TEST FLIGHT AFTER REBUILDING,1
19790210002639A,AILERON CONTROLS REVERSED,1
19790224007469I,ENGINE QUIT LEVEL FLIGHT,3
19790224007469I,LEFT TANK EMPTY,1
19790224007469I,ICE IN RIGHT TANK,1
19790224007469I,GAS SEDIMENT BOWL WOULD NOT DRAIN,1
19790216014249A,GUST LOCK,1
19790209002599A,TAXIWAY,1
19790209002599A,AIRPORT,1
19790209002599A,TRUCK,1
19790312008529I;19790627017429I,FORCED LANDING AFTER POWER LOSS,3
