existing_node,match,new_row,final_node,similarity
FAILED ON TAKEOFF,FAILED DURING TAKEOFF,2,FAILED DURING TAKEOFF,1.0
WATER IN,WATER,9,WATER,1.0000001
WATER IN,WATER,12,WATER,1.0000001
LANDING,AFTER LANDING,22,AFTER LANDING,1.0
THE STUDENT PILOT,STUDENT PILOT,45,STUDENT PILOT,1.0000001
TOOK OFF AGAIN,TOOK OFF,47,TOOK OFF,1.0000002
FOUND WATER IN THE FUEL,FOUND WATER IN FUEL,52,FOUND WATER IN FUEL,1.0
TO 180 BACK TO RUNWAY,180 BACK TO RUNWAY,63,180 BACK TO RUNWAY,1.0
LANDING,AFTER LANDING,76,AFTER LANDING,1.0
LANDING,AFTER LANDING,76,AFTER LANDING,1.0
DURING LANDING,AFTER LANDING,84,AFTER LANDING,1.0
NOT PROPERLY SECURED,NOT BEEN PROPERLY SECURED,88,NOT BEEN PROPERLY SECURED,1.0
