c5,c119,phi4mini_instruct_triplets_clean
19790407008559A,PILOT SAID THE ELEVATOR CONTROL JAMMED.A PARACHUTE WAS FOUND BETWEEN THE REAR SEAT AND CONTROL STICK.              ,"<PILOT, SAID, ELEVATOR CONTROL JAMMED>
<PARACHUTE, FOUND BETWEEN, REAR SEAT AND CONTROL STICK>"
19790321010439A,INSTRUCTOR CHECKING OUT PILOT IN MULTIENGINE AIRPLANE. STUDENT FEATHERED WRONG ENGINE. EMERGENCY LANDING.          ,"<PILOT, CHECKED OUT BY, INSTRUCTOR>
<PILOT, IN MULTIENGINE AIRPLANE, FEATHERED WRONG ENGINE>
<PILOT, IN MULTIENGINE AIRPLANE, EMERGENCY LANDING>"
19790207002459A,ENGINE FAILED ON TAKEOFF. FOUND WATER IN FUEL TANKS.                                                               ,"<ENGINE, HAS EFFECT, FAILED DURING TAKEOFF>
<FUEL TANKS, CONTAINED, WATER>"
19790222003429A,ATTEMPTED TAKEOFF AT 6700 FT ALTITUDE WITH FROST ON WINGS.ACFT SETTLED ONTO ICE AND SNOW COVERED LAKE.             ,"<ACFT, EVENT DISTANCE, 6700 FT ALTITUDE>
<ACFT, HAS EFFECT, SETTLED ONTO ICE>
<ACFT, HAS EFFECT, SNOW COVERED LAKE>"
19790412014049I,PRECAUTIONARY LANDING WHEN ONE SIDE OF THE ENGINE COWL CAME OPEN DUE TO A LOOSE DZUS FASTENER.                     ,"<PRECAUTIONARY LANDING, HAS CAUSE, ONE SIDE OF THE ENGINE COWL CAME OPEN DUE TO A LOOSE DZUS FASTENER>"
19790222003439A,ACRFT WAS SERVICED 65 DAYS PRIOR TO ACCIDENT. HAD NOT BEEN FLOWN PRIOR TO DATE OF ACCIDENT. WATER FOUND IN FUEL.   ,"<ACFT, MAINTAINED BY, 65 DAYS PRIOR TO ACCIDENT>
<ACFT, CONTAINED WATER, FUEL>"
19790204002289A,AFTER A FORCED LANDING ICE WAS FOUND IN GASCOLATOR AND IN FLEXIBLE HOSE BETWEEN AIR FILTER AND CARBURATOR.         ,"<ICE, HAS EFFECT, GASCOLATOR>
<ICE, HAS EFFECT, FLEXIBLE HOSE>"
19790319004969A,ENGINE FAILURE ON TAKEOFF. CONTAMINATED FUEL FOUND IN AIRCRAFT.                                                    ,"<ENGINE FAILURE, HAS EFFECT, CONTAMINATED FUEL>
<CONTAMINATED FUEL, FOUND IN, AIRCRAFT>"
19790405013359I,PILOT ATTEMPTED TAKEOFF WITH OBSTRUCTION (MAGAZINE) BETWEEN RUDDER AND VERTICAL STABILIZER ZE.                     ,"<PILOT, ATTEMPTED TAKEOFF WITH OBSTRUCTION, MAGAZINE>
<OBSTRUCTION, LOCATION, BETWEEN RUDDER AND VERTICAL STABILIZER>"
19790316004809A,ENGINE STOPPED ON FINAL APPROACH. AIRCRAFT STRUCK GROUND SHORT OF RUNWAY. WATER IN FUEL.                           ,"<ENGINE, HAS EFFECT, STOPPED ON FINAL APPROACH>
<AIRCRAFT, HAS EFFECT, STRUCK GROUND SHORT OF RUNWAY>
<FUEL SYSTEM, HAS EFFECT, WATER>"
