existing_node,match,new_row,final_node,similarity
THEN FOUND AN AIRPORT,FOUND AN AIRPORT,22,FOUND AN AIRPORT,1.0000001
WATER IN THE FUEL,WATER IN FUEL,26,WATER IN FUEL,1.0
THE AIRCRAFT,AIRCRAFT,46,AIRCRAFT,1.0
THE AIRCRAFT,AIRCRAFT,46,AIRCRAFT,1.0
TAKEOFF,AFTER TAKEOFF,70,AFTER TAKEOFF,1.0
RIGHT BRAKE MASTER CYLINDER,EMPTY RIGHT BRAKE MASTER CYLINDER,71,EMPTY RIGHT BRAKE MASTER CYLINDER,1.0
RIGHT BRAKE MASTER CYLINDER,EMPTY RIGHT BRAKE MASTER CYLINDER,71,EMPTY RIGHT BRAKE MASTER CYLINDER,1.0
WATER IN THE FUEL,WATER IN FUEL,72,WATER IN FUEL,1.0
"BRAKE WORN OUT, VEERED OFF RUNWAY","AFTER BRAKE WORN OUT, VEERED OFF RUNWAY",81,"AFTER BRAKE WORN OUT, VEERED OFF RUNWAY",1.0000001
MADE EMERGENCY LANDING,EMERGENCY LANDING,92,EMERGENCY LANDING,1.0
